step 0 | loss 0.735462 | overall=0.0600 bit_acc=0.5788 byte_match=0.0600 hamming=3.3700 | add=0.0000 and=0.1739 or=0.0000 xor=0.0800 | being_0=0.0600 being_1=0.0600 being_2=0.0600 being_3=0.0600 being_4=0.0600 being_5=0.0600 being_6=0.0600 being_7=0.0600 being_8=0.0600 being_9=0.0600 oracle=0.0600 bit_oracle=0.6338 ensemble_benefit=+0.0000 | circular_spread=13.9522 coverage=0.9062 clustering=0.8000 | jump_0=0.9569 jump_1=0.0000 jump_2=0.3319 jump_3=0.0000 jump_4=0.8813 jump_5=0.0000 jump_6=1.0000 jump_7=0.0006 jump_8=0.9856 jump_9=0.0000 specialization=0.0000 | bit0=0.5800 bit1=0.5700 bit2=0.5200 bit3=0.5000 bit4=0.4400 bit5=0.5500 bit6=0.5200 bit7=0.9500 | min_cov=3 max_cov=8 mask_div=3.9111 | s_per_step=0.301
step 50 | loss 0.336270 | overall=0.0600 bit_acc=0.5788 byte_match=0.0600 hamming=3.3700 | add=0.0000 and=0.1739 or=0.0000 xor=0.0800 | being_0=0.0600 being_1=0.0600 being_2=0.0600 being_3=0.0600 being_4=0.0600 being_5=0.0600 being_6=0.0600 being_7=0.0600 being_8=0.0600 being_9=0.0600 oracle=0.0600 bit_oracle=0.5788 ensemble_benefit=+0.0000 | circular_spread=12.4243 coverage=0.7656 clustering=1.0000 | jump_0=1.0000 jump_1=0.0331 jump_2=1.0000 jump_3=0.9213 jump_4=0.8581 jump_5=0.0000 jump_6=1.0000 jump_7=0.9056 jump_8=1.0000 jump_9=0.0000 specialization=0.0000 | bit0=0.5800 bit1=0.5700 bit2=0.5200 bit3=0.5000 bit4=0.4400 bit5=0.5500 bit6=0.5200 bit7=0.9500 | min_cov=3 max_cov=8 mask_div=3.9111 | s_per_step=0.258
step 100 | loss 0.186698 | overall=0.0700 bit_acc=0.5913 byte_match=0.0700 hamming=3.2700 | add=0.0000 and=0.2174 or=0.0000 xor=0.0800 | being_0=0.0600 being_1=0.0400 being_2=0.0600 being_3=0.0600 being_4=0.0600 being_5=0.0600 being_6=0.0600 being_7=0.0600 being_8=0.0600 being_9=0.0600 oracle=0.0600 bit_oracle=0.7437 ensemble_benefit=+0.0100 | circular_spread=9.4935 coverage=0.5938 clustering=1.4000 | jump_0=1.0000 jump_1=0.8444 jump_2=0.9925 jump_3=0.8400 jump_4=0.8113 jump_5=0.0000 jump_6=1.0000 jump_7=0.8606 jump_8=0.9931 jump_9=0.8181 specialization=0.0126 | bit0=0.5800 bit1=0.5700 bit2=0.5900 bit3=0.4800 bit4=0.4900 bit5=0.5500 bit6=0.5200 bit7=0.9500 | min_cov=3 max_cov=8 mask_div=3.9111 | s_per_step=0.260
step 150 | loss 0.147997 | overall=0.0500 bit_acc=0.5913 byte_match=0.0500 hamming=3.2700 | add=0.0000 and=0.1739 or=0.0000 xor=0.0400 | being_0=0.0500 being_1=0.0400 being_2=0.0600 being_3=0.0600 being_4=0.0600 being_5=0.0600 being_6=0.0600 being_7=0.0600 being_8=0.0400 being_9=0.0600 oracle=0.0600 bit_oracle=0.8087 ensemble_benefit=-0.0100 | circular_spread=9.7178 coverage=0.5781 clustering=1.3000 | jump_0=0.9681 jump_1=0.8656 jump_2=0.9875 jump_3=0.8744 jump_4=0.8163 jump_5=0.0000 jump_6=0.9944 jump_7=0.8537 jump_8=0.9919 jump_9=0.8094 specialization=0.0170 | bit0=0.5400 bit1=0.5600 bit2=0.5700 bit3=0.5300 bit4=0.4900 bit5=0.5800 bit6=0.5100 bit7=0.9500 | min_cov=3 max_cov=8 mask_div=3.9111 | s_per_step=0.257
step 200 | loss 0.128466 | overall=0.0600 bit_acc=0.5900 byte_match=0.0600 hamming=3.2800 | add=0.0000 and=0.2609 or=0.0000 xor=0.0000 | being_0=0.0400 being_1=0.0500 being_2=0.0600 being_3=0.0600 being_4=0.0600 being_5=0.0600 being_6=0.0600 being_7=0.0600 being_8=0.0400 being_9=0.0600 oracle=0.0800 bit_oracle=0.8725 ensemble_benefit=+0.0000 | circular_spread=9.1652 coverage=0.5469 clustering=1.5000 | jump_0=0.9300 jump_1=0.9069 jump_2=0.9787 jump_3=0.8650 jump_4=0.7931 jump_5=0.0000 jump_6=0.9881 jump_7=0.8581 jump_8=0.9975 jump_9=0.7875 specialization=0.0281 | bit0=0.5200 bit1=0.5200 bit2=0.6300 bit3=0.5300 bit4=0.5000 bit5=0.5700 bit6=0.5000 bit7=0.9500 | min_cov=3 max_cov=8 mask_div=3.9111 | s_per_step=0.259
step 250 | loss 0.121816 | overall=0.0400 bit_acc=0.5800 byte_match=0.0400 hamming=3.3600 | add=0.0000 and=0.1739 or=0.0000 xor=0.0000 | being_0=0.0400 being_1=0.0500 being_2=0.0600 being_3=0.0600 being_4=0.0600 being_5=0.0700 being_6=0.0600 being_7=0.0600 being_8=0.0400 being_9=0.0600 oracle=0.0800 bit_oracle=0.8575 ensemble_benefit=-0.0300 | circular_spread=8.9465 coverage=0.5312 clustering=1.2000 | jump_0=0.9225 jump_1=0.9181 jump_2=0.9831 jump_3=0.8600 jump_4=0.7994 jump_5=0.0000 jump_6=0.9806 jump_7=0.8725 jump_8=0.9988 jump_9=0.7838 specialization=0.0285 | bit0=0.5100 bit1=0.4900 bit2=0.6200 bit3=0.5300 bit4=0.4900 bit5=0.5500 bit6=0.5000 bit7=0.9500 | min_cov=3 max_cov=8 mask_div=3.9111 | s_per_step=0.270
step 300 | loss 0.111788 | overall=0.0800 bit_acc=0.5900 byte_match=0.0800 hamming=3.2800 | add=0.0000 and=0.3478 or=0.0000 xor=0.0000 | being_0=0.0400 being_1=0.0500 being_2=0.0600 being_3=0.0600 being_4=0.0600 being_5=0.0600 being_6=0.0600 being_7=0.0700 being_8=0.0400 being_9=0.0600 oracle=0.0900 bit_oracle=0.8963 ensemble_benefit=+0.0100 | circular_spread=9.3085 coverage=0.5469 clustering=1.3000 | jump_0=0.9056 jump_1=0.8938 jump_2=0.9750 jump_3=0.8456 jump_4=0.8069 jump_5=0.0000 jump_6=0.9750 jump_7=0.8725 jump_8=0.9988 jump_9=0.7750 specialization=0.0232 | bit0=0.5300 bit1=0.5100 bit2=0.6200 bit3=0.5200 bit4=0.5100 bit5=0.5700 bit6=0.5100 bit7=0.9500 | min_cov=3 max_cov=8 mask_div=3.9111 | s_per_step=0.257
step 350 | loss 0.104967 | overall=0.0500 bit_acc=0.5825 byte_match=0.0500 hamming=3.3400 | add=0.0000 and=0.2174 or=0.0000 xor=0.0000 | being_0=0.0400 being_1=0.0500 being_2=0.0600 being_3=0.0600 being_4=0.0700 being_5=0.0600 being_6=0.0600 being_7=0.0600 being_8=0.0400 being_9=0.0600 oracle=0.0800 bit_oracle=0.8950 ensemble_benefit=-0.0200 | circular_spread=9.0133 coverage=0.5625 clustering=1.5000 | jump_0=0.8963 jump_1=0.8775 jump_2=0.9750 jump_3=0.8550 jump_4=0.8256 jump_5=0.0000 jump_6=0.9681 jump_7=0.8838 jump_8=0.9938 jump_9=0.7775 specialization=0.0285 | bit0=0.5200 bit1=0.4800 bit2=0.6300 bit3=0.4900 bit4=0.5200 bit5=0.5700 bit6=0.5000 bit7=0.9500 | min_cov=3 max_cov=8 mask_div=3.9111 | s_per_step=0.265
step 400 | loss 0.095477 | overall=0.0600 bit_acc=0.5975 byte_match=0.0600 hamming=3.2200 | add=0.0000 and=0.2609 or=0.0000 xor=0.0000 | being_0=0.0400 being_1=0.0400 being_2=0.0600 being_3=0.0600 being_4=0.0700 being_5=0.0600 being_6=0.0600 being_7=0.0700 being_8=0.0500 being_9=0.0600 oracle=0.0800 bit_oracle=0.9312 ensemble_benefit=-0.0100 | circular_spread=9.6972 coverage=0.5625 clustering=1.2000 | jump_0=0.8863 jump_1=0.8381 jump_2=0.9600 jump_3=0.8525 jump_4=0.8287 jump_5=0.0000 jump_6=0.9594 jump_7=0.8838 jump_8=0.9938 jump_9=0.7675 specialization=0.0298 | bit0=0.5300 bit1=0.4600 bit2=0.6400 bit3=0.5800 bit4=0.5300 bit5=0.5600 bit6=0.5300 bit7=0.9500 | min_cov=3 max_cov=8 mask_div=3.9111 | s_per_step=0.264
step 450 | loss 0.089556 | overall=0.0400 bit_acc=0.6275 byte_match=0.0400 hamming=2.9800 | add=0.0000 and=0.1304 or=0.0417 xor=0.0000 | being_0=0.0400 being_1=0.0300 being_2=0.0500 being_3=0.0700 being_4=0.0600 being_5=0.0400 being_6=0.0600 being_7=0.0500 being_8=0.0500 being_9=0.0600 oracle=0.1000 bit_oracle=0.9712 ensemble_benefit=-0.0300 | circular_spread=9.0963 coverage=0.5781 clustering=1.3000 | jump_0=0.8950 jump_1=0.8244 jump_2=0.9431 jump_3=0.8531 jump_4=0.8331 jump_5=0.0000 jump_6=0.9569 jump_7=0.8738 jump_8=0.9944 jump_9=0.7669 specialization=0.0290 | bit0=0.5200 bit1=0.4800 bit2=0.6600 bit3=0.6500 bit4=0.6200 bit5=0.6000 bit6=0.5400 bit7=0.9500 | min_cov=3 max_cov=8 mask_div=3.9111 | s_per_step=0.255
step 500 | loss 0.082067 | overall=0.0400 bit_acc=0.6212 byte_match=0.0400 hamming=3.0300 | add=0.0000 and=0.1304 or=0.0000 xor=0.0400 | being_0=0.0400 being_1=0.0400 being_2=0.0400 being_3=0.0700 being_4=0.0700 being_5=0.0500 being_6=0.0500 being_7=0.0500 being_8=0.0700 being_9=0.0600 oracle=0.1000 bit_oracle=0.9737 ensemble_benefit=-0.0300 | circular_spread=8.9407 coverage=0.5781 clustering=1.1000 | jump_0=0.9044 jump_1=0.8325 jump_2=0.9369 jump_3=0.8594 jump_4=0.8494 jump_5=0.0000 jump_6=0.9563 jump_7=0.8756 jump_8=1.0000 jump_9=0.7950 specialization=0.0305 | bit0=0.5300 bit1=0.4700 bit2=0.6600 bit3=0.6300 bit4=0.6300 bit5=0.6100 bit6=0.4900 bit7=0.9500 | min_cov=3 max_cov=8 mask_div=3.9111 | s_per_step=0.240
