step,model,loss,acc,avg_loss_20,avg_acc_20
1,A_scale1.0,0.944184,0.4375,0.944184,0.4375
1,B_scale0.01,0.721628,0.4375,0.721628,0.4375
2,A_scale1.0,0.667825,0.5625,0.806004,0.5000
2,B_scale0.01,0.697907,0.5625,0.709767,0.5000
3,A_scale1.0,0.702612,0.4375,0.771540,0.4792
3,B_scale0.01,0.695895,0.4375,0.705143,0.4792
4,A_scale1.0,0.664156,0.6875,0.744694,0.5312
4,B_scale0.01,0.681362,0.7500,0.699198,0.5469
5,A_scale1.0,0.684901,0.5625,0.732736,0.5375
5,B_scale0.01,0.688385,0.5000,0.697035,0.5375
6,A_scale1.0,0.702247,0.4375,0.727654,0.5208
6,B_scale0.01,0.709973,0.3750,0.699191,0.5104
7,A_scale1.0,0.698675,0.6250,0.723514,0.5357
7,B_scale0.01,0.701770,0.3125,0.699560,0.4821
8,A_scale1.0,0.717808,0.3750,0.722801,0.5156
8,B_scale0.01,0.693700,0.5000,0.698827,0.4844
9,A_scale1.0,0.712189,0.6250,0.721622,0.5278
9,B_scale0.01,0.690992,0.6250,0.697957,0.5000
10,A_scale1.0,0.715759,0.5000,0.721036,0.5250
10,B_scale0.01,0.700070,0.3125,0.698168,0.4813
11,A_scale1.0,0.734323,0.5000,0.722244,0.5227
11,B_scale0.01,0.701792,0.4375,0.698497,0.4773
12,A_scale1.0,0.787132,0.3125,0.727651,0.5052
12,B_scale0.01,0.709298,0.3125,0.699397,0.4635
13,A_scale1.0,0.675461,0.5625,0.723636,0.5096
13,B_scale0.01,0.690818,0.5625,0.698737,0.4712
14,A_scale1.0,0.724375,0.5000,0.723689,0.5089
14,B_scale0.01,0.698438,0.5000,0.698716,0.4732
15,A_scale1.0,0.672069,0.6875,0.720248,0.5208
15,B_scale0.01,0.680226,0.6875,0.697483,0.4875
16,A_scale1.0,0.681229,0.6875,0.717809,0.5312
16,B_scale0.01,0.676188,0.6875,0.696152,0.5000
17,A_scale1.0,0.656917,0.6875,0.714227,0.5404
17,B_scale0.01,0.688754,0.5625,0.695717,0.5037
18,A_scale1.0,0.726669,0.3750,0.714918,0.5312
18,B_scale0.01,0.715881,0.3750,0.696837,0.4965
19,A_scale1.0,0.681192,0.6250,0.713143,0.5362
19,B_scale0.01,0.685146,0.5625,0.696222,0.5000
20,A_scale1.0,0.706214,0.4375,0.712797,0.5312
20,B_scale0.01,0.729970,0.3125,0.697909,0.4906
21,A_scale1.0,0.695469,0.4375,0.700361,0.5312
21,B_scale0.01,0.655584,0.7500,0.694607,0.5062
22,A_scale1.0,0.694255,0.4375,0.701683,0.5250
22,B_scale0.01,0.688145,0.5625,0.694119,0.5062
23,A_scale1.0,0.700432,0.3750,0.701574,0.5219
23,B_scale0.01,0.709372,0.4375,0.694793,0.5062
24,A_scale1.0,0.682355,0.6875,0.702484,0.5219
24,B_scale0.01,0.721875,0.3750,0.696819,0.4875
25,A_scale1.0,0.688350,0.5625,0.702656,0.5219
25,B_scale0.01,0.716566,0.3750,0.698228,0.4813
26,A_scale1.0,0.705943,0.5000,0.702841,0.5250
26,B_scale0.01,0.694656,0.5000,0.697462,0.4875
27,A_scale1.0,0.681028,0.5625,0.701958,0.5219
27,B_scale0.01,0.699545,0.4375,0.697351,0.4938
28,A_scale1.0,0.718964,0.3125,0.702016,0.5188
