config_name	variant	benchmark	seed	accuracy	param_count	gate_evals	train_time_ms
V1-PureCPU	1	B1-ADD	42	1.000000	0	2048	0
V1-PureCPU	1	B1-ADD	123	1.000000	0	2048	0
V1-PureCPU	1	B1-ADD	777	1.000000	0	2048	0
V1-PureCPU	1	B2-MUL	42	0.000000	0	0	0
V1-PureCPU	1	B2-MUL	123	0.000000	0	0	0
V1-PureCPU	1	B2-MUL	777	0.000000	0	0	0
V1-PureCPU	1	B3-AND	42	1.000000	0	1024	0
V1-PureCPU	1	B3-AND	123	1.000000	0	1024	0
V1-PureCPU	1	B3-AND	777	1.000000	0	1024	0
V1-PureCPU	1	B3-OR	42	1.000000	0	1024	0
V1-PureCPU	1	B3-OR	123	1.000000	0	1024	0
V1-PureCPU	1	B3-OR	777	1.000000	0	1024	0
V1-PureCPU	1	B3-XOR	42	1.000000	0	1024	0
V1-PureCPU	1	B3-XOR	123	1.000000	0	1024	0
V1-PureCPU	1	B3-XOR	777	1.000000	0	1024	0
V1-PureCPU	1	B4-OP-SELECT	42	1.000000	0	15360	0
V1-PureCPU	1	B4-OP-SELECT	123	1.000000	0	15360	0
V1-PureCPU	1	B4-OP-SELECT	777	1.000000	0	15360	0
V1-PureCPU	1	B5-MULTI-OP	42	1.000000	0	12288	0
V1-PureCPU	1	B5-MULTI-OP	123	1.000000	0	12288	0
V1-PureCPU	1	B5-MULTI-OP	777	1.000000	0	12288	0
V1-PureCPU	1	B6-MIN3	42	0.537109	0	8192	0
V1-PureCPU	1	B6-MIN3	123	0.537109	0	8192	0
V1-PureCPU	1	B6-MIN3	777	0.537109	0	8192	0
V2-Holo-d16	2	B1-ADD	42	0.089844	384	256	0
V2-Holo-d16	2	B1-ADD	123	0.109375	384	256	0
V2-Holo-d16	2	B1-ADD	777	0.097656	384	256	0
V2-Holo-d16	2	B2-MUL	42	0.175781	384	256	0
V2-Holo-d16	2	B2-MUL	123	0.183594	384	256	0
V2-Holo-d16	2	B2-MUL	777	0.183594	384	256	0
V2-Holo-d16	2	B3-AND	42	0.308594	384	256	0
V2-Holo-d16	2	B3-AND	123	0.296875	384	256	0
V2-Holo-d16	2	B3-AND	777	0.312500	384	256	0
V2-Holo-d16	2	B3-OR	42	0.316406	384	256	0
V2-Holo-d16	2	B3-OR	123	0.316406	384	256	0
V2-Holo-d16	2	B3-OR	777	0.316406	384	256	0
V2-Holo-d16	2	B3-XOR	42	0.062500	384	256	0
V2-Holo-d16	2	B3-XOR	123	0.097656	384	256	0
V2-Holo-d16	2	B3-XOR	777	0.085938	384	256	0
V2-Holo-d16	2	B4-OP-SELECT	42	0.116406	432	256	1
V2-Holo-d16	2	B4-OP-SELECT	123	0.135156	432	256	1
V2-Holo-d16	2	B4-OP-SELECT	777	0.128906	432	256	1
V2-Holo-d16	2	B5-MULTI-OP	42	0.164062	544	256	0
V2-Holo-d16	2	B5-MULTI-OP	123	0.234375	544	256	0
V2-Holo-d16	2	B5-MULTI-OP	777	0.117188	544	256	0
V2-Holo-d16	2	B6-MIN3	42	0.339844	400	256	0
V2-Holo-d16	2	B6-MIN3	123	0.337891	400	256	0
V2-Holo-d16	2	B6-MIN3	777	0.328125	400	256	0
V2-Holo-d32	2	B1-ADD	42	0.113281	1280	1024	0
V2-Holo-d32	2	B1-ADD	123	0.097656	1280	1024	0
V2-Holo-d32	2	B1-ADD	777	0.187500	1280	1024	0
V2-Holo-d32	2	B2-MUL	42	0.179688	1280	1024	0
V2-Holo-d32	2	B2-MUL	123	0.167969	1280	1024	0
V2-Holo-d32	2	B2-MUL	777	0.183594	1280	1024	0
V2-Holo-d32	2	B3-AND	42	0.308594	1280	1024	0
V2-Holo-d32	2	B3-AND	123	0.296875	1280	1024	0
V2-Holo-d32	2	B3-AND	777	0.308594	1280	1024	0
V2-Holo-d32	2	B3-OR	42	0.316406	1280	1024	0
V2-Holo-d32	2	B3-OR	123	0.316406	1280	1024	0
V2-Holo-d32	2	B3-OR	777	0.316406	1280	1024	0
V2-Holo-d32	2	B3-XOR	42	0.085938	1280	1024	0
V2-Holo-d32	2	B3-XOR	123	0.105469	1280	1024	0
V2-Holo-d32	2	B3-XOR	777	0.199219	1280	1024	0
V2-Holo-d32	2	B4-OP-SELECT	42	0.117188	1376	1024	3
V2-Holo-d32	2	B4-OP-SELECT	123	0.146875	1376	1024	3
V2-Holo-d32	2	B4-OP-SELECT	777	0.110937	1376	1024	3
V2-Holo-d32	2	B5-MULTI-OP	42	0.125000	1600	1024	1
V2-Holo-d32	2	B5-MULTI-OP	123	0.257812	1600	1024	1
V2-Holo-d32	2	B5-MULTI-OP	777	0.187500	1600	1024	1
V2-Holo-d32	2	B6-MIN3	42	0.337891	1312	1024	1
V2-Holo-d32	2	B6-MIN3	123	0.347656	1312	1024	1
V2-Holo-d32	2	B6-MIN3	777	0.339844	1312	1024	1
V2-Holo-d64	2	B1-ADD	42	0.121094	4608	4096	2
V2-Holo-d64	2	B1-ADD	123	0.148438	4608	4096	2
V2-Holo-d64	2	B1-ADD	777	0.125000	4608	4096	2
V2-Holo-d64	2	B2-MUL	42	0.183594	4608	4096	2
V2-Holo-d64	2	B2-MUL	123	0.179688	4608	4096	2
V2-Holo-d64	2	B2-MUL	777	0.183594	4608	4096	2
V2-Holo-d64	2	B3-AND	42	0.308594	4608	4096	2
V2-Holo-d64	2	B3-AND	123	0.304688	4608	4096	2
V2-Holo-d64	2	B3-AND	777	0.304688	4608	4096	2
V2-Holo-d64	2	B3-OR	42	0.316406	4608	4096	2
V2-Holo-d64	2	B3-OR	123	0.316406	4608	4096	2
V2-Holo-d64	2	B3-OR	777	0.316406	4608	4096	2
V2-Holo-d64	2	B3-XOR	42	0.179688	4608	4096	2
V2-Holo-d64	2	B3-XOR	123	0.210938	4608	4096	3
V2-Holo-d64	2	B3-XOR	777	0.078125	4608	4096	2
V2-Holo-d64	2	B4-OP-SELECT	42	0.127344	4800	4096	13
V2-Holo-d64	2	B4-OP-SELECT	123	0.120313	4800	4096	13
V2-Holo-d64	2	B4-OP-SELECT	777	0.125000	4800	4096	13
V2-Holo-d64	2	B5-MULTI-OP	42	0.210938	5248	4096	5
V2-Holo-d64	2	B5-MULTI-OP	123	0.148438	5248	4096	5
V2-Holo-d64	2	B5-MULTI-OP	777	0.218750	5248	4096	5
V2-Holo-d64	2	B6-MIN3	42	0.324219	4672	4096	6
V2-Holo-d64	2	B6-MIN3	123	0.330078	4672	4096	5
V2-Holo-d64	2	B6-MIN3	777	0.349609	4672	4096	5
V2-Holo-d128	2	B1-ADD	42	0.210938	17408	16384	11
V2-Holo-d128	2	B1-ADD	123	0.093750	17408	16384	11
V2-Holo-d128	2	B1-ADD	777	0.226562	17408	16384	11
V2-Holo-d128	2	B2-MUL	42	0.179688	17408	16384	11
V2-Holo-d128	2	B2-MUL	123	0.183594	17408	16384	11
V2-Holo-d128	2	B2-MUL	777	0.183594	17408	16384	11
V2-Holo-d128	2	B3-AND	42	0.308594	17408	16384	11
V2-Holo-d128	2	B3-AND	123	0.312500	17408	16384	11
V2-Holo-d128	2	B3-AND	777	0.308594	17408	16384	11
V2-Holo-d128	2	B3-OR	42	0.316406	17408	16384	11
V2-Holo-d128	2	B3-OR	123	0.316406	17408	16384	11
V2-Holo-d128	2	B3-OR	777	0.316406	17408	16384	11
V2-Holo-d128	2	B3-XOR	42	0.187500	17408	16384	11
V2-Holo-d128	2	B3-XOR	123	0.179688	17408	16384	11
V2-Holo-d128	2	B3-XOR	777	0.210938	17408	16384	13
V2-Holo-d128	2	B4-OP-SELECT	42	0.117188	17792	16384	55
V2-Holo-d128	2	B4-OP-SELECT	123	0.113281	17792	16384	60
V2-Holo-d128	2	B4-OP-SELECT	777	0.120313	17792	16384	59
V2-Holo-d128	2	B5-MULTI-OP	42	0.164062	18688	16384	24
V2-Holo-d128	2	B5-MULTI-OP	123	0.171875	18688	16384	25
V2-Holo-d128	2	B5-MULTI-OP	777	0.210938	18688	16384	25
V2-Holo-d128	2	B6-MIN3	42	0.343750	17536	16384	22
V2-Holo-d128	2	B6-MIN3	123	0.330078	17536	16384	22
V2-Holo-d128	2	B6-MIN3	777	0.363281	17536	16384	23
V3-Picker-d32-h16	3	B1-ADD	42	1.000000	0	2048	0
V3-Picker-d32-h16	3	B1-ADD	123	1.000000	0	2048	0
V3-Picker-d32-h16	3	B1-ADD	777	1.000000	0	2048	0
V3-Picker-d32-h16	3	B2-MUL	42	0.000000	0	0	0
V3-Picker-d32-h16	3	B2-MUL	123	0.000000	0	0	0
V3-Picker-d32-h16	3	B2-MUL	777	0.000000	0	0	0
V3-Picker-d32-h16	3	B3-AND	42	1.000000	0	1024	0
V3-Picker-d32-h16	3	B3-AND	123	1.000000	0	1024	0
V3-Picker-d32-h16	3	B3-AND	777	1.000000	0	1024	0
V3-Picker-d32-h16	3	B3-OR	42	1.000000	0	1024	0
V3-Picker-d32-h16	3	B3-OR	123	1.000000	0	1024	0
V3-Picker-d32-h16	3	B3-OR	777	1.000000	0	1024	0
V3-Picker-d32-h16	3	B3-XOR	42	1.000000	0	1024	0
V3-Picker-d32-h16	3	B3-XOR	123	1.000000	0	1024	0
V3-Picker-d32-h16	3	B3-XOR	777	1.000000	0	1024	0
V3-Picker-d32-h16	3	B4-OP-SELECT	42	1.000000	277	12	25
V3-Picker-d32-h16	3	B4-OP-SELECT	123	1.000000	277	12	48
V3-Picker-d32-h16	3	B4-OP-SELECT	777	1.000000	277	12	30
V3-Picker-d32-h16	3	B5-MULTI-OP	42	1.000000	0	12288	0
V3-Picker-d32-h16	3	B5-MULTI-OP	123	1.000000	0	12288	0
