task	act	H	depth	target_type	float_acc	quant_acc	greedy_acc	quant_drop	greedy_vs_quant
XOR	C19_rho8	8	1	random_proj	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	C19_rho8	8	1	teacher	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	ReLU	8	1	random_proj	1.0000	1.0000	0.7500	0.0000	-0.2500
XOR	ReLU	8	1	teacher	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	C19_rho8	8	2	random_proj	0.5000	0.5000	1.0000	0.0000	0.5000
XOR	C19_rho8	8	2	teacher	0.5000	0.5000	0.5000	0.0000	0.0000
XOR	ReLU	8	2	random_proj	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	ReLU	8	2	teacher	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	C19_rho8	8	3	random_proj	0.5000	0.5000	1.0000	0.0000	0.5000
XOR	C19_rho8	8	3	teacher	0.5000	0.5000	0.5000	0.0000	0.0000
XOR	ReLU	8	3	random_proj	0.7500	0.7500	1.0000	0.0000	0.2500
XOR	ReLU	8	3	teacher	0.7500	0.7500	0.7500	0.0000	0.0000
XOR	C19_rho8	16	1	random_proj	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	C19_rho8	16	1	teacher	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	ReLU	16	1	random_proj	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	ReLU	16	1	teacher	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	C19_rho8	16	2	random_proj	0.5000	0.5000	1.0000	0.0000	0.5000
XOR	C19_rho8	16	2	teacher	0.5000	0.5000	0.5000	0.0000	0.0000
XOR	ReLU	16	2	random_proj	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	ReLU	16	2	teacher	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	C19_rho8	16	3	random_proj	0.5000	0.5000	1.0000	0.0000	0.5000
XOR	C19_rho8	16	3	teacher	0.5000	0.5000	0.5000	0.0000	0.0000
XOR	ReLU	16	3	random_proj	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	ReLU	16	3	teacher	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	C19_rho8	32	1	random_proj	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	C19_rho8	32	1	teacher	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	ReLU	32	1	random_proj	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	ReLU	32	1	teacher	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	C19_rho8	32	2	random_proj	0.5000	0.5000	1.0000	0.0000	0.5000
XOR	C19_rho8	32	2	teacher	0.5000	0.5000	0.5000	0.0000	0.0000
XOR	ReLU	32	2	random_proj	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	ReLU	32	2	teacher	1.0000	1.0000	1.0000	0.0000	0.0000
XOR	C19_rho8	32	3	random_proj	0.5000	0.5000	1.0000	0.0000	0.5000
