test	dim	n_proj	n_patterns	n_classes	seed	accuracy	snr_or_stddev	margin_or_mid	mean_cos_or_late	max_cos
interference	64	8	1	16	42	1.000000	inf	1.0000	-	-
interference	64	8	2	16	42	1.000000	16.2690	0.9385	-	-
interference	64	8	4	16	42	0.500000	1.0000	0.0000	-	-
interference	64	8	8	16	42	0.250000	1.0000	0.0000	-	-
interference	64	8	16	16	42	0.125000	1.0000	0.0000	-	-
interference	64	8	32	16	42	0.125000	1.0000	0.0000	-	-
interference	64	8	64	16	42	0.125000	1.0000	0.0000	-	-
interference	64	8	128	16	42	0.125000	1.0000	0.0000	-	-
interference	64	8	256	16	42	0.125000	1.0000	0.0000	-	-
interference	64	8	512	16	42	0.125000	1.0000	0.0000	-	-
dim_scaling	8	8	4	16	42	0.250000	-	-	-	-
dim_scaling	8	8	8	16	42	0.250000	-	-	-	-
dim_scaling	8	8	16	16	42	0.125000	-	-	-	-
dim_scaling	8	8	32	16	42	0.125000	-	-	-	-
dim_scaling	8	8	64	16	42	0.125000	-	-	-	-
dim_scaling	8	8	128	16	42	0.125000	-	-	-	-
dim_scaling	8	8	256	16	42	0.125000	-	-	-	-
dim_scaling	8	8	512	16	42	0.125000	-	-	-	-
dim_scaling	16	8	4	16	42	0.500000	-	-	-	-
dim_scaling	16	8	8	16	42	0.250000	-	-	-	-
dim_scaling	16	8	16	16	42	0.125000	-	-	-	-
dim_scaling	16	8	32	16	42	0.125000	-	-	-	-
dim_scaling	16	8	64	16	42	0.125000	-	-	-	-
dim_scaling	16	8	128	16	42	0.125000	-	-	-	-
dim_scaling	16	8	256	16	42	0.125000	-	-	-	-
dim_scaling	16	8	512	16	42	0.125000	-	-	-	-
dim_scaling	32	8	4	16	42	0.500000	-	-	-	-
dim_scaling	32	8	8	16	42	0.250000	-	-	-	-
dim_scaling	32	8	16	16	42	0.125000	-	-	-	-
dim_scaling	32	8	32	16	42	0.125000	-	-	-	-
dim_scaling	32	8	64	16	42	0.125000	-	-	-	-
