stage	task	act	rho	H	beta	T	dt	init_scale	seed	conv_free	conv_nudge	accuracy	mse	mean_settle	osc_ratio	spectral_w1	spectral_w2	output_mag	seg_crossings
1	XOR	c19_r8	8	20	0.50	100	0.50	0.1	42	1.0000	1.0000	0.5000	0.355507	7.8	0.0000	0.3078	0.1714	0.1898	0.0
1	XOR	c19_r8	8	20	0.50	100	0.50	0.1	123	1.0000	1.0000	0.5000	0.361305	7.8	0.0000	0.3046	0.2056	0.1880	0.0
1	XOR	c19_r8	8	20	0.50	100	0.50	0.1	7	1.0000	1.0000	0.5000	0.352372	8.0	0.0000	0.3038	0.1213	0.1860	0.0
1	XOR	c19_r8	8	20	0.50	100	0.50	0.5	42	1.0000	1.0000	0.5000	0.367889	8.5	0.0000	1.3082	0.4577	0.1472	0.0
1	XOR	c19_r8	8	20	0.50	100	0.50	0.5	123	1.0000	1.0000	0.5000	0.381961	8.0	0.0000	1.1702	0.3029	0.1994	0.0
1	XOR	c19_r8	8	20	0.50	100	0.50	0.5	7	1.0000	1.0000	0.5000	0.367884	8.2	0.0000	1.3995	0.3886	0.1473	0.0
1	XOR	c19_r8	8	20	0.50	100	0.50	1.0	42	1.0000	1.0000	0.5000	0.367882	11.0	0.0000	2.6363	0.8180	0.1473	0.0
1	XOR	c19_r8	8	20	0.50	100	0.50	1.0	123	1.0000	1.0000	0.0000	0.552184	11.0	0.0000	2.3431	0.7123	0.3950	0.0
1	XOR	c19_r8	8	20	0.50	100	0.50	1.0	7	1.0000	1.0000	0.5000	0.353799	10.0	0.0000	2.8488	0.6896	0.0951	0.0
1	XOR	c19_r8	8	20	0.50	100	0.10	0.1	42	1.0000	1.0000	0.5000	0.355496	33.5	0.0000	0.3076	0.1713	0.1898	0.0
1	XOR	c19_r8	8	20	0.50	100	0.10	0.1	123	1.0000	1.0000	0.5000	0.361291	32.8	0.0000	0.3015	0.2056	0.1880	0.0
1	XOR	c19_r8	8	20	0.50	100	0.10	0.1	7	1.0000	1.0000	0.5000	0.352370	34.8	0.0000	0.3036	0.1212	0.1860	0.0
1	XOR	c19_r8	8	20	0.50	100	0.10	0.5	42	1.0000	1.0000	0.5000	0.367895	37.8	0.0000	1.3084	0.4573	0.1472	0.0
1	XOR	c19_r8	8	20	0.50	100	0.10	0.5	123	1.0000	1.0000	0.5000	0.381955	37.5	0.0000	1.1697	0.3029	0.1994	0.0
1	XOR	c19_r8	8	20	0.50	100	0.10	0.5	7	1.0000	1.0000	0.5000	0.367902	36.5	0.0000	1.3988	0.3888	0.1473	0.0
1	XOR	c19_r8	8	20	0.50	100	0.10	1.0	42	1.0000	1.0000	0.5000	0.367769	47.2	0.0000	2.6445	0.8210	0.1472	0.0
1	XOR	c19_r8	8	20	0.50	100	0.10	1.0	123	1.0000	1.0000	0.0000	0.553683	51.0	0.2500	2.3670	0.7239	0.3962	0.0
1	XOR	c19_r8	8	20	0.50	100	0.10	1.0	7	1.0000	1.0000	0.5000	0.353790	45.5	0.0000	2.8514	0.6898	0.0952	0.0
1	XOR	tanh	0	20	0.50	100	0.50	0.1	42	1.0000	1.0000	0.5000	2.499500	14.8	0.0000	0.5908	1.5278	0.9998	0.0
1	XOR	tanh	0	20	0.50	100	0.50	0.1	123	1.0000	1.0000	0.5000	2.499474	14.8	0.0000	0.5472	1.4727	0.9998	0.0
1	XOR	tanh	0	20	0.50	100	0.50	0.1	7	1.0000	1.0000	0.5000	2.499480	14.8	0.0000	0.6022	1.5080	0.9998	0.0
