stage	task	act	rho	H	beta	T	dt	init_scale	seed	conv_free	conv_nudge	accuracy	mse	mean_settle	osc_ratio	spectral_w1	spectral_w2	output_mag	seg_crossings
1	XOR	c19_r8	8	20	0.50	100	0.50	0.1	42	1.0000	1.0000	1.0000	0.037317	13.8	0.0000	0.4960	0.6418	0.3643	0.0
1	XOR	c19_r8	8	20	0.50	100	0.50	0.1	123	1.0000	1.0000	1.0000	0.037303	15.2	0.0000	0.5299	0.6082	0.3637	0.0
1	XOR	c19_r8	8	20	0.50	100	0.50	0.1	7	1.0000	1.0000	1.0000	0.037305	17.0	0.0000	0.4307	0.6183	0.3636	0.0
1	XOR	c19_r8	8	20	0.50	100	0.50	0.5	42	1.0000	1.0000	1.0000	0.037303	10.0	0.0000	1.3537	0.5229	0.3635	0.0
1	XOR	c19_r8	8	20	0.50	100	0.50	0.5	123	1.0000	1.0000	1.0000	0.037303	9.8	0.0000	1.2018	0.5198	0.3634	0.0
1	XOR	c19_r8	8	20	0.50	100	0.50	0.5	7	1.0000	1.0000	1.0000	0.037303	10.8	0.0000	1.4625	0.5314	0.3634	0.0
1	XOR	c19_r8	8	20	0.50	100	0.50	1.0	42	1.0000	1.0000	0.7500	0.210195	12.2	0.0000	2.6090	0.8926	0.2129	0.0
1	XOR	c19_r8	8	20	0.50	100	0.50	1.0	123	1.0000	1.0000	1.0000	0.037303	9.0	0.0000	2.3526	0.6527	0.3634	0.0
1	XOR	c19_r8	8	20	0.50	100	0.50	1.0	7	1.0000	1.0000	0.7500	0.210195	10.5	0.0000	2.8451	0.7966	0.2129	0.0
1	XOR	c19_r8	8	20	0.50	100	0.10	0.1	42	0.5000	1.0000	0.5000	0.195400	68.0	0.0000	0.5335	0.7092	0.6140	0.0
1	XOR	c19_r8	8	20	0.50	100	0.10	0.1	123	0.5000	1.0000	1.0000	0.045812	82.5	0.2500	0.6892	0.6107	0.4397	0.0
1	XOR	c19_r8	8	20	0.50	100	0.10	0.1	7	0.7500	1.0000	1.0000	0.039563	57.0	0.0000	0.6093	0.6178	0.3635	0.0
1	XOR	c19_r8	8	20	0.50	100	0.10	0.5	42	1.0000	1.0000	1.0000	0.037298	45.0	0.0000	1.3562	0.5193	0.3639	0.0
1	XOR	c19_r8	8	20	0.50	100	0.10	0.5	123	1.0000	1.0000	1.0000	0.037345	44.5	0.0000	1.1984	0.5121	0.3637	0.0
1	XOR	c19_r8	8	20	0.50	100	0.10	0.5	7	1.0000	1.0000	1.0000	0.037372	51.0	0.0000	1.4590	0.5267	0.3638	0.0
1	XOR	c19_r8	8	20	0.50	100	0.10	1.0	42	1.0000	1.0000	0.7500	0.209313	57.5	0.0000	2.6138	0.8994	0.2162	0.0
1	XOR	c19_r8	8	20	0.50	100	0.10	1.0	123	1.0000	1.0000	1.0000	0.037272	39.2	0.0000	2.3507	0.6525	0.3636	0.0
1	XOR	c19_r8	8	20	0.50	100	0.10	1.0	7	1.0000	1.0000	0.7500	0.210235	52.2	0.0000	2.8429	0.7892	0.2127	0.0
1	XOR	tanh	0	20	0.50	100	0.50	0.1	42	1.0000	1.0000	0.5000	0.250833	11.0	0.0000	0.2492	0.3335	0.4714	0.0
1	XOR	tanh	0	20	0.50	100	0.50	0.1	123	1.0000	1.0000	0.2500	0.250341	12.0	0.0000	0.2331	0.4075	0.4843	0.0
1	XOR	tanh	0	20	0.50	100	0.50	0.1	7	1.0000	1.0000	0.5000	0.250859	11.8	0.0000	0.2616	0.3949	0.4720	0.0
1	XOR	tanh	0	20	0.50	100	0.50	0.5	42	1.0000	1.0000	0.5000	0.229295	31.5	0.0000	1.3722	0.9886	0.6313	0.0
1	XOR	tanh	0	20	0.50	100	0.50	0.5	123	1.0000	1.0000	0.5000	0.230367	35.8	0.0000	1.4024	1.0316	0.6618	0.0
1	XOR	tanh	0	20	0.50	100	0.50	0.5	7	1.0000	1.0000	0.5000	0.219265	34.0	0.0000	1.6234	1.0308	0.6417	0.0
1	XOR	tanh	0	20	0.50	100	0.50	1.0	42	1.0000	1.0000	1.0000	0.073244	38.8	0.0000	2.7059	1.0097	0.4300	0.0
1	XOR	tanh	0	20	0.50	100	0.50	1.0	123	1.0000	1.0000	0.7500	0.115185	28.5	0.2500	2.6975	1.0343	0.5566	0.0
1	XOR	tanh	0	20	0.50	100	0.50	1.0	7	1.0000	1.0000	1.0000	0.089449	32.2	0.0000	3.0925	1.0410	0.5561	0.0
1	XOR	tanh	0	20	0.50	100	0.10	0.1	42	1.0000	1.0000	0.5000	0.250802	45.5	0.0000	0.2495	0.3353	0.4719	0.0
1	XOR	tanh	0	20	0.50	100	0.10	0.1	123	1.0000	1.0000	0.2500	0.250308	50.2	0.0000	0.2322	0.4097	0.4855	0.0
1	XOR	tanh	0	20	0.50	100	0.10	0.1	7	1.0000	1.0000	0.2500	0.250803	49.2	0.0000	0.2633	0.3970	0.4731	0.0
1	XOR	tanh	0	20	0.50	100	0.10	0.5	42	0.0000	1.0000	0.5000	0.313166	100.0	0.0000	1.3824	1.1075	0.7869	0.0
1	XOR	tanh	0	20	0.50	100	0.10	0.5	123	0.0000	1.0000	0.5000	0.315887	100.0	0.0000	1.4025	1.1223	0.7932	0.0
1	XOR	tanh	0	20	0.50	100	0.10	0.5	7	0.0000	1.0000	0.5000	0.284748	100.0	0.0000	1.6307	1.1411	0.7725	0.0
1	XOR	tanh	0	20	0.50	100	0.10	1.0	42	0.0000	1.0000	0.7500	0.195510	100.0	0.0000	2.6534	1.2032	0.7163	0.0
1	XOR	tanh	0	20	0.50	100	0.10	1.0	123	0.0000	1.0000	0.7500	0.185141	100.0	0.2500	2.6408	1.2191	0.6891	0.0
1	XOR	tanh	0	20	0.50	100	0.10	1.0	7	0.0000	1.0000	0.5000	0.252426	100.0	0.0000	2.9404	1.1841	0.7631	0.0
2	XOR	c19_r1	1	10	0.10	20	0.50	0.1	42	1.0000	1.0000	0.5000	0.287696	8.5	0.0000	0.2155	0.1144	0.3055	0.0
2	XOR	c19_r1	1	10	0.10	20	0.50	0.1	123	1.0000	1.0000	0.5000	0.287461	8.8	0.0000	0.2338	0.1385	0.3055	0.0
2	XOR	c19_r1	1	10	0.10	20	0.50	0.1	7	1.0000	1.0000	0.5000	0.287782	8.0	0.0000	0.1837	0.0918	0.3056	0.0
2	XOR	c19_r1	1	10	0.10	50	0.50	0.1	42	1.0000	1.0000	0.5000	0.287697	8.5	0.0000	0.2154	0.1143	0.3055	0.0
2	XOR	c19_r1	1	10	0.10	50	0.50	0.1	123	1.0000	1.0000	0.5000	0.287462	8.8	0.0000	0.2337	0.1384	0.3055	0.0
2	XOR	c19_r1	1	10	0.10	50	0.50	0.1	7	1.0000	1.0000	0.5000	0.287782	8.0	0.0000	0.1836	0.0917	0.3056	0.0
2	XOR	c19_r1	1	10	0.10	100	0.50	0.1	42	1.0000	1.0000	0.5000	0.287697	8.5	0.0000	0.2154	0.1143	0.3055	0.0
2	XOR	c19_r1	1	10	0.10	100	0.50	0.1	123	1.0000	1.0000	0.5000	0.287462	8.8	0.0000	0.2337	0.1384	0.3055	0.0
2	XOR	c19_r1	1	10	0.10	100	0.50	0.1	7	1.0000	1.0000	0.5000	0.287782	8.0	0.0000	0.1836	0.0917	0.3056	0.0
2	XOR	c19_r1	1	10	0.10	200	0.50	0.1	42	1.0000	1.0000	0.5000	0.287697	8.5	0.0000	0.2154	0.1143	0.3055	0.0
2	XOR	c19_r1	1	10	0.10	200	0.50	0.1	123	1.0000	1.0000	0.5000	0.287462	8.8	0.0000	0.2337	0.1384	0.3055	0.0
2	XOR	c19_r1	1	10	0.10	200	0.50	0.1	7	1.0000	1.0000	0.5000	0.287782	8.0	0.0000	0.1836	0.0917	0.3056	0.0
2	XOR	c19_r1	1	10	0.50	20	0.50	0.1	42	1.0000	1.0000	0.5000	0.322069	8.0	0.0000	0.2085	0.1166	0.2310	0.0
2	XOR	c19_r1	1	10	0.50	20	0.50	0.1	123	1.0000	1.0000	0.5000	0.321006	8.0	0.0000	0.2177	0.1141	0.2328	0.0
2	XOR	c19_r1	1	10	0.50	20	0.50	0.1	7	1.0000	1.0000	0.5000	0.322129	8.0	0.0000	0.1847	0.1021	0.2314	0.0
2	XOR	c19_r1	1	10	0.50	50	0.50	0.1	42	1.0000	1.0000	0.5000	0.322070	8.0	0.0000	0.2084	0.1166	0.2310	0.0
2	XOR	c19_r1	1	10	0.50	50	0.50	0.1	123	1.0000	1.0000	0.5000	0.321007	8.0	0.0000	0.2177	0.1141	0.2328	0.0
2	XOR	c19_r1	1	10	0.50	50	0.50	0.1	7	1.0000	1.0000	0.5000	0.322130	8.0	0.0000	0.1847	0.1020	0.2314	0.0
2	XOR	c19_r1	1	10	0.50	100	0.50	0.1	42	1.0000	1.0000	0.5000	0.322070	8.0	0.0000	0.2084	0.1166	0.2310	0.0
2	XOR	c19_r1	1	10	0.50	100	0.50	0.1	123	1.0000	1.0000	0.5000	0.321007	8.0	0.0000	0.2177	0.1141	0.2328	0.0
2	XOR	c19_r1	1	10	0.50	100	0.50	0.1	7	1.0000	1.0000	0.5000	0.322130	8.0	0.0000	0.1847	0.1020	0.2314	0.0
2	XOR	c19_r1	1	10	0.50	200	0.50	0.1	42	1.0000	1.0000	0.5000	0.322070	8.0	0.0000	0.2084	0.1166	0.2310	0.0
2	XOR	c19_r1	1	10	0.50	200	0.50	0.1	123	1.0000	1.0000	0.5000	0.321007	8.0	0.0000	0.2177	0.1141	0.2328	0.0
2	XOR	c19_r1	1	10	0.50	200	0.50	0.1	7	1.0000	1.0000	0.5000	0.322130	8.0	0.0000	0.1847	0.1020	0.2314	0.0
2	XOR	c19_r1	1	10	1.00	20	0.50	0.1	42	1.0000	0.5000	0.5000	0.478810	5.8	0.0000	0.2035	0.0729	0.0216	0.0
2	XOR	c19_r1	1	10	1.00	20	0.50	0.1	123	1.0000	0.5000	0.5000	0.477939	5.8	0.0000	0.2043	0.0487	0.0225	0.0
2	XOR	c19_r1	1	10	1.00	20	0.50	0.1	7	1.0000	0.5000	0.5000	0.478544	5.5	0.0000	0.1856	0.0753	0.0220	0.0
2	XOR	c19_r1	1	10	1.00	50	0.50	0.1	42	1.0000	0.5000	0.5000	0.493791	5.5	0.0000	0.2032	0.0723	0.0062	0.0
2	XOR	c19_r1	1	10	1.00	50	0.50	0.1	123	1.0000	0.5000	0.5000	0.493247	5.2	0.0000	0.1992	0.0465	0.0067	0.0
2	XOR	c19_r1	1	10	1.00	50	0.50	0.1	7	1.0000	0.5000	0.5000	0.493651	4.8	0.0000	0.1863	0.0747	0.0064	0.0
2	XOR	c19_r1	1	10	1.00	100	0.50	0.1	42	1.0000	0.5000	0.5000	0.497787	5.2	0.0000	0.2036	0.0726	0.0022	0.0
