step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac
1,4.527793,4.527458,0.245972,0.246084,0.000001,13.3,64,0.9995
10,4.214697,4.214028,0.276779,0.276903,0.000015,127.8,640,0.9995
20,4.046777,4.046254,0.266663,0.266760,0.000030,253.2,1280,0.9996
30,3.821750,3.821515,0.276428,0.276454,0.000045,379.8,1920,0.9999
40,3.642537,3.641041,0.269287,0.269435,0.000060,507.0,2560,0.9995
50,3.546835,3.545988,0.268799,0.268873,0.000075,634.6,3200,0.9997
55,3.515512,3.513152,0.256592,0.256803,0.000082,714.8,3520,0.9992
60,3.496033,3.494481,0.263107,0.263252,0.000090,796.0,3840,0.9995
65,3.408575,3.407830,0.285721,0.285773,0.000097,878.5,4160,0.9998
70,3.446922,3.446351,0.275284,0.275334,0.000105,962.0,4480,0.9998
75,3.427557,3.426882,0.264481,0.264529,0.000112,1044.7,4800,0.9998
80,3.401659,3.400901,0.269882,0.269932,0.000120,1126.5,5120,0.9998
85,3.408368,3.407574,0.261963,0.262011,0.000127,1206.6,5440,0.9998
90,3.478892,3.475174,0.251678,0.251932,0.000135,1289.5,5760,0.9990
95,3.450934,3.449454,0.250076,0.250168,0.000142,1371.1,6080,0.9996
100,3.460659,3.459561,0.242264,0.242330,0.000150,1450.2,6400,0.9997
105,3.421182,3.420794,0.249649,0.249672,0.000158,1532.3,6720,0.9999
110,3.390744,3.387770,0.263977,0.264171,0.000165,1613.5,7040,0.9993
101,3.349485,3.345741,0.261276,0.261516,0.000151,13.7,6464,0.9991
110,3.430264,3.428931,0.250885,0.250977,0.000165,159.3,7040,0.9996
120,3.362795,3.361106,0.258240,0.258334,0.000180,303.7,7680,0.9996
130,3.355911,3.351837,0.253830,0.254070,0.000195,432.4,8320,0.9991
140,3.240645,3.240645,0.287094,0.287094,0.000210,572.0,8960,1.0000
150,3.399676,3.396670,0.266846,0.267017,0.000225,712.5,9600,0.9994
155,3.283911,3.281765,0.269867,0.269991,0.000232,803.3,9920,0.9995
160,3.422084,3.419470,0.235855,0.236006,0.000240,894.9,10240,0.9994
165,3.427042,3.426226,0.252762,0.252808,0.000247,973.0,10560,0.9998
170,3.387375,3.386566,0.258484,0.258531,0.000255,1037.1,10880,0.9998
175,3.295803,3.293412,0.267014,0.267160,0.000262,1101.3,11200,0.9995
180,3.437489,3.435910,0.252228,0.252320,0.000270,1165.1,11520,0.9996
185,3.358839,3.356647,0.245697,0.245810,0.000277,1236.6,11840,0.9995
190,3.429417,3.427147,0.255692,0.255832,0.000285,1312.9,12160,0.9995
195,3.339674,3.338774,0.258286,0.258333,0.000293,1397.2,12480,0.9998
200,3.443906,3.440558,0.242889,0.243067,0.000300,1467.5,12800,0.9993
205,3.346984,3.343860,0.254105,0.254291,0.000300,1554.0,13120,0.9993
210,3.270049,3.268867,0.293030,0.293110,0.000300,1638.6,13440,0.9997
215,3.345674,3.344494,0.275345,0.275420,0.000300,1714.8,13760,0.9997
220,3.377171,3.376432,0.257980,0.258028,0.000300,1785.3,14080,0.9998
225,3.388942,3.387805,0.240921,0.240987,0.000300,1851.1,14400,0.9997
230,3.296489,3.294937,0.281616,0.281719,0.000300,1918.2,14720,0.9996
235,3.335051,3.332786,0.271973,0.272122,0.000300,1989.0,15040,0.9995
240,3.348019,3.345616,0.259781,0.259924,0.000300,2058.1,15360,0.9995
245,3.346723,3.346311,0.264481,0.264505,0.000300,2126.7,15680,0.9999
250,3.356629,3.356203,0.263718,0.263742,0.000300,2195.3,16000,0.9999
255,3.349175,3.345009,0.246826,0.247052,0.000300,2278.8,16320,0.9991
260,3.301110,3.300272,0.275375,0.275426,0.000300,2371.3,16640,0.9998
265,3.345316,3.344201,0.268753,0.268852,0.000300,2447.0,16960,0.9996
270,3.343384,3.341094,0.254929,0.255069,0.000300,2513.4,17280,0.9995
275,3.383073,3.382118,0.240280,0.240346,0.000300,2577.8,17600,0.9997
280,3.376612,3.374638,0.252762,0.252878,0.000300,2636.0,17920,0.9995
285,3.339636,3.338328,0.268555,0.268628,0.000300,2694.0,18240,0.9997
290,3.326784,3.322306,0.253998,0.254254,0.000300,2753.4,18560,0.9990
295,3.354993,3.353891,0.262329,0.262401,0.000300,2814.8,18880,0.9997
300,3.242535,3.240785,0.278748,0.278850,0.000300,2880.5,19200,0.9996
305,3.301406,3.297954,0.279236,0.279441,0.000300,2961.6,19520,0.9993
310,3.340852,3.338866,0.259613,0.259724,0.000300,3044.3,19840,0.9996
315,3.314898,3.313624,0.259644,0.259715,0.000300,3120.0,20160,0.9997
320,3.373388,3.371707,0.256134,0.256228,0.000300,3185.0,20480,0.9996
301,3.398233,3.396096,0.253403,0.253519,0.000100,14.0,19264,0.9995
310,3.442869,3.440740,0.237961,0.238070,0.000100,133.5,19840,0.9995
320,3.293046,3.291759,0.267624,0.267697,0.000100,262.2,20480,0.9997
330,3.301169,3.298255,0.263931,0.264101,0.000100,394.0,21120,0.9994
340,3.252851,3.249053,0.279388,0.279619,0.000100,521.3,21760,0.9992
350,3.252005,3.251155,0.283936,0.283988,0.000100,650.5,22400,0.9998
355,3.303337,3.302060,0.255966,0.256037,0.000100,725.8,22720,0.9997
351,3.345629,3.344011,0.248596,0.248687,0.000099,13.2,22464,0.9996
360,3.318321,3.317088,0.252457,0.252526,0.000099,128.5,23040,0.9997
370,3.357273,3.353460,0.266739,0.266983,0.000099,270.9,23680,0.9991
380,3.334098,3.331615,0.255539,0.255679,0.000099,407.3,24320,0.9995
390,3.320527,3.317544,0.246964,0.247122,0.000099,535.4,24960,0.9994
400,3.334073,3.332873,0.259003,0.259074,0.000099,662.2,25600,0.9997
401,3.392550,3.391250,0.239319,0.239392,0.000099,12.4,25664,0.9997
410,3.255819,3.253624,0.270950,0.271074,0.000099,97.3,26240,0.9995
420,3.311900,3.310619,0.251663,0.251732,0.000098,193.7,26880,0.9997
401,3.269240,3.265051,0.275482,0.275735,0.000099,8.7,25664,0.9991
401,3.310089,3.309232,0.261765,0.261812,0.000099,8.8,25664,0.9998
410,3.360728,3.359525,0.268875,0.268949,0.000099,93.8,26240,0.9997
401,3.333869,3.332630,0.262009,0.262081,0.000099,11.7,25664,0.9997
401,3.353378,3.350626,0.260364,0.260524,0.000099,11.0,49724,0.9994
410,3.331552,3.329747,0.267121,0.267235,0.000099,97.6,50840,0.9996
420,3.294480,3.292318,0.260561,0.260684,0.000098,202.7,52080,0.9995
430,3.301866,3.300821,0.256466,0.256526,0.000098,313.8,53320,0.9998
440,3.282221,3.281185,0.269051,0.269114,0.000098,427.3,54560,0.9998
450,3.313921,3.311774,0.256426,0.256548,0.000098,542.1,55800,0.9995
455,3.296130,3.294675,0.265751,0.265839,0.000098,610.6,56420,0.9997
460,3.263832,3.262731,0.268586,0.268650,0.000098,670.3,57040,0.9998
465,3.325306,3.322591,0.254828,0.254984,0.000098,728.2,57660,0.9994
470,3.246270,3.244604,0.271894,0.271997,0.000098,785.9,58280,0.9996
475,3.295604,3.293463,0.263467,0.263604,0.000098,842.8,58900,0.9995
480,3.286168,3.283643,0.257616,0.257762,0.000098,899.2,59520,0.9994
485,3.314111,3.311462,0.255741,0.255898,0.000097,956.1,60140,0.9994
490,3.277958,3.275431,0.263822,0.263971,0.000097,1012.1,60760,0.9994
495,3.291637,3.289242,0.258624,0.258770,0.000097,1083.3,61380,0.9994
500,3.311261,3.309289,0.259159,0.259269,0.000097,1182.7,62000,0.9996
505,3.319603,3.317679,0.254481,0.254589,0.000097,1314.8,62620,0.9996
510,3.331747,3.330691,0.253764,0.253824,0.000097,1414.8,63240,0.9998
515,3.293750,3.290900,0.266932,0.267109,0.000097,1514.5,63860,0.9993
520,3.322248,3.320574,0.254072,0.254168,0.000097,1614.2,64480,0.9996
525,3.288122,3.286556,0.257576,0.257674,0.000097,1714.4,65100,0.9996
530,3.266351,3.264738,0.267578,0.267679,0.000097,1814.0,65720,0.9996
535,3.278896,3.277050,0.257419,0.257528,0.000097,1913.7,66340,0.9996
540,3.294914,3.291277,0.253898,0.254115,0.000096,2013.5,66960,0.9991
545,3.234479,3.232829,0.271847,0.271949,0.000096,2080.4,67580,0.9996
550,3.280284,3.278524,0.258891,0.258989,0.000096,2129.0,68200,0.9996
555,3.342999,3.340422,0.259907,0.260055,0.000096,2189.7,68820,0.9994
560,3.276146,3.274916,0.255828,0.255900,0.000096,2238.4,69440,0.9997
565,3.243351,3.240843,0.266145,0.266296,0.000096,2286.7,70060,0.9994
570,3.251150,3.249381,0.271484,0.271587,0.000096,2336.8,70680,0.9996
575,3.258887,3.257830,0.266554,0.266617,0.000096,2385.1,71300,0.9998
580,3.328138,3.325366,0.251166,0.251320,0.000096,2433.5,71920,0.9994
585,3.298956,3.297697,0.265735,0.265811,0.000095,2481.9,72540,0.9997
590,3.282826,3.280643,0.262853,0.262977,0.000095,2530.5,73160,0.9995
595,3.282047,3.279250,0.259340,0.259500,0.000095,2578.8,73780,0.9994
600,3.319249,3.316948,0.257749,0.257884,0.000095,2627.3,74400,0.9995
605,3.295932,3.293709,0.262687,0.262824,0.000095,2688.1,75020,0.9995
610,3.318993,3.316902,0.256371,0.256505,0.000095,2736.4,75640,0.9995
615,3.260524,3.259481,0.263593,0.263655,0.000095,2785.3,76260,0.9998
620,3.239383,3.237909,0.265601,0.265689,0.000095,2833.7,76880,0.9997
625,3.270114,3.267670,0.265727,0.265866,0.000094,2882.8,77500,0.9995
630,3.284743,3.282551,0.261388,0.261512,0.000094,2931.1,78120,0.9995
635,3.280209,3.277536,0.261238,0.261387,0.000094,2979.4,78740,0.9994
640,3.224925,3.223114,0.278360,0.278465,0.000094,3027.7,79360,0.9996
645,3.236128,3.234161,0.269720,0.269835,0.000094,3076.8,79980,0.9996
650,3.308329,3.306384,0.247078,0.247183,0.000094,3125.4,80600,0.9996
