step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac
1,0.694265,0.693948,0.428123,0.428534,0.000010,0.8,512,0.8773
10,0.308995,0.309032,0.500156,0.500797,0.000100,4.5,5120,0.8712
20,0.330776,0.330848,0.501854,0.502162,0.000200,8.4,10240,0.8786
30,0.283874,0.283818,0.502922,0.503735,0.000300,12.1,15360,0.8712
40,0.259430,0.259207,0.506092,0.506561,0.000400,15.3,20480,0.8721
50,0.255527,0.255075,0.513145,0.515449,0.000500,18.6,25600,0.8721
60,0.252277,0.251688,0.523693,0.527057,0.000600,22.9,30720,0.8685
70,0.249953,0.248817,0.536118,0.541678,0.000700,27.5,35840,0.8701
80,0.247621,0.246307,0.547260,0.552779,0.000800,31.2,40960,0.8806
90,0.245769,0.243634,0.555752,0.563934,0.000900,34.5,46080,0.8686
100,0.244396,0.241684,0.563740,0.572238,0.001000,37.7,51200,0.8789
110,0.242992,0.239914,0.568928,0.578608,0.001000,40.8,56320,0.8741
120,0.242563,0.238698,0.573193,0.583986,0.001000,44.5,61440,0.8744
130,0.240726,0.236642,0.580353,0.591230,0.001000,48.6,66560,0.8820
140,0.240409,0.235880,0.581940,0.593260,0.001000,52.3,71680,0.8814
150,0.239981,0.234578,0.585453,0.597898,0.001000,56.2,76800,0.8744
160,0.239330,0.233778,0.587215,0.599861,0.001000,60.2,81920,0.8744
170,0.239432,0.233750,0.588734,0.600691,0.001000,63.6,87040,0.8763
180,0.237409,0.231232,0.594624,0.607881,0.001000,67.2,92160,0.8762
190,0.237368,0.230597,0.596123,0.609562,0.001000,70.6,97280,0.8799
200,0.237540,0.230581,0.595478,0.609357,0.001000,73.9,102400,0.8718
210,0.236911,0.229096,0.598621,0.612816,0.001000,77.3,107520,0.8732
220,0.234025,0.226724,0.604244,0.618587,0.001000,82.7,112640,0.8786
230,0.235356,0.227960,0.600925,0.614798,0.001000,86.8,117760,0.8746
240,0.234525,0.225730,0.605732,0.620988,0.001000,90.4,122880,0.8738
250,0.233497,0.224686,0.608456,0.623510,0.000999,93.8,128000,0.8808
260,0.232814,0.222687,0.610401,0.627102,0.000999,97.5,133120,0.8710
