step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac
1,5.297672,5.260223,0.011597,0.012440,0.000010,0.7,512,0.8856
10,5.286613,5.243074,0.012878,0.014220,0.000100,3.6,5120,0.8756
20,5.248770,5.204422,0.013306,0.014397,0.000200,6.9,10240,0.8818
30,5.193275,5.134325,0.018066,0.019924,0.000300,10.3,15360,0.8700
40,5.109546,5.040459,0.022095,0.024888,0.000400,14.1,20480,0.8755
50,5.038902,4.958668,0.025604,0.028591,0.000500,18.1,25600,0.8763
60,4.972277,4.890375,0.028748,0.031950,0.000600,21.6,30720,0.8864
70,4.941872,4.850041,0.024841,0.027906,0.000700,25.0,35840,0.8825
80,4.920644,4.818231,0.024475,0.027585,0.000800,28.2,40960,0.8762
90,4.903179,4.791997,0.026611,0.029828,0.000900,31.5,46080,0.8707
100,4.888311,4.777908,0.024719,0.027860,0.001000,35.2,51200,0.8763
110,4.867311,4.756085,0.026306,0.029371,0.001000,39.1,56320,0.8780
120,4.875509,4.759725,0.023865,0.026886,0.001000,43.5,61440,0.8740
130,4.865000,4.750853,0.022491,0.025286,0.001000,46.7,66560,0.8738
140,4.851819,4.735718,0.025604,0.028810,0.001000,50.6,71680,0.8760
150,4.850011,4.735137,0.025116,0.028062,0.001000,54.0,76800,0.8765
160,4.857828,4.738770,0.026093,0.029260,0.001000,57.3,81920,0.8709
170,4.853345,4.735298,0.025970,0.029198,0.001000,61.5,87040,0.8748
180,4.859978,4.745774,0.025818,0.028837,0.001000,64.8,92160,0.8763
190,4.859783,4.739263,0.026215,0.029665,0.001000,67.9,97280,0.8724
200,4.861264,4.739086,0.025208,0.028422,0.001000,71.0,102400,0.8719
210,4.856309,4.736407,0.025848,0.029251,0.001000,76.0,107520,0.8732
220,4.851526,4.727662,0.028290,0.031888,0.001000,81.7,112640,0.8719
230,4.856651,4.734950,0.026062,0.029367,0.001000,85.9,117760,0.8740
240,4.859285,4.736817,0.024780,0.027713,0.001000,90.1,122880,0.8711
250,4.852572,4.731240,0.026611,0.029835,0.000999,93.3,128000,0.8756
260,4.848634,4.719742,0.026733,0.030329,0.000999,96.5,133120,0.8664
270,4.841200,4.720407,0.028748,0.032286,0.000999,100.3,138240,0.8743
280,4.854624,4.728065,0.029236,0.033095,0.000999,103.6,143360,0.8714
290,4.844343,4.725364,0.026733,0.029827,0.000999,107.4,148480,0.8789
300,4.844178,4.723081,0.025635,0.028874,0.000999,110.5,153600,0.8751
