step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac
1,5.495296,5.476292,0.010620,0.011745,0.000010,0.6,256,0.8730
10,5.481435,5.464755,0.011963,0.012767,0.000100,4.1,2560,0.8845
20,5.459296,5.440606,0.011658,0.012982,0.000200,7.9,5120,0.8745
30,5.432497,5.411836,0.012756,0.013926,0.000300,11.0,7680,0.8809
40,5.414120,5.385236,0.014893,0.016153,0.000400,15.1,10240,0.8653
50,5.394577,5.360357,0.011108,0.012229,0.000500,18.4,12800,0.8685
60,5.369892,5.331487,0.016724,0.018689,0.000600,22.2,15360,0.8622
70,5.354662,5.321422,0.015930,0.017470,0.000700,25.8,17920,0.8839
80,5.349158,5.308093,0.016479,0.018196,0.000800,29.1,20480,0.8755
90,5.338883,5.298206,0.018372,0.020309,0.000900,32.3,23040,0.8776
100,5.332672,5.290339,0.016785,0.018731,0.001000,36.0,25600,0.8733
110,5.322376,5.280056,0.018738,0.020776,0.001000,40.6,28160,0.8813
120,5.310561,5.263284,0.017944,0.019796,0.001000,45.1,30720,0.8694
130,5.316553,5.271502,0.019348,0.021134,0.001000,48.9,33280,0.8751
140,5.333533,5.284604,0.018372,0.020298,0.001000,52.5,35840,0.8690
150,5.325364,5.275697,0.017944,0.019956,0.001000,55.8,38400,0.8686
160,5.304846,5.255351,0.017517,0.019227,0.001000,59.4,40960,0.8730
170,5.302544,5.253076,0.016357,0.018215,0.001000,63.1,43520,0.8746
180,5.294727,5.249297,0.019836,0.021839,0.001000,67.1,46080,0.8887
190,5.303526,5.250486,0.014954,0.016571,0.001000,70.2,48640,0.8693
200,5.293601,5.242654,0.017700,0.019619,0.001000,73.9,51200,0.8804
210,5.306405,5.250935,0.019043,0.021439,0.001000,78.0,53760,0.8712
220,5.286546,5.235090,0.018616,0.020248,0.001000,82.6,56320,0.8802
230,5.288787,5.232773,0.018616,0.020883,0.001000,86.2,58880,0.8710
240,5.283669,5.229978,0.019165,0.021247,0.001000,89.5,61440,0.8762
250,5.284604,5.226725,0.019775,0.022412,0.000999,92.9,64000,0.8715
260,5.262190,5.210699,0.020386,0.022378,0.000999,96.4,66560,0.8864
270,5.285558,5.226474,0.019409,0.021333,0.000999,99.6,69120,0.8784
280,5.256730,5.193763,0.020813,0.023311,0.000999,102.7,71680,0.8719
290,5.274176,5.210142,0.021118,0.023681,0.000999,105.8,74240,0.8712
300,5.257236,5.192908,0.022217,0.025003,0.000999,109.7,76800,0.8739
310,5.265134,5.200809,0.018677,0.020532,0.000999,113.9,79360,0.8740
320,5.275857,5.204630,0.018738,0.020943,0.000999,118.1,81920,0.8597
330,5.280861,5.212845,0.016785,0.018849,0.000999,121.4,84480,0.8678
340,5.250482,5.186875,0.020020,0.022562,0.000999,125.0,87040,0.8792
350,5.256934,5.191099,0.019775,0.021895,0.000998,129.0,89600,0.8753
