step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac
1,5.628646,5.629190,0.004395,0.004429,0.000010,0.8,256,0.8683
10,5.626411,5.627398,0.004089,0.003778,0.000100,4.9,2560,0.8725
20,5.618887,5.618544,0.005554,0.005397,0.000200,8.6,5120,0.8596
30,5.613389,5.611641,0.003540,0.003696,0.000300,12.6,7680,0.8753
40,5.598367,5.597469,0.002808,0.002509,0.000400,16.0,10240,0.8756
50,5.584445,5.584273,0.004822,0.004938,0.000500,19.7,12800,0.8776
60,5.586674,5.584222,0.004150,0.004132,0.000600,23.4,15360,0.8715
70,5.575970,5.572282,0.005737,0.006194,0.000700,27.7,17920,0.8672
80,5.550958,5.543027,0.006348,0.006792,0.000800,31.6,20480,0.8717
90,5.536551,5.524785,0.008606,0.008896,0.000900,35.7,23040,0.8782
100,5.479841,5.459983,0.012268,0.013277,0.001000,39.5,25600,0.8734
110,5.418391,5.386206,0.016052,0.017640,0.001000,43.0,28160,0.8754
120,5.331268,5.276548,0.026184,0.029207,0.001000,46.8,30720,0.8756
130,5.245543,5.178664,0.030640,0.034176,0.001000,50.7,33280,0.8929
140,5.202257,5.103654,0.035217,0.040022,0.001000,54.6,35840,0.8708
150,5.127714,5.008848,0.043335,0.049119,0.001000,59.0,38400,0.8698
160,5.065316,4.922498,0.046631,0.053177,0.001000,62.7,40960,0.8666
170,4.990441,4.832211,0.051331,0.058902,0.001000,66.6,43520,0.8673
180,4.958358,4.773910,0.054565,0.062628,0.001000,70.6,46080,0.8615
190,4.860820,4.661487,0.063293,0.072233,0.001000,74.4,48640,0.8729
200,4.834648,4.600646,0.066895,0.076464,0.001000,77.7,51200,0.8693
210,4.742238,4.514242,0.075928,0.086314,0.001000,81.1,53760,0.8754
220,4.683573,4.432908,0.080811,0.092802,0.001000,86.2,56320,0.8675
230,4.624662,4.343877,0.081421,0.093412,0.001000,90.0,58880,0.8644
240,4.540547,4.237158,0.091980,0.105910,0.001000,93.7,61440,0.8644
250,4.462315,4.156220,0.096802,0.110112,0.000999,98.0,64000,0.8758
260,4.299895,4.011796,0.109131,0.122244,0.000999,102.0,66560,0.8857
270,4.325655,3.974094,0.112122,0.128880,0.000999,106.0,69120,0.8671
280,4.245859,3.892083,0.109680,0.124547,0.000999,109.3,71680,0.8752
290,4.184723,3.820917,0.119751,0.135667,0.000999,113.1,74240,0.8804
300,4.074431,3.693343,0.128357,0.145719,0.000999,117.2,76800,0.8775
310,4.108714,3.685311,0.125427,0.143227,0.000999,122.2,79360,0.8719
320,4.095774,3.627275,0.124268,0.143738,0.000999,126.6,81920,0.8611
330,3.980158,3.555851,0.129761,0.147393,0.000999,131.2,84480,0.8746
340,4.018152,3.542691,0.129456,0.148276,0.000999,135.7,87040,0.8690
350,3.985164,3.519086,0.130493,0.149064,0.000998,139.6,89600,0.8709
360,3.952374,3.485022,0.130188,0.148703,0.000998,143.8,92160,0.8726
370,3.956912,3.460324,0.127014,0.145704,0.000998,147.7,94720,0.8667
380,3.925016,3.449372,0.131592,0.149815,0.000998,151.5,97280,0.8759
390,3.897227,3.385689,0.130371,0.150205,0.000998,155.8,99840,0.8651
400,3.847507,3.361621,0.132141,0.150380,0.000998,159.9,102400,0.8763
410,3.834321,3.337901,0.136169,0.155345,0.000998,164.3,104960,0.8742
420,3.827417,3.340788,0.139465,0.158779,0.000997,168.6,107520,0.8757
430,3.818512,3.280953,0.136536,0.158149,0.000997,173.5,110080,0.8587
440,3.881395,3.305700,0.136902,0.160009,0.000997,177.9,112640,0.8541
450,3.788136,3.289392,0.133362,0.151735,0.000997,181.3,115200,0.8761
460,3.815214,3.303694,0.139282,0.158951,0.000997,185.2,117760,0.8728
470,3.741297,3.262174,0.139648,0.157833,0.000997,189.4,120320,0.8809
480,3.766169,3.231325,0.143799,0.164102,0.000996,193.9,122880,0.8726
490,3.686453,3.189180,0.144409,0.164485,0.000996,197.9,125440,0.8765
500,3.676226,3.194340,0.145752,0.164346,0.000996,201.7,128000,0.8854
510,3.623462,3.149631,0.151245,0.170536,0.000996,205.8,130560,0.8833
520,3.681393,3.173490,0.151428,0.171944,0.000996,210.4,133120,0.8789
530,3.632391,3.137984,0.146362,0.165511,0.000995,214.2,135680,0.8799
540,3.664355,3.165121,0.148682,0.167957,0.000995,218.3,138240,0.8831
550,3.672795,3.136121,0.153870,0.175680,0.000995,222.0,140800,0.8724
560,3.614894,3.112351,0.157532,0.177937,0.000995,225.2,143360,0.8836
570,3.670821,3.107760,0.154846,0.177665,0.000994,228.9,145920,0.8685
580,3.647455,3.104959,0.151917,0.173819,0.000994,232.5,148480,0.8719
590,3.620836,3.053230,0.158325,0.182427,0.000994,235.9,151040,0.8655
600,3.630042,3.084799,0.156006,0.177973,0.000994,240.0,153600,0.8745
610,3.538383,3.041566,0.164062,0.185157,0.000993,243.6,156160,0.8824
620,3.620807,3.050924,0.160645,0.184037,0.000993,248.4,158720,0.8702
630,3.632480,3.077610,0.164246,0.187077,0.000993,252.9,161280,0.8757
640,3.598793,3.024396,0.167053,0.191757,0.000993,256.6,163840,0.8693
650,3.610551,3.039508,0.164551,0.188449,0.000992,260.2,166400,0.8719
660,3.553656,3.006466,0.169373,0.192599,0.000992,263.8,168960,0.8775
670,3.574685,3.023727,0.162537,0.184289,0.000992,267.8,171520,0.8780
680,3.582235,2.975269,0.170898,0.197619,0.000992,271.5,174080,0.8614
690,3.583632,3.003279,0.172791,0.197278,0.000991,274.8,176640,0.8746
700,3.521206,2.974186,0.172363,0.195994,0.000991,278.3,179200,0.8776
710,3.569837,2.982711,0.174500,0.199846,0.000991,281.6,181760,0.8707
720,3.529128,2.972157,0.173828,0.197644,0.000990,287.2,184320,0.8758
730,3.471083,2.915910,0.181519,0.205743,0.000990,291.0,186880,0.8778
740,3.553647,2.944859,0.179077,0.205773,0.000990,294.6,189440,0.8670
750,3.497734,2.907593,0.184265,0.210265,0.000989,299.1,192000,0.8729
760,3.561592,2.959299,0.178589,0.204598,0.000989,302.3,194560,0.8708
770,3.421209,2.888078,0.186707,0.211098,0.000989,305.9,197120,0.8821
780,3.459319,2.904447,0.183167,0.207787,0.000988,309.4,199680,0.8795
790,3.455567,2.882594,0.189392,0.215276,0.000988,313.1,202240,0.8758
