step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac
1,5.619755,5.617692,0.004578,0.004648,0.000010,0.7,256,0.9849
10,5.185889,5.178514,0.046143,0.046707,0.000100,4.5,2560,0.9879
20,4.109145,4.083056,0.109436,0.111008,0.000200,8.9,5120,0.9858
30,3.209229,3.166203,0.208984,0.211973,0.000300,12.6,7680,0.9859
40,2.924014,2.861286,0.242859,0.246607,0.000400,16.4,10240,0.9848
50,2.760947,2.681100,0.272034,0.276523,0.000500,20.2,12800,0.9838
60,2.653626,2.581739,0.298645,0.302560,0.000600,24.1,15360,0.9871
70,2.580407,2.519602,0.301025,0.304163,0.000700,28.2,17920,0.9897
80,2.568965,2.493325,0.306274,0.310117,0.000800,31.9,20480,0.9876
90,2.520286,2.439125,0.318115,0.322126,0.000900,35.4,23040,0.9875
100,2.532666,2.419410,0.321533,0.327022,0.001000,38.7,25600,0.9832
110,2.452971,2.363089,0.329346,0.333601,0.001000,43.7,28160,0.9872
120,2.431182,2.343849,0.336487,0.340624,0.001000,48.6,30720,0.9879
130,2.439572,2.348956,0.337830,0.342026,0.001000,52.3,33280,0.9877
140,2.380429,2.308988,0.340515,0.343873,0.001000,56.4,35840,0.9902
150,2.355006,2.257558,0.353088,0.357717,0.001000,60.4,38400,0.9871
160,2.379160,2.275021,0.354492,0.359473,0.001000,64.2,40960,0.9861
170,2.413739,2.281225,0.352417,0.358812,0.001000,67.9,43520,0.9822
180,2.335264,2.249977,0.358643,0.362694,0.000999,71.9,46080,0.9888
190,2.322632,2.238890,0.361511,0.365595,0.000999,75.6,48640,0.9888
200,2.288486,2.222628,0.363892,0.366983,0.000999,79.2,51200,0.9916
210,2.343533,2.206983,0.373047,0.379674,0.000999,83.9,53760,0.9825
220,2.330170,2.236236,0.364075,0.368528,0.000999,89.1,56320,0.9879
230,2.302591,2.186341,0.374207,0.379676,0.000998,92.6,58880,0.9856
240,2.320791,2.208528,0.371704,0.376973,0.000998,96.3,61440,0.9860
250,2.313534,2.186624,0.374329,0.380341,0.000998,100.1,64000,0.9842
260,2.283900,2.177203,0.376282,0.381332,0.000997,104.4,66560,0.9868
270,2.261292,2.172632,0.382080,0.386372,0.000997,108.3,69120,0.9889
280,2.254519,2.140068,0.385742,0.390992,0.000997,112.0,71680,0.9866
290,2.306553,2.169392,0.377136,0.383646,0.000996,115.5,74240,0.9830
300,2.244574,2.139411,0.386230,0.391221,0.000996,119.4,76800,0.9872
310,2.247471,2.148524,0.381287,0.385784,0.000996,122.5,79360,0.9883
320,2.194579,2.110445,0.397827,0.401800,0.000995,126.8,81920,0.9901
330,2.221259,2.128350,0.386780,0.391076,0.000995,131.2,84480,0.9890
340,2.246951,2.148278,0.383789,0.388244,0.000994,135.2,87040,0.9885
350,2.265871,2.123056,0.391785,0.398374,0.000994,139.5,89600,0.9835
360,2.223437,2.101225,0.397217,0.402847,0.000993,143.8,92160,0.9860
370,2.225244,2.081887,0.400818,0.407559,0.000993,147.9,94720,0.9835
380,2.194775,2.092600,0.393127,0.397544,0.000992,151.7,97280,0.9889
390,2.219126,2.104203,0.392822,0.397873,0.000991,155.4,99840,0.9873
400,2.195038,2.073429,0.400513,0.406089,0.000991,159.0,102400,0.9863
410,2.166167,2.072080,0.403198,0.407526,0.000990,164.2,104960,0.9894
420,2.190814,2.081803,0.401611,0.406499,0.000990,168.9,107520,0.9880
430,2.176859,2.083809,0.401978,0.406067,0.000989,172.9,110080,0.9899
440,2.195450,2.079751,0.405518,0.410732,0.000988,176.8,112640,0.9873
450,2.128768,2.061883,0.409729,0.412803,0.000988,180.3,115200,0.9926
460,2.138239,2.047222,0.407410,0.411402,0.000987,184.1,117760,0.9903
470,2.184420,2.065512,0.404968,0.410176,0.000986,187.8,120320,0.9873
480,2.186592,2.052898,0.409668,0.415629,0.000985,191.4,122880,0.9857
490,2.154131,2.055025,0.407227,0.411572,0.000985,194.4,125440,0.9894
500,2.143298,2.017181,0.409973,0.415450,0.000984,198.2,128000,0.9868
510,2.131527,2.036305,0.416748,0.421221,0.000983,201.6,130560,0.9894
520,2.181913,2.050773,0.411072,0.416796,0.000982,206.9,133120,0.9863
530,2.134634,2.032498,0.413208,0.417669,0.000981,211.1,135680,0.9893
540,2.101983,2.003142,0.420044,0.424396,0.000980,215.2,138240,0.9897
550,2.112453,2.043956,0.414368,0.417374,0.000979,219.1,140800,0.9928
560,2.143667,2.009199,0.420288,0.426193,0.000979,223.0,143360,0.9861
570,2.158774,2.032158,0.413757,0.419207,0.000978,226.8,145920,0.9870
580,2.174378,2.035194,0.412048,0.417889,0.000977,230.8,148480,0.9860
590,2.140535,2.000814,0.425049,0.431181,0.000976,234.6,151040,0.9858
600,2.153553,2.000621,0.421753,0.428447,0.000975,238.0,153600,0.9844
610,2.150269,2.018920,0.418518,0.424293,0.000974,242.9,156160,0.9864
620,2.101964,2.007487,0.420288,0.424302,0.000973,248.0,158720,0.9905
630,2.147184,2.016407,0.414978,0.420470,0.000972,252.5,161280,0.9869
640,2.144287,2.031777,0.411133,0.415828,0.000970,256.0,163840,0.9887
650,2.185378,2.027318,0.416565,0.423361,0.000969,259.4,166400,0.9839
660,2.122068,1.995346,0.418823,0.424182,0.000968,262.7,168960,0.9874
670,2.117679,2.005553,0.426941,0.431817,0.000967,266.4,171520,0.9887
680,2.119020,1.994969,0.424255,0.429445,0.000966,270.3,174080,0.9879
690,2.138895,2.022088,0.422485,0.427389,0.000965,273.9,176640,0.9885
700,2.217381,1.987108,0.429993,0.440065,0.000964,277.7,179200,0.9771
710,2.131968,1.989693,0.428223,0.434239,0.000962,282.3,181760,0.9861
720,2.120477,1.990219,0.426270,0.431777,0.000961,288.3,184320,0.9872
730,2.064128,1.973306,0.429993,0.433805,0.000960,291.8,186880,0.9912
740,2.097036,1.999185,0.424255,0.428334,0.000959,294.9,189440,0.9905
750,2.069185,1.957064,0.435242,0.439887,0.000957,298.8,192000,0.9894
760,2.098291,1.963221,0.431335,0.437044,0.000956,302.5,194560,0.9869
770,2.156991,2.016057,0.422424,0.428306,0.000955,305.9,197120,0.9863
780,2.078384,1.976299,0.432373,0.436718,0.000953,310.1,199680,0.9901
790,2.144107,1.981132,0.429077,0.435942,0.000952,313.3,202240,0.9843
800,2.118217,1.961184,0.427673,0.434220,0.000951,317.1,204800,0.9849
810,2.123845,1.964743,0.431702,0.438418,0.000949,321.0,207360,0.9847
820,2.075691,1.951716,0.431030,0.436141,0.000948,327.6,209920,0.9883
830,2.093339,1.947168,0.434509,0.440559,0.000946,331.2,212480,0.9863
840,2.087478,1.935340,0.437866,0.444101,0.000945,334.7,215040,0.9860
850,2.086011,1.969752,0.431824,0.436621,0.000943,337.9,217600,0.9890
860,2.101577,1.963191,0.434143,0.439889,0.000942,341.5,220160,0.9869
870,2.076578,1.935771,0.438232,0.444142,0.000940,344.8,222720,0.9867
880,2.120020,1.953619,0.438904,0.445871,0.000939,348.2,225280,0.9844
890,2.115906,1.965776,0.430847,0.437009,0.000937,351.7,227840,0.9859
900,2.073144,1.945688,0.441284,0.446627,0.000936,355.2,230400,0.9880
910,2.069157,1.934867,0.437744,0.443318,0.000934,359.7,232960,0.9874
920,2.104698,1.916810,0.446716,0.454568,0.000933,366.0,235520,0.9827
930,2.086052,1.963782,0.438599,0.443745,0.000931,370.0,238080,0.9884
940,2.132282,1.965682,0.436707,0.443611,0.000929,373.6,240640,0.9844
950,2.024168,1.933461,0.443176,0.446968,0.000928,377.0,243200,0.9915
960,2.088177,1.939513,0.446716,0.453021,0.000926,380.4,245760,0.9861
970,2.088531,1.920378,0.443665,0.450707,0.000924,384.0,248320,0.9844
980,2.075640,1.949482,0.434448,0.439518,0.000923,387.5,250880,0.9885
990,2.087693,1.928754,0.442871,0.449511,0.000921,392.0,253440,0.9852
1000,2.057602,1.934128,0.446838,0.452109,0.000919,395.7,256000,0.9883
1010,2.093088,1.935198,0.440491,0.446984,0.000917,399.5,258560,0.9855
1020,2.069203,1.944946,0.440735,0.445823,0.000916,405.8,261120,0.9886
1030,2.109771,1.934081,0.438477,0.445602,0.000914,409.2,263680,0.9840
1040,2.047601,1.908985,0.446472,0.452129,0.000912,413.1,266240,0.9875
1050,2.047773,1.925043,0.443176,0.448238,0.000910,417.1,268800,0.9887
1060,2.018772,1.895022,0.459656,0.464991,0.000908,421.2,271360,0.9885
1070,2.057653,1.930254,0.440063,0.445282,0.000907,424.6,273920,0.9883
1080,2.049222,1.929979,0.436951,0.441750,0.000905,427.9,276480,0.9891
1090,2.060138,1.909947,0.450073,0.456255,0.000903,431.1,279040,0.9865
1100,2.063537,1.906832,0.449890,0.456324,0.000901,435.1,281600,0.9859
1110,2.042988,1.904789,0.446228,0.451770,0.000899,440.1,284160,0.9877
1120,2.039571,1.924441,0.445984,0.450660,0.000897,445.2,286720,0.9896
1130,2.020195,1.911094,0.446411,0.450758,0.000895,448.7,289280,0.9904
1140,2.008829,1.913018,0.452332,0.456258,0.000893,452.6,291840,0.9914
1150,2.002482,1.906918,0.451660,0.455609,0.000891,456.9,294400,0.9913
1160,2.040260,1.908842,0.446350,0.451643,0.000889,460.5,296960,0.9883
1170,2.057964,1.899149,0.443542,0.449913,0.000887,464.0,299520,0.9858
1180,2.020875,1.893441,0.454041,0.459254,0.000885,467.4,302080,0.9886
1190,2.036249,1.893074,0.452026,0.457980,0.000883,471.1,304640,0.9870
1200,2.018334,1.894203,0.451843,0.456834,0.000881,475.7,307200,0.9891
1210,2.044827,1.878880,0.460999,0.467881,0.000879,480.4,309760,0.9853
1220,2.023962,1.874678,0.453857,0.459978,0.000877,485.1,312320,0.9867
1230,2.031262,1.890576,0.449219,0.454770,0.000875,488.3,314880,0.9878
1240,2.003087,1.903327,0.450439,0.454406,0.000873,492.2,317440,0.9913
1250,2.007558,1.855931,0.459595,0.465706,0.000870,496.3,320000,0.9869
1260,2.019807,1.870606,0.453613,0.459617,0.000868,500.7,322560,0.9869
1270,2.066623,1.884364,0.451843,0.459129,0.000866,504.2,325120,0.9841
1280,1.995056,1.886865,0.454712,0.459026,0.000864,507.6,327680,0.9906
1290,2.083875,1.889478,0.453796,0.461773,0.000862,511.5,330240,0.9827
1300,1.993115,1.842649,0.467957,0.474179,0.000859,515.2,332800,0.9869
