step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac
1,5.500360,5.501951,0.000488,0.000493,0.000010,0.7,256,0.9901
10,4.593143,4.580327,0.041748,0.042329,0.000100,4.4,2560,0.9863
20,3.368004,3.313991,0.159668,0.162172,0.000200,8.7,5120,0.9846
30,3.226198,3.166273,0.186646,0.188533,0.000300,12.8,7680,0.9900
40,3.172701,3.084340,0.190857,0.193216,0.000400,16.3,10240,0.9878
50,3.187290,3.049814,0.195496,0.199043,0.000500,20.5,12800,0.9822
60,3.096676,3.004737,0.201416,0.203804,0.000600,24.2,15360,0.9883
70,3.103887,2.985164,0.200806,0.203816,0.000700,27.9,17920,0.9852
80,3.048262,2.947615,0.202148,0.204697,0.000800,31.3,20480,0.9875
90,3.030586,2.924898,0.206604,0.209261,0.000900,35.2,23040,0.9873
100,3.029522,2.916351,0.209656,0.212588,0.001000,38.6,25600,0.9862
110,3.013304,2.911712,0.214905,0.217614,0.001000,44.0,28160,0.9875
120,2.978991,2.876098,0.217468,0.220183,0.001000,49.2,30720,0.9877
130,2.980289,2.841552,0.218323,0.221953,0.001000,53.5,33280,0.9836
140,2.999716,2.863864,0.217468,0.220920,0.001000,57.5,35840,0.9844
150,2.978717,2.852832,0.223022,0.226226,0.001000,61.5,38400,0.9858
160,2.973022,2.840936,0.229248,0.232685,0.001000,65.5,40960,0.9852
170,2.989428,2.852419,0.216858,0.220164,0.001000,70.0,43520,0.9850
180,2.914240,2.810705,0.225281,0.227868,0.001000,73.7,46080,0.9886
190,2.919444,2.785538,0.229797,0.233185,0.001000,77.7,48640,0.9855
200,2.949426,2.818537,0.225891,0.229164,0.001000,81.5,51200,0.9857
210,2.934292,2.825027,0.233643,0.236471,0.001000,84.8,53760,0.9880
220,2.882417,2.781121,0.229675,0.232212,0.001000,89.5,56320,0.9891
230,2.865072,2.780919,0.239136,0.241286,0.001000,93.7,58880,0.9911
240,2.859804,2.764562,0.244019,0.246516,0.001000,98.0,61440,0.9899
250,2.860137,2.758933,0.245422,0.248072,0.001000,101.4,64000,0.9893
260,2.874983,2.733569,0.250244,0.253964,0.001000,105.0,66560,0.9854
270,2.909786,2.769412,0.241211,0.244812,0.001000,108.8,69120,0.9853
280,2.869786,2.734247,0.246094,0.249613,0.001000,112.8,71680,0.9859
290,2.876503,2.754886,0.249817,0.252982,0.001000,116.6,74240,0.9875
300,2.807992,2.715860,0.251465,0.253835,0.001000,120.5,76800,0.9907
310,2.858247,2.728407,0.255615,0.258982,0.001000,125.9,79360,0.9870
320,2.817514,2.708685,0.255432,0.258285,0.000999,131.7,81920,0.9890
330,2.841021,2.714664,0.257629,0.260926,0.000999,135.4,84480,0.9874
340,2.884869,2.719676,0.249084,0.253211,0.000999,139.4,87040,0.9837
350,2.822023,2.698551,0.253235,0.256333,0.000999,143.1,89600,0.9879
360,2.824720,2.687704,0.254211,0.257655,0.000999,146.5,92160,0.9866
370,2.844820,2.693367,0.251038,0.254770,0.000999,150.0,94720,0.9854
380,2.809062,2.699834,0.250061,0.252730,0.000999,154.6,97280,0.9894
390,2.847616,2.685986,0.257446,0.261484,0.000999,158.9,99840,0.9846
400,2.828990,2.690871,0.259644,0.263194,0.000999,162.8,102400,0.9865
410,2.844906,2.680764,0.263367,0.267580,0.000999,168.3,104960,0.9843
420,2.808798,2.671358,0.259094,0.262475,0.000999,173.9,107520,0.9871
430,2.820318,2.666447,0.264954,0.268876,0.000999,177.6,110080,0.9854
440,2.766794,2.676870,0.261597,0.263835,0.000999,181.0,112640,0.9915
450,2.812680,2.675604,0.263977,0.267371,0.000999,184.5,115200,0.9873
460,2.776824,2.635005,0.268921,0.272530,0.000999,188.3,117760,0.9868
470,2.818794,2.647934,0.265930,0.270151,0.000998,192.4,120320,0.9844
480,2.823554,2.637349,0.263123,0.267664,0.000998,196.2,122880,0.9830
490,2.794036,2.642992,0.267456,0.271197,0.000998,200.3,125440,0.9862
500,2.755965,2.620107,0.267578,0.270868,0.000998,204.2,128000,0.9879
510,2.778969,2.622804,0.265930,0.269750,0.000998,209.3,130560,0.9858
520,2.771276,2.628804,0.268799,0.272272,0.000998,217.1,133120,0.9872
530,2.783262,2.626610,0.270386,0.274235,0.000998,222.1,135680,0.9860
540,2.762408,2.601249,0.273315,0.277258,0.000998,226.4,138240,0.9858
550,2.792120,2.612502,0.265869,0.270140,0.000998,230.8,140800,0.9842
560,2.788903,2.611643,0.267090,0.271329,0.000998,234.4,143360,0.9844
570,2.793522,2.602495,0.264893,0.269398,0.000998,238.3,145920,0.9833
580,2.723554,2.583091,0.275208,0.278643,0.000997,241.7,148480,0.9877
590,2.778600,2.607264,0.267761,0.271809,0.000997,245.2,151040,0.9851
600,2.753042,2.596309,0.276917,0.280685,0.000997,248.8,153600,0.9866
610,2.699898,2.587917,0.272339,0.274974,0.000997,252.5,156160,0.9904
620,2.703602,2.600624,0.273865,0.276327,0.000997,258.7,158720,0.9911
630,2.719484,2.589638,0.270874,0.273951,0.000997,263.1,161280,0.9888
640,2.721343,2.565582,0.278320,0.282073,0.000997,266.8,163840,0.9867
650,2.724940,2.581841,0.279114,0.282528,0.000997,270.3,166400,0.9879
660,2.685334,2.577448,0.273193,0.275701,0.000997,274.1,168960,0.9909
670,2.677730,2.549433,0.270996,0.273905,0.000996,277.5,171520,0.9894
680,2.781936,2.586422,0.267761,0.272180,0.000996,281.0,174080,0.9838
690,2.731071,2.567395,0.277283,0.281109,0.000996,284.3,176640,0.9864
