step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac
1,5.712376,5.712574,0.000549,0.000557,0.000010,0.7,256,0.9869
10,4.768142,4.757232,0.060364,0.060978,0.000100,4.6,2560,0.9899
20,3.371182,3.323068,0.154602,0.156600,0.000200,9.5,5120,0.9872
30,3.328966,3.235134,0.187744,0.190677,0.000300,13.4,7680,0.9846
40,3.182067,3.110375,0.185425,0.187288,0.000400,17.8,10240,0.9901
50,3.153061,3.057057,0.197510,0.199901,0.000500,21.7,12800,0.9880
60,3.070785,2.984358,0.197693,0.199790,0.000600,25.9,15360,0.9895
70,3.070775,2.964285,0.197083,0.199641,0.000700,29.9,17920,0.9872
80,3.061013,2.963583,0.204834,0.207224,0.000800,34.0,20480,0.9885
90,3.085681,2.952080,0.204102,0.207393,0.000900,38.2,23040,0.9841
100,3.041009,2.915994,0.210266,0.213366,0.001000,42.1,25600,0.9855
110,2.991986,2.892231,0.211609,0.214092,0.001000,45.6,28160,0.9884
120,2.975650,2.891937,0.214661,0.216764,0.001000,50.3,30720,0.9903
130,2.961489,2.868632,0.220398,0.222723,0.001000,55.0,33280,0.9896
140,2.981101,2.877824,0.213867,0.216336,0.001000,59.4,35840,0.9886
150,2.938012,2.857094,0.217346,0.219327,0.001000,63.2,38400,0.9910
160,2.952883,2.825815,0.225464,0.228575,0.001000,67.3,40960,0.9864
170,2.956950,2.840204,0.229919,0.232790,0.001000,71.5,43520,0.9877
180,2.900214,2.798783,0.228577,0.231073,0.001000,75.7,46080,0.9892
190,2.944410,2.819781,0.218140,0.220986,0.001000,79.4,48640,0.9871
200,2.937351,2.797438,0.232422,0.235833,0.001000,83.5,51200,0.9855
210,2.876514,2.786738,0.235596,0.237802,0.001000,88.3,53760,0.9907
220,2.952024,2.783211,0.239685,0.243883,0.001000,93.3,56320,0.9828
230,2.929609,2.767353,0.239990,0.243996,0.001000,97.7,58880,0.9836
240,2.887310,2.767490,0.238892,0.241784,0.001000,101.8,61440,0.9880
250,2.896815,2.771587,0.243835,0.246956,0.001000,105.5,64000,0.9874
260,2.894518,2.756533,0.243835,0.247215,0.001000,109.8,66560,0.9863
270,2.868985,2.762069,0.245789,0.248381,0.001000,113.6,69120,0.9896
280,2.879929,2.766009,0.239258,0.241916,0.001000,117.5,71680,0.9890
290,2.878572,2.744534,0.247925,0.251175,0.001000,121.2,74240,0.9871
300,2.836632,2.722925,0.248718,0.251481,0.001000,125.6,76800,0.9890
310,2.836983,2.723444,0.249451,0.252222,0.001000,131.8,79360,0.9890
320,2.801713,2.700772,0.252930,0.255377,0.000999,138.0,81920,0.9904
330,2.873958,2.722842,0.250488,0.254086,0.000999,141.9,84480,0.9858
340,2.836238,2.704772,0.257324,0.260585,0.000999,145.8,87040,0.9875
350,2.864314,2.729632,0.252380,0.255626,0.000999,149.6,89600,0.9873
360,2.784455,2.678361,0.256226,0.258848,0.000999,153.6,92160,0.9899
370,2.853068,2.695076,0.257751,0.261632,0.000999,157.9,94720,0.9852
380,2.836939,2.680764,0.255188,0.258934,0.000999,161.6,97280,0.9855
390,2.850977,2.669411,0.260193,0.264635,0.000999,165.6,99840,0.9832
400,2.792272,2.679038,0.259155,0.261872,0.000999,169.9,102400,0.9896
410,2.764509,2.649811,0.266968,0.269817,0.000999,176.4,104960,0.9894
420,2.776826,2.649904,0.263367,0.266473,0.000999,181.4,107520,0.9883
430,2.787046,2.628241,0.261475,0.265263,0.000999,185.2,110080,0.9857
440,2.793802,2.672453,0.264404,0.267341,0.000999,188.9,112640,0.9890
450,2.758144,2.632723,0.272095,0.275185,0.000999,192.5,115200,0.9888
460,2.794009,2.632001,0.269653,0.273611,0.000999,197.1,117760,0.9855
470,2.780159,2.642634,0.260620,0.263841,0.000998,200.8,120320,0.9878
480,2.798618,2.638370,0.266541,0.270369,0.000998,204.2,122880,0.9858
