step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac
1,5.266728,5.261396,0.002319,0.002344,0.000010,0.7,256,0.9896
10,4.663034,4.645040,0.007019,0.007119,0.000100,4.7,2560,0.9859
20,4.437620,4.411363,0.000793,0.000804,0.000200,9.0,5120,0.9869
30,4.432503,4.405227,0.011597,0.011749,0.000300,12.9,7680,0.9870
40,4.420305,4.392642,0.024475,0.024793,0.000400,16.8,10240,0.9872
50,4.403594,4.380110,0.032959,0.033315,0.000500,20.5,12800,0.9893
60,4.415268,4.381117,0.031921,0.032428,0.000600,24.4,15360,0.9844
70,4.384239,4.356373,0.032898,0.033333,0.000700,28.0,17920,0.9869
80,4.398252,4.370766,0.026245,0.026592,0.000800,31.9,20480,0.9869
90,4.370139,4.345513,0.043762,0.044273,0.000900,35.4,23040,0.9885
100,4.379547,4.354029,0.042419,0.042938,0.001000,39.2,25600,0.9879
110,4.380369,4.356363,0.040344,0.040805,0.001000,42.9,28160,0.9887
120,4.366043,4.345768,0.048218,0.048690,0.001000,49.6,30720,0.9903
130,4.397007,4.360322,0.038757,0.039421,0.001000,54.4,33280,0.9832
140,4.374246,4.346226,0.048096,0.048732,0.001000,58.6,35840,0.9869
150,4.363304,4.337031,0.043945,0.044494,0.001000,62.6,38400,0.9877
160,4.385921,4.353030,0.040100,0.040727,0.001000,66.4,40960,0.9846
170,4.382539,4.352934,0.037231,0.037755,0.001000,70.0,43520,0.9861
180,4.373225,4.343354,0.045410,0.046068,0.001000,74.0,46080,0.9857
190,4.368792,4.344146,0.040527,0.041003,0.001000,78.3,48640,0.9884
200,4.383755,4.358347,0.042664,0.043188,0.001000,82.2,51200,0.9879
210,4.363410,4.343163,0.039490,0.039872,0.001000,86.2,53760,0.9904
220,4.365001,4.335832,0.047058,0.047707,0.001000,93.4,56320,0.9864
230,4.341747,4.320720,0.040833,0.041233,0.001000,97.6,58880,0.9903
