step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac
1,5.672197,5.673512,0.005920,0.005977,0.000010,1.3,256,0.9906
10,5.190947,5.188341,0.185608,0.187809,0.000100,7.8,2560,0.9883
20,5.096225,5.094632,0.190186,0.192358,0.000200,16.0,5120,0.9887
30,4.891204,4.883885,0.190002,0.193210,0.000300,22.3,7680,0.9834
40,4.644664,4.635822,0.187134,0.189364,0.000400,30.4,10240,0.9882
50,4.405777,4.393896,0.185120,0.187199,0.000500,37.2,12800,0.9889
60,4.139239,4.123157,0.184998,0.187064,0.000600,45.4,15360,0.9890
70,3.890218,3.872604,0.184448,0.186175,0.000700,52.4,17920,0.9907
80,3.716069,3.673287,0.189270,0.192812,0.000800,59.7,20480,0.9816
90,3.527774,3.491627,0.188354,0.190859,0.000900,67.1,23040,0.9869
100,3.400386,3.359587,0.187134,0.189599,0.001000,74.1,25600,0.9870
110,3.342932,3.289182,0.188354,0.191368,0.001000,85.9,28160,0.9843
120,3.281274,3.226115,0.190857,0.193802,0.001000,95.0,30720,0.9848
130,3.231200,3.167835,0.189697,0.192936,0.001000,103.8,33280,0.9832
140,3.204425,3.156639,0.198364,0.200878,0.001000,111.3,35840,0.9875
150,3.152004,3.099358,0.204773,0.207547,0.001000,118.6,38400,0.9866
160,3.118823,3.055068,0.205200,0.208457,0.001000,126.5,40960,0.9844
170,3.084414,3.036626,0.210693,0.213165,0.001000,134.5,43520,0.9884
180,3.039760,2.983413,0.203796,0.206647,0.001000,143.2,46080,0.9862
190,3.002327,2.945313,0.208435,0.211298,0.001000,151.3,48640,0.9865
200,2.966459,2.908845,0.214722,0.217685,0.001000,158.1,51200,0.9864
210,2.956156,2.909188,0.236267,0.238951,0.001000,169.6,53760,0.9888
220,2.937161,2.868828,0.249084,0.253101,0.001000,179.8,56320,0.9841
230,2.880214,2.812209,0.255676,0.259702,0.001000,186.9,58880,0.9845
240,2.859702,2.804595,0.255676,0.258916,0.001000,194.2,61440,0.9875
250,2.821387,2.776882,0.275208,0.278042,0.001000,202.2,64000,0.9898
260,2.786111,2.729641,0.291077,0.294728,0.001000,210.2,66560,0.9876
270,2.787118,2.723093,0.287720,0.291690,0.001000,217.9,69120,0.9864
280,2.794240,2.722006,0.287415,0.291904,0.001000,225.4,71680,0.9846
290,2.759281,2.683372,0.285156,0.289934,0.001000,233.0,74240,0.9835
300,2.730507,2.656597,0.291626,0.296273,0.001000,241.5,76800,0.9843
310,2.717405,2.641536,0.299011,0.303532,0.001000,254.0,79360,0.9851
320,2.648314,2.596187,0.300232,0.303473,0.000999,262.8,81920,0.9893
330,2.665132,2.588111,0.295959,0.300378,0.000999,269.5,84480,0.9853
340,2.620423,2.570833,0.287292,0.289911,0.000999,276.2,87040,0.9910
350,2.626846,2.559585,0.300659,0.304601,0.000999,283.0,89600,0.9871
360,2.608125,2.528575,0.308899,0.313646,0.000999,289.7,92160,0.9849
370,2.618052,2.542175,0.307434,0.311869,0.000999,296.5,94720,0.9858
380,2.594909,2.514316,0.313843,0.318607,0.000999,303.2,97280,0.9850
390,2.573343,2.498410,0.317200,0.321756,0.000999,310.0,99840,0.9858
400,2.543860,2.482512,0.318481,0.322079,0.000999,316.7,102400,0.9888
410,2.549134,2.478536,0.322632,0.326760,0.000999,328.2,104960,0.9874
420,2.536746,2.470590,0.325439,0.329217,0.000999,337.2,107520,0.9885
430,2.534954,2.482672,0.327820,0.330930,0.000999,344.5,110080,0.9906
440,2.538179,2.456115,0.326965,0.331806,0.000999,351.2,112640,0.9854
450,2.530256,2.451157,0.333191,0.337830,0.000999,357.8,115200,0.9863
460,2.541312,2.452271,0.324707,0.330107,0.000999,364.3,117760,0.9836
470,2.489357,2.434266,0.328125,0.331381,0.000998,370.9,120320,0.9902
480,2.515161,2.423490,0.333923,0.339098,0.000998,377.5,122880,0.9847
490,2.491905,2.427846,0.332458,0.336380,0.000998,386.2,125440,0.9883
500,2.500390,2.412596,0.334290,0.339385,0.000998,395.2,128000,0.9850
510,2.441614,2.387786,0.339417,0.342510,0.000998,406.2,130560,0.9910
520,2.463575,2.374293,0.348938,0.354455,0.000998,415.7,133120,0.9844
530,2.436329,2.374758,0.346619,0.350166,0.000998,422.9,135680,0.9899
540,2.554593,2.497540,0.313599,0.316887,0.000998,429.4,138240,0.9896
550,2.688288,2.618770,0.309814,0.314264,0.000998,436.3,140800,0.9858
560,2.532206,2.471305,0.324646,0.327928,0.000998,443.1,143360,0.9900
570,2.449588,2.385261,0.340149,0.343927,0.000998,450.4,145920,0.9890
580,2.468269,2.405973,0.334717,0.338289,0.000997,458.0,148480,0.9894
590,2.449126,2.365976,0.344238,0.348924,0.000997,465.7,151040,0.9866
600,2.439023,2.367037,0.340942,0.344815,0.000997,472.3,153600,0.9888
610,2.388235,2.314743,0.358459,0.362688,0.000997,485.6,156160,0.9883
620,2.403396,2.331562,0.349487,0.353588,0.000997,494.2,158720,0.9884
630,2.380896,2.310563,0.349487,0.353370,0.000997,502.1,161280,0.9890
640,2.414560,2.325457,0.348267,0.353160,0.000997,509.5,163840,0.9861
650,2.359861,2.282244,0.363586,0.368102,0.000997,516.6,166400,0.9877
660,2.378578,2.314733,0.351013,0.354628,0.000997,523.9,168960,0.9898
670,2.370537,2.310423,0.353027,0.356377,0.000996,530.6,171520,0.9906
680,2.380793,2.303610,0.355835,0.360166,0.000996,538.4,174080,0.9880
690,2.375292,2.300000,0.355225,0.359548,0.000996,545.9,176640,0.9880
700,2.344245,2.272741,0.365417,0.369545,0.000996,552.9,179200,0.9888
710,2.366799,2.269316,0.362732,0.368284,0.000996,565.0,181760,0.9849
720,2.387702,2.288925,0.356934,0.362464,0.000996,574.5,184320,0.9847
730,2.366214,2.274197,0.357422,0.362399,0.000996,581.6,186880,0.9863
740,2.366543,2.287852,0.353577,0.357968,0.000995,588.0,189440,0.9877
750,2.396501,2.326187,0.347046,0.351053,0.000995,596.2,192000,0.9886
760,2.346124,2.283442,0.362610,0.366163,0.000995,603.3,194560,0.9903
770,2.396472,2.302740,0.353088,0.358249,0.000995,610.9,197120,0.9856
780,2.358271,2.284699,0.358215,0.362262,0.000995,618.6,199680,0.9888
790,2.367288,2.274108,0.359192,0.364374,0.000995,625.4,202240,0.9858
800,2.326558,2.232236,0.368958,0.374303,0.000995,632.1,204800,0.9857
810,2.386388,2.246133,0.367798,0.375499,0.000994,642.9,207360,0.9795
820,2.294934,2.231722,0.373352,0.376802,0.000994,652.1,209920,0.9908
830,2.309136,2.229203,0.375061,0.379438,0.000994,658.5,212480,0.9885
840,2.297364,2.214573,0.373535,0.378034,0.000994,665.7,215040,0.9881
850,2.305127,2.215014,0.374146,0.379074,0.000994,672.3,217600,0.9870
860,2.305277,2.211029,0.376038,0.381274,0.000994,679.7,220160,0.9863
870,2.310888,2.227286,0.370972,0.375510,0.000993,687.4,222720,0.9879
880,2.324378,2.221865,0.369873,0.375697,0.000993,694.3,225280,0.9845
890,2.321455,2.220580,0.374512,0.380409,0.000993,701.5,227840,0.9845
900,2.285081,2.217130,0.368164,0.371841,0.000993,709.1,230400,0.9901
910,2.296231,2.210882,0.377625,0.382362,0.000993,721.2,232960,0.9876
920,2.276667,2.206193,0.380859,0.384948,0.000993,729.7,235520,0.9894
930,2.284352,2.197220,0.373718,0.378430,0.000992,736.6,238080,0.9875
940,2.293844,2.189948,0.385437,0.391288,0.000992,743.4,240640,0.9850
950,2.261324,2.183285,0.383911,0.388104,0.000992,750.5,243200,0.9892
960,2.231573,2.173992,0.382019,0.385169,0.000992,758.2,245760,0.9918
970,2.325704,2.208583,0.379517,0.386019,0.000992,765.6,248320,0.9832
980,2.239749,2.185037,0.383179,0.386243,0.000991,773.1,250880,0.9921
990,2.259347,2.169313,0.389099,0.394102,0.000991,779.9,253440,0.9873
1000,2.238888,2.148721,0.389526,0.394608,0.000991,787.6,256000,0.9871
1010,2.251215,2.173083,0.382324,0.386738,0.000991,800.0,258560,0.9886
1020,2.259393,2.168709,0.384521,0.389273,0.000991,808.6,261120,0.9878
1030,2.255615,2.162999,0.386841,0.391839,0.000990,817.1,263680,0.9872
1040,2.283671,2.184665,0.380676,0.386025,0.000990,825.7,266240,0.9861
1050,2.358588,2.280340,0.359741,0.364367,0.000990,832.8,268800,0.9873
1060,2.292167,2.198446,0.378845,0.383622,0.000990,840.0,271360,0.9875
1070,2.241957,2.162550,0.381531,0.385864,0.000990,846.9,273920,0.9888
1080,2.270094,2.164223,0.387573,0.393554,0.000989,854.7,276480,0.9848
1090,2.227056,2.141389,0.392822,0.397308,0.000989,862.5,279040,0.9887
1100,2.255143,2.160285,0.386230,0.391463,0.000989,869.1,281600,0.9866
1110,2.240685,2.127302,0.393372,0.399417,0.000989,880.9,284160,0.9849
1120,2.192513,2.109633,0.401672,0.406260,0.000989,890.6,286720,0.9887
1130,2.275841,2.161019,0.380371,0.385763,0.000988,897.1,289280,0.9860
1140,2.228535,2.139781,0.396118,0.400840,0.000988,903.7,291840,0.9882
1150,2.165657,2.102873,0.404053,0.407435,0.000988,910.2,294400,0.9917
1160,2.177509,2.098009,0.401184,0.405465,0.000988,917.3,296960,0.9894
1170,2.206910,2.124752,0.397644,0.402012,0.000987,923.8,299520,0.9891
1180,2.238796,2.144965,0.390808,0.395931,0.000987,930.4,302080,0.9871
1190,2.194610,2.125415,0.396240,0.399778,0.000987,936.9,304640,0.9911
1200,2.233072,2.127771,0.398560,0.404059,0.000987,943.4,307200,0.9864
1210,2.224480,2.121162,0.397644,0.402981,0.000986,954.5,309760,0.9868
1220,2.204167,2.122817,0.394165,0.398445,0.000986,963.9,312320,0.9893
1230,2.199919,2.082883,0.405457,0.411816,0.000986,970.8,314880,0.9846
1240,2.199453,2.092653,0.401123,0.406708,0.000986,977.5,317440,0.9863
1250,2.201138,2.087976,0.406799,0.413282,0.000985,984.4,320000,0.9843
1260,2.205014,2.093015,0.404785,0.410548,0.000985,992.8,322560,0.9860
1270,2.302060,2.226558,0.368958,0.372527,0.000985,1001.1,325120,0.9904
1280,2.489602,2.380733,0.339417,0.344356,0.000985,1009.1,327680,0.9857
1290,2.303888,2.195103,0.378052,0.383910,0.000984,1016.4,330240,0.9847
1300,2.263484,2.184811,0.385071,0.389156,0.000984,1024.4,332800,0.9895
1310,2.264298,2.138123,0.388794,0.395554,0.000984,1036.5,335360,0.9829
1320,2.186296,2.112556,0.402161,0.406252,0.000984,1045.8,337920,0.9899
1330,2.187084,2.087421,0.401001,0.406383,0.000983,1052.9,340480,0.9868
1340,2.184131,2.088755,0.404846,0.410001,0.000983,1060.0,343040,0.9874
1350,2.202374,2.110566,0.406616,0.411743,0.000983,1066.8,345600,0.9875
1360,2.186782,2.074965,0.402283,0.408187,0.000982,1074.0,348160,0.9855
1370,2.206874,2.092673,0.402344,0.408325,0.000982,1080.6,350720,0.9854
1380,2.195924,2.113467,0.398804,0.403234,0.000982,1088.7,353280,0.9890
1390,2.176430,2.076037,0.408386,0.413868,0.000982,1095.5,355840,0.9868
1400,2.173916,2.059324,0.409851,0.415764,0.000981,1102.4,358400,0.9858
1410,2.213759,2.098139,0.400208,0.406510,0.000981,1113.1,360960,0.9845
1420,2.180815,2.097029,0.401367,0.405851,0.000981,1121.7,363520,0.9890
1430,2.146669,2.048378,0.414856,0.420138,0.000980,1128.3,366080,0.9874
1440,2.214708,2.092478,0.403015,0.409692,0.000980,1135.9,368640,0.9837
1450,2.159115,2.084423,0.405762,0.409890,0.000980,1142.4,371200,0.9899
1460,2.146254,2.074076,0.414917,0.418931,0.000980,1148.9,373760,0.9904
1470,2.147575,2.066591,0.416016,0.420403,0.000979,1156.0,376320,0.9896
1480,2.162255,2.055287,0.412598,0.418291,0.000979,1163.3,378880,0.9864
1490,2.123970,2.041516,0.416748,0.421118,0.000979,1170.7,381440,0.9896
1500,2.209287,2.073975,0.407043,0.414146,0.000978,1178.2,384000,0.9828
1510,2.146740,2.060423,0.419617,0.424409,0.000978,1190.9,386560,0.9887
1520,2.128070,2.044463,0.413452,0.417993,0.000978,1199.8,389120,0.9891
1530,2.137518,2.045337,0.416138,0.421124,0.000977,1206.5,391680,0.9882
1540,2.159727,2.047652,0.412170,0.418246,0.000977,1213.7,394240,0.9855
1550,2.185135,2.059784,0.414001,0.420938,0.000977,1220.4,396800,0.9835
1560,2.178247,2.056067,0.415405,0.421842,0.000977,1227.7,399360,0.9847
1570,2.185148,2.059405,0.416016,0.422776,0.000976,1234.9,401920,0.9840
1580,2.156782,2.045069,0.412964,0.418688,0.000976,1242.2,404480,0.9863
1590,2.140471,2.030785,0.418762,0.424514,0.000976,1249.4,407040,0.9865
1600,2.164100,2.075063,0.408752,0.413472,0.000975,1256.0,409600,0.9886
1610,2.122419,2.021178,0.425476,0.431054,0.000975,1268.4,412160,0.9871
1620,2.119290,2.059127,0.416626,0.419777,0.000975,1276.8,414720,0.9925
1630,2.147023,2.048288,0.419006,0.424263,0.000974,1283.7,417280,0.9876
1640,2.120393,2.032053,0.422974,0.427936,0.000974,1291.6,419840,0.9884
1650,2.109065,2.021002,0.422485,0.427126,0.000974,1298.4,422400,0.9891
1660,2.124334,2.047081,0.416077,0.420128,0.000973,1305.4,424960,0.9904
1670,2.110536,2.015554,0.431580,0.436886,0.000973,1312.5,427520,0.9879
1680,2.152765,2.038121,0.414673,0.420759,0.000973,1319.4,430080,0.9855
1690,2.142715,2.027843,0.418640,0.425074,0.000972,1326.6,432640,0.9849
1700,2.156503,2.045323,0.416504,0.422303,0.000972,1333.7,435200,0.9863
1710,2.175747,2.015687,0.426331,0.435040,0.000972,1346.0,437760,0.9800
1720,2.190929,2.084929,0.413269,0.418687,0.000971,1354.9,440320,0.9871
1730,2.134201,2.028938,0.417114,0.422818,0.000971,1361.9,442880,0.9865
1740,2.148636,2.029809,0.418335,0.424633,0.000970,1369.0,445440,0.9852
1750,2.106194,2.035341,0.417664,0.421497,0.000970,1376.8,448000,0.9909
1760,2.140560,2.040940,0.418701,0.423823,0.000970,1384.0,450560,0.9879
1770,2.091567,1.997942,0.427917,0.432751,0.000969,1392.2,453120,0.9888
1780,2.096985,2.013743,0.424072,0.428519,0.000969,1400.4,455680,0.9896
1790,2.101167,2.015317,0.428101,0.432509,0.000969,1408.3,458240,0.9898
1800,2.089882,1.990509,0.433655,0.439041,0.000968,1415.9,460800,0.9877
1810,2.105202,1.991288,0.430969,0.436943,0.000968,1428.1,463360,0.9863
1820,2.106737,2.001297,0.425171,0.430798,0.000968,1436.7,465920,0.9869
1830,2.103958,2.009633,0.424194,0.429012,0.000967,1443.9,468480,0.9888
1840,2.081170,1.985966,0.430481,0.435720,0.000967,1451.6,471040,0.9880
1850,2.116825,2.018317,0.424988,0.430187,0.000966,1458.5,473600,0.9879
1860,2.089496,1.983694,0.436401,0.442150,0.000966,1465.8,476160,0.9870
1870,2.126155,2.005429,0.426147,0.432402,0.000966,1472.6,478720,0.9855
1880,2.128462,2.008590,0.420471,0.426511,0.000965,1480.2,481280,0.9858
1890,2.140515,2.009224,0.428101,0.435166,0.000965,1488.4,483840,0.9838
1900,2.104285,1.996160,0.428772,0.434527,0.000964,1497.6,486400,0.9868
1910,2.057160,1.978337,0.435425,0.439556,0.000964,1508.4,488960,0.9906
1920,2.071032,2.013870,0.429138,0.432065,0.000964,1517.7,491520,0.9932
1930,2.085300,1.993661,0.432983,0.437820,0.000963,1525.7,494080,0.9890
1940,2.092408,1.985768,0.435364,0.440717,0.000963,1534.9,496640,0.9879
1950,2.094293,1.967130,0.440857,0.447882,0.000962,1541.9,499200,0.9843
1960,2.097553,1.992446,0.441162,0.446752,0.000962,1550.1,501760,0.9875
1970,2.084592,1.978938,0.434998,0.440428,0.000962,1558.0,504320,0.9877
1980,2.063381,1.974285,0.435364,0.440010,0.000961,1566.4,506880,0.9894
1990,2.116112,1.978139,0.433533,0.440523,0.000961,1574.9,509440,0.9841
2000,2.124298,1.997366,0.429810,0.436334,0.000960,1581.8,512000,0.9850
2010,2.058341,1.975926,0.438721,0.443266,0.000960,1593.2,514560,0.9897
2020,2.069426,1.973631,0.437622,0.442893,0.000960,1601.5,517120,0.9881
2030,2.107400,1.991770,0.432678,0.438730,0.000959,1608.0,519680,0.9862
2040,2.071387,1.997668,0.429749,0.433586,0.000959,1614.5,522240,0.9911
2050,2.081691,1.976492,0.434570,0.440322,0.000958,1621.1,524800,0.9869
2060,2.094360,1.971719,0.431946,0.438693,0.000958,1628.4,527360,0.9846
2070,2.070918,1.959675,0.434448,0.440470,0.000958,1635.7,529920,0.9863
2080,2.053424,1.940152,0.444214,0.449926,0.000957,1642.1,532480,0.9873
2090,2.077839,1.968451,0.438416,0.443943,0.000957,1649.2,535040,0.9875
2100,2.067461,1.969339,0.433960,0.439052,0.000956,1656.8,537600,0.9884
2110,2.119189,1.974531,0.437256,0.444831,0.000956,1668.2,540160,0.9830
2120,2.043766,1.985180,0.438904,0.442006,0.000955,1678.2,542720,0.9930
2130,2.123648,2.052430,0.417786,0.421205,0.000955,1686.0,545280,0.9919
2140,2.199013,2.095081,0.401611,0.406474,0.000955,1693.5,547840,0.9880
2150,2.123943,1.995070,0.426208,0.432571,0.000954,1700.3,550400,0.9853
2160,2.097008,1.976839,0.430908,0.436800,0.000954,1707.8,552960,0.9865
