step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac
1,5.601820,5.601034,0.000122,0.000123,0.000010,1.4,256,0.9890
10,5.363000,5.361166,0.057800,0.058620,0.000100,9.1,2560,0.9860
20,5.328886,5.327023,0.100098,0.101178,0.000200,17.4,5120,0.9893
30,5.207814,5.203561,0.156311,0.158507,0.000300,26.2,7680,0.9861
40,5.058061,5.050623,0.187378,0.190293,0.000400,35.1,10240,0.9847
50,4.889390,4.880972,0.192261,0.194685,0.000500,43.3,12800,0.9875
60,4.681878,4.672920,0.198486,0.200382,0.000600,53.1,15360,0.9905
70,4.464665,4.447388,0.191406,0.194059,0.000700,60.8,17920,0.9863
80,4.256627,4.235615,0.188477,0.191018,0.000800,68.4,20480,0.9867
90,4.047871,4.019464,0.187256,0.190063,0.000900,76.5,23040,0.9852
100,3.838959,3.809999,0.185547,0.187933,0.001000,84.3,25600,0.9873
110,3.680679,3.653917,0.187866,0.189824,0.001000,98.9,28160,0.9897
120,3.565985,3.533408,0.187378,0.189530,0.001000,106.4,30720,0.9886
130,3.488925,3.448200,0.189209,0.191713,0.001000,114.1,33280,0.9869
140,3.408116,3.374109,0.185059,0.186976,0.001000,121.7,35840,0.9897
150,3.365178,3.328027,0.187073,0.189104,0.001000,128.9,38400,0.9893
160,3.343637,3.297296,0.190369,0.192900,0.001000,138.2,40960,0.9869
170,3.283346,3.240478,0.188049,0.190267,0.001000,146.1,43520,0.9883
180,3.238387,3.196086,0.187439,0.189521,0.000999,153.7,46080,0.9890
190,3.227311,3.189926,0.184021,0.185813,0.000999,161.0,48640,0.9904
200,3.193970,3.151181,0.189087,0.191176,0.000999,170.7,51200,0.9891
210,3.166532,3.120735,0.197876,0.200185,0.000999,182.3,53760,0.9885
220,3.123245,3.079386,0.202942,0.205184,0.000999,191.7,56320,0.9891
230,3.109649,3.061366,0.216614,0.219236,0.000998,199.7,58880,0.9880
240,3.093719,3.049340,0.216125,0.218499,0.000998,209.2,61440,0.9891
250,3.070773,3.011810,0.221680,0.224892,0.000998,216.1,64000,0.9857
260,3.020658,2.950808,0.224365,0.228011,0.000997,224.5,66560,0.9840
270,2.984528,2.937810,0.239014,0.241639,0.000997,232.6,69120,0.9891
280,2.957577,2.898071,0.244812,0.248129,0.000997,240.3,71680,0.9866
290,2.920780,2.875760,0.248108,0.250617,0.000996,250.1,74240,0.9900
