step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac
1,5.651982,5.651510,0.000732,0.000742,0.000010,1.5,128,0.9869
10,5.167645,5.158901,0.079590,0.080793,0.000100,11.4,1280,0.9851
20,5.093288,5.085535,0.107056,0.108125,0.000200,20.6,2560,0.9901
30,4.881045,4.868279,0.174927,0.176870,0.000300,27.6,3840,0.9890
40,4.634786,4.612352,0.184570,0.187384,0.000400,37.7,5120,0.9850
50,4.362226,4.345128,0.188965,0.190758,0.000500,45.4,6400,0.9906
60,4.083515,4.049147,0.186157,0.189042,0.000600,53.7,7680,0.9847
70,3.826286,3.801055,0.189697,0.191497,0.000700,63.8,8960,0.9906
80,3.623823,3.595353,0.187134,0.188863,0.000800,73.3,10240,0.9908
90,3.469689,3.431537,0.187378,0.189459,0.000900,81.0,11520,0.9890
100,3.359017,3.298329,0.185059,0.187949,0.001000,91.2,12800,0.9846
110,3.312864,3.258427,0.184082,0.186564,0.001000,105.1,14080,0.9867
120,3.264378,3.223536,0.189331,0.191198,0.001000,113.9,15360,0.9902
130,3.210198,3.158955,0.191650,0.193923,0.001000,121.7,16640,0.9883
140,3.170108,3.132567,0.203125,0.204876,0.001000,131.7,17920,0.9915
150,3.161999,3.096473,0.206055,0.209014,0.001000,139.6,19200,0.9858
160,3.106647,3.051476,0.216187,0.218777,0.001000,147.2,20480,0.9882
170,3.100994,3.023795,0.225952,0.229653,0.001000,155.8,21760,0.9839
180,3.072775,3.005629,0.221680,0.224864,0.001000,164.3,23040,0.9858
190,3.019846,2.961808,0.220459,0.223046,0.001000,172.8,24320,0.9884
200,2.988351,2.936004,0.240845,0.243460,0.001000,181.3,25600,0.9893
210,2.949774,2.880085,0.248413,0.251950,0.001000,194.9,26880,0.9860
220,2.901549,2.834937,0.259033,0.262396,0.001000,203.2,28160,0.9872
230,2.921250,2.832117,0.255371,0.259747,0.001000,211.6,29440,0.9832
240,2.880823,2.828045,0.257812,0.260548,0.001000,220.1,30720,0.9895
