step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac
1,5.633652,5.633448,0.000122,0.000124,0.000010,2.0,128,0.9823
10,5.175168,5.168737,0.168579,0.170789,0.000100,11.2,1280,0.9871
20,5.105916,5.097644,0.144531,0.146462,0.000200,21.8,2560,0.9868
30,4.918338,4.907304,0.167847,0.169942,0.000300,33.1,3840,0.9877
40,4.696851,4.677343,0.178833,0.181784,0.000400,42.5,5120,0.9838
50,4.456040,4.441313,0.184204,0.186021,0.000500,52.4,6400,0.9902
60,4.185782,4.164631,0.187622,0.189730,0.000600,62.8,7680,0.9889
70,3.964463,3.914795,0.188477,0.192615,0.000700,73.5,8960,0.9785
80,3.722329,3.681648,0.185913,0.188700,0.000800,83.5,10240,0.9852
90,3.539030,3.498259,0.191895,0.194362,0.000900,92.0,11520,0.9873
100,3.429735,3.393018,0.188232,0.190206,0.001000,104.4,12800,0.9896
110,3.350036,3.304562,0.187744,0.189970,0.001000,120.5,14080,0.9883
120,3.260954,3.229728,0.186890,0.188338,0.001000,131.1,15360,0.9923
130,3.282831,3.240019,0.187622,0.189542,0.001000,141.1,16640,0.9899
140,3.199417,3.156075,0.195801,0.197781,0.001000,152.7,17920,0.9900
150,3.180351,3.122659,0.197388,0.200025,0.001000,163.3,19200,0.9868
160,3.144077,3.082730,0.201416,0.204132,0.001000,174.1,20480,0.9867
170,3.128886,3.053318,0.214478,0.218098,0.001000,184.7,21760,0.9834
180,3.090699,3.026340,0.223877,0.227121,0.001000,196.4,23040,0.9857
190,3.013225,2.971365,0.238892,0.240891,0.001000,208.6,24320,0.9917
200,2.982650,2.931648,0.243896,0.246423,0.001000,218.1,25600,0.9897
210,2.980915,2.921637,0.242310,0.245243,0.001000,234.8,26880,0.9880
220,3.004117,2.915884,0.244019,0.248354,0.001000,246.0,28160,0.9825
230,2.924758,2.854512,0.248413,0.251825,0.001000,255.9,29440,0.9865
240,2.933463,2.833806,0.252197,0.257349,0.001000,266.9,30720,0.9800
250,2.875900,2.774510,0.264893,0.270338,0.001000,278.0,32000,0.9799
260,2.853432,2.790766,0.259888,0.263099,0.001000,287.6,33280,0.9878
270,2.803797,2.735763,0.279297,0.282993,0.001000,298.8,34560,0.9869
280,2.789837,2.748943,0.280518,0.282796,0.001000,310.0,35840,0.9919
290,2.752899,2.699137,0.274048,0.276853,0.001000,319.4,37120,0.9899
300,2.776043,2.670229,0.281494,0.287245,0.001000,329.7,38400,0.9800
310,2.697691,2.663542,0.288452,0.290473,0.001000,346.2,39680,0.9930
320,2.726241,2.660964,0.284058,0.287568,0.001000,357.0,40960,0.9878
330,2.671499,2.614484,0.293945,0.297064,0.001000,368.0,42240,0.9895
340,2.665739,2.591463,0.297241,0.301287,0.001000,377.4,43520,0.9866
350,2.676062,2.591730,0.298340,0.302963,0.001000,387.2,44800,0.9847
360,2.592572,2.529636,0.303711,0.307236,0.001000,396.7,46080,0.9885
370,2.678325,2.582702,0.294556,0.299380,0.001000,408.4,47360,0.9839
380,2.596949,2.522717,0.304321,0.308311,0.001000,418.6,48640,0.9871
390,2.578423,2.520821,0.306763,0.309826,0.001000,428.5,49920,0.9901
400,2.549385,2.501896,0.315918,0.318523,0.001000,438.8,51200,0.9918
410,2.553118,2.461875,0.313599,0.318655,0.001000,454.8,52480,0.9841
420,2.551224,2.463470,0.319580,0.324411,0.001000,464.5,53760,0.9851
430,2.535298,2.469734,0.320801,0.324404,0.001000,474.4,55040,0.9889
440,2.567614,2.466753,0.324707,0.330435,0.001000,486.3,56320,0.9827
450,2.502945,2.440866,0.325928,0.329183,0.001000,496.2,57600,0.9901
460,2.500381,2.431715,0.324585,0.328312,0.000999,507.0,58880,0.9886
470,2.493895,2.416773,0.326782,0.330984,0.000999,516.2,60160,0.9873
480,2.525206,2.456683,0.323486,0.327080,0.000999,526.5,61440,0.9890
490,2.507800,2.441411,0.330322,0.334157,0.000999,536.8,62720,0.9885
500,2.469832,2.411318,0.330322,0.333539,0.000999,547.5,64000,0.9904
510,2.527373,2.432357,0.323853,0.329075,0.000999,564.1,65280,0.9841
520,2.456886,2.373837,0.339722,0.344687,0.000999,574.9,66560,0.9856
530,2.574845,2.491708,0.314575,0.319450,0.000999,584.1,67840,0.9847
540,2.549995,2.496770,0.315308,0.318025,0.000999,593.8,69120,0.9915
550,2.503582,2.426484,0.328125,0.332303,0.000999,602.5,70400,0.9874
560,2.397576,2.361064,0.344238,0.346310,0.000999,612.0,71680,0.9940
570,2.416396,2.348141,0.348633,0.352549,0.000999,621.8,72960,0.9889
580,2.449812,2.373448,0.334717,0.338937,0.000999,630.8,74240,0.9875
590,2.416299,2.352604,0.345459,0.349038,0.000999,639.4,75520,0.9897
600,2.414033,2.338461,0.351562,0.355863,0.000999,649.1,76800,0.9879
610,2.457560,2.344928,0.349487,0.355873,0.000999,664.4,78080,0.9821
620,2.372528,2.298960,0.347046,0.351204,0.000999,675.2,79360,0.9882
630,2.400657,2.306644,0.352417,0.358055,0.000999,684.8,80640,0.9843
640,2.393183,2.296745,0.348999,0.354451,0.000999,694.2,81920,0.9846
650,2.386937,2.307896,0.349731,0.354097,0.000999,704.2,83200,0.9877
660,2.398624,2.304910,0.357422,0.362735,0.000999,714.5,84480,0.9854
670,2.349370,2.241130,0.368042,0.374627,0.000999,723.7,85760,0.9824
680,2.324866,2.264895,0.360107,0.363524,0.000999,733.7,87040,0.9906
690,2.385740,2.288599,0.346191,0.351556,0.000999,743.6,88320,0.9847
700,2.360413,2.266282,0.361694,0.366980,0.000999,752.5,89600,0.9856
710,2.374991,2.292457,0.358032,0.362591,0.000999,768.6,90880,0.9874
720,2.371798,2.276405,0.367432,0.372663,0.000998,779.5,92160,0.9860
730,2.347945,2.263319,0.360107,0.364693,0.000998,789.3,93440,0.9874
740,2.336627,2.236042,0.367188,0.372785,0.000998,799.3,94720,0.9850
750,2.290439,2.246956,0.367554,0.370084,0.000998,808.8,96000,0.9932
760,2.364086,2.260478,0.364014,0.369700,0.000998,818.4,97280,0.9846
770,2.359643,2.255283,0.360352,0.366071,0.000998,827.9,98560,0.9844
780,2.315698,2.236991,0.362549,0.366757,0.000998,837.9,99840,0.9885
790,2.362319,2.259283,0.362549,0.368167,0.000998,848.8,101120,0.9847
800,2.344852,2.257202,0.368042,0.373097,0.000998,857.6,102400,0.9865
810,2.310903,2.231616,0.367432,0.371926,0.000998,873.6,103680,0.9879
820,2.306062,2.200871,0.376099,0.382163,0.000998,884.5,104960,0.9841
830,2.304662,2.220673,0.371216,0.375803,0.000998,895.9,106240,0.9878
840,2.291174,2.182101,0.381958,0.388310,0.000998,905.6,107520,0.9836
850,2.317801,2.206367,0.374634,0.380816,0.000998,917.1,108800,0.9838
860,2.305290,2.205333,0.369507,0.374768,0.000998,926.3,110080,0.9860
870,2.298632,2.188103,0.378540,0.384692,0.000998,935.6,111360,0.9840
880,2.267599,2.162211,0.380371,0.386169,0.000998,945.6,112640,0.9850
890,2.301038,2.220404,0.380005,0.384463,0.000998,957.6,113920,0.9884
900,2.290304,2.194902,0.375854,0.380876,0.000997,969.6,115200,0.9868
910,2.255000,2.144050,0.384277,0.390087,0.000997,986.2,116480,0.9851
920,2.246076,2.170142,0.378296,0.382404,0.000997,996.0,117760,0.9893
930,2.244445,2.176499,0.387573,0.391299,0.000997,1006.2,119040,0.9905
940,2.313721,2.161806,0.381226,0.389693,0.000997,1015.7,120320,0.9783
950,2.220993,2.142359,0.384033,0.388443,0.000997,1026.9,121600,0.9886
960,2.289791,2.183010,0.377808,0.383614,0.000997,1039.6,122880,0.9849
970,2.217547,2.145810,0.386230,0.390039,0.000997,1051.0,124160,0.9902
980,2.228190,2.162522,0.390381,0.394085,0.000997,1062.5,125440,0.9906
990,2.238965,2.181609,0.383911,0.387077,0.000997,1074.6,126720,0.9918
1000,2.273254,2.157998,0.383789,0.390268,0.000997,1086.2,128000,0.9834
1010,2.239613,2.133835,0.389648,0.395441,0.000997,1103.0,129280,0.9854
1020,2.220448,2.124299,0.395874,0.400915,0.000997,1114.0,130560,0.9874
1030,2.172554,2.115210,0.401489,0.404750,0.000997,1124.5,131840,0.9919
1040,2.227391,2.120840,0.388672,0.394255,0.000996,1134.7,133120,0.9858
1050,2.219351,2.134092,0.394897,0.399580,0.000996,1144.3,134400,0.9883
1060,2.160967,2.090033,0.407104,0.411221,0.000996,1154.9,135680,0.9900
