step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac
1,5.733600,5.732416,0.000977,0.000995,0.000010,1.4,128,0.9811
10,5.373379,5.368947,0.061890,0.062531,0.000100,11.3,1280,0.9897
20,5.280162,5.274811,0.062500,0.063109,0.000200,21.3,2560,0.9904
30,5.096178,5.086315,0.073120,0.073978,0.000300,31.6,3840,0.9884
40,4.865371,4.850181,0.104858,0.106299,0.000400,41.0,5120,0.9865
50,4.595772,4.578579,0.097168,0.098284,0.000500,50.3,6400,0.9886
60,4.302776,4.274458,0.088623,0.089929,0.000600,62.2,7680,0.9855
70,3.973874,3.943488,0.104736,0.106057,0.000700,71.3,8960,0.9875
80,3.750503,3.712700,0.182007,0.184393,0.000800,81.9,10240,0.9871
90,3.589567,3.541977,0.206421,0.209412,0.000900,92.0,11520,0.9857
100,3.428266,3.394270,0.187744,0.189456,0.001000,101.1,12800,0.9910
110,3.285171,3.236562,0.187500,0.189747,0.001000,117.2,14080,0.9882
120,3.277018,3.220205,0.186157,0.188621,0.001000,126.8,15360,0.9869
130,3.218077,3.175282,0.192505,0.194355,0.001000,137.2,16640,0.9905
140,3.189532,3.136190,0.207642,0.210182,0.001000,147.1,17920,0.9879
150,3.159069,3.097564,0.218628,0.221549,0.001000,158.6,19200,0.9868
160,3.148557,3.081043,0.220459,0.223709,0.001000,168.2,20480,0.9855
170,3.031191,2.988917,0.223145,0.225179,0.001000,180.0,21760,0.9910
180,3.016195,2.970420,0.222900,0.225071,0.001000,191.5,23040,0.9904
190,3.004709,2.962533,0.234009,0.236171,0.001000,202.0,24320,0.9908
200,2.975285,2.923129,0.234863,0.237443,0.000999,213.6,25600,0.9891
210,2.903611,2.861527,0.257202,0.259579,0.000999,230.0,26880,0.9908
220,2.916416,2.847261,0.252686,0.256442,0.000999,243.2,28160,0.9854
230,2.901925,2.819396,0.262817,0.267453,0.000999,255.0,29440,0.9827
240,2.878106,2.809793,0.267944,0.271793,0.000999,265.7,30720,0.9858
250,2.855312,2.762673,0.273438,0.278676,0.000999,277.0,32000,0.9812
260,2.814275,2.734682,0.278198,0.282649,0.000998,287.0,33280,0.9843
270,2.726807,2.681118,0.283569,0.286084,0.000998,297.8,34560,0.9912
280,2.782029,2.719026,0.280029,0.283490,0.000998,309.7,35840,0.9878
290,2.750586,2.695187,0.279053,0.282153,0.000998,320.5,37120,0.9890
300,2.707046,2.640153,0.293213,0.296983,0.000998,330.8,38400,0.9873
310,2.699880,2.643412,0.296753,0.299975,0.000997,347.5,39680,0.9893
320,2.688457,2.611523,0.298950,0.303282,0.000997,357.8,40960,0.9857
330,2.640272,2.579808,0.303467,0.306876,0.000997,367.3,42240,0.9889
340,2.660597,2.580584,0.313477,0.318216,0.000997,377.5,43520,0.9851
350,2.599170,2.526100,0.307129,0.311155,0.000996,388.6,44800,0.9871
360,2.550368,2.518247,0.322754,0.324576,0.000996,398.8,46080,0.9944
370,2.598420,2.511759,0.323730,0.328951,0.000996,408.7,47360,0.9841
380,2.551138,2.512405,0.314209,0.316333,0.000995,420.3,48640,0.9933
390,2.597232,2.500648,0.308472,0.313757,0.000995,431.7,49920,0.9832
400,2.542997,2.468911,0.314819,0.318986,0.000995,441.3,51200,0.9869
410,2.512854,2.474444,0.323364,0.325510,0.000994,457.4,52480,0.9934
420,2.521497,2.456735,0.320679,0.324321,0.000994,468.0,53760,0.9888
430,2.514938,2.443706,0.330811,0.335023,0.000993,478.3,55040,0.9874
440,2.535415,2.438206,0.331787,0.337346,0.000993,489.5,56320,0.9835
450,2.501676,2.425192,0.338867,0.343225,0.000993,499.6,57600,0.9873
460,2.507960,2.416427,0.337891,0.343169,0.000992,511.1,58880,0.9846
470,2.500762,2.406163,0.327759,0.333127,0.000992,521.9,60160,0.9839
480,2.489728,2.417864,0.334106,0.338110,0.000991,533.0,61440,0.9882
490,2.464818,2.401777,0.334839,0.338433,0.000991,544.0,62720,0.9894
500,2.445252,2.387605,0.336670,0.339990,0.000990,555.1,64000,0.9902
510,2.420913,2.349471,0.353027,0.357258,0.000990,572.0,65280,0.9882
520,2.401163,2.352891,0.345215,0.348019,0.000989,583.3,66560,0.9919
530,2.448010,2.380986,0.341187,0.345147,0.000989,593.0,67840,0.9885
540,2.437355,2.357807,0.340210,0.344755,0.000988,602.8,69120,0.9868
550,2.408105,2.349670,0.343384,0.346685,0.000988,613.5,70400,0.9905
560,2.394107,2.328333,0.350220,0.354023,0.000987,622.8,71680,0.9893
570,2.373381,2.292042,0.356079,0.360881,0.000987,636.1,72960,0.9867
580,2.386413,2.296139,0.353760,0.358974,0.000986,646.4,74240,0.9855
590,2.407622,2.306695,0.345947,0.351438,0.000986,656.9,75520,0.9844
600,2.383249,2.320474,0.359619,0.363345,0.000985,666.5,76800,0.9897
610,2.358551,2.303200,0.364868,0.367967,0.000984,682.6,78080,0.9916
620,2.344853,2.291787,0.365479,0.368674,0.000984,695.0,79360,0.9913
630,2.351398,2.246051,0.367676,0.373790,0.000983,705.0,80640,0.9836
