step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac
1,5.578032,5.576137,0.010498,0.010625,0.000010,1.5,128,0.9880
10,5.065606,5.051824,0.188232,0.191244,0.000100,9.9,1280,0.9843
20,4.982831,4.969082,0.184570,0.187268,0.000200,19.3,2560,0.9856
30,4.722017,4.694343,0.183838,0.187127,0.000300,29.8,3840,0.9824
40,4.449589,4.421689,0.187256,0.189875,0.000400,40.6,5120,0.9862
50,4.149884,4.121665,0.194458,0.196618,0.000500,51.1,6400,0.9890
60,3.899700,3.851009,0.186646,0.189749,0.000600,61.5,7680,0.9836
70,3.676334,3.635924,0.187988,0.190241,0.000700,71.1,8960,0.9882
80,3.446682,3.414616,0.185425,0.186977,0.000800,81.1,10240,0.9917
90,3.349973,3.303792,0.189941,0.192004,0.000900,91.1,11520,0.9893
100,3.265490,3.202679,0.189331,0.191979,0.001000,101.1,12800,0.9862
110,3.210084,3.136625,0.193237,0.196280,0.001000,117.4,14080,0.9845
120,3.141891,3.103455,0.187134,0.188630,0.001000,128.4,15360,0.9921
130,3.102538,3.036535,0.202881,0.205617,0.001000,138.8,16640,0.9867
140,3.049585,2.978403,0.208008,0.210969,0.001000,148.7,17920,0.9860
150,3.042111,2.957998,0.223999,0.227696,0.001000,158.1,19200,0.9838
160,2.933824,2.872700,0.247681,0.250618,0.001000,167.8,20480,0.9883
170,2.943557,2.841233,0.257690,0.262693,0.001000,177.0,21760,0.9810
180,2.905172,2.818700,0.260986,0.265293,0.001000,186.6,23040,0.9838
190,2.847161,2.788229,0.267944,0.270854,0.001000,195.7,24320,0.9893
200,2.831383,2.759898,0.264282,0.267747,0.000999,204.6,25600,0.9871
210,2.812286,2.727602,0.268799,0.272930,0.000999,220.0,26880,0.9849
220,2.762134,2.692545,0.277588,0.280914,0.000999,228.9,28160,0.9882
230,2.764316,2.710268,0.270874,0.273411,0.000999,237.8,29440,0.9907
240,2.727760,2.625164,0.289551,0.294805,0.000999,246.8,30720,0.9822
250,2.730516,2.645357,0.285645,0.289819,0.000999,255.9,32000,0.9856
260,2.698604,2.630523,0.284790,0.288060,0.000998,265.1,33280,0.9886
270,2.698531,2.631893,0.289185,0.292541,0.000998,274.5,34560,0.9885
280,2.666457,2.592910,0.295776,0.299358,0.000998,283.9,35840,0.9880
290,2.640784,2.589657,0.300049,0.302486,0.000998,293.0,37120,0.9919
300,2.704152,2.643314,0.280640,0.283407,0.000998,302.4,38400,0.9902
310,2.620556,2.571860,0.302734,0.305156,0.000997,318.1,39680,0.9921
320,2.604183,2.533967,0.303833,0.307208,0.000997,327.1,40960,0.9890
330,2.634252,2.530359,0.307129,0.312236,0.000997,335.9,42240,0.9836
340,2.559391,2.513296,0.305054,0.307304,0.000997,344.8,43520,0.9927
350,2.615646,2.505683,0.306885,0.312027,0.000996,353.8,44800,0.9835
360,2.563045,2.508520,0.309937,0.312531,0.000996,363.1,46080,0.9917
370,2.530761,2.460265,0.323242,0.326631,0.000996,372.7,47360,0.9896
380,2.579671,2.504889,0.310059,0.313580,0.000995,382.3,48640,0.9888
390,2.552674,2.469244,0.322510,0.326455,0.000995,392.0,49920,0.9879
400,2.512123,2.454980,0.324097,0.326689,0.000995,401.4,51200,0.9921
410,2.507905,2.432063,0.322876,0.326422,0.000994,417.0,52480,0.9891
420,2.514226,2.431125,0.328979,0.332839,0.000994,425.9,53760,0.9884
430,2.542814,2.415555,0.333618,0.339587,0.000993,434.8,55040,0.9824
440,2.568278,2.441861,0.326660,0.332546,0.000993,443.7,56320,0.9823
450,2.539200,2.421993,0.324829,0.330559,0.000993,452.8,57600,0.9827
460,2.470340,2.422535,0.330444,0.332760,0.000992,461.7,58880,0.9930
470,2.528844,2.425785,0.330566,0.335273,0.000992,470.6,60160,0.9860
480,2.493658,2.411086,0.332520,0.336421,0.000991,479.7,61440,0.9884
490,2.481091,2.391927,0.328247,0.332550,0.000991,488.5,62720,0.9871
500,2.497636,2.399306,0.333862,0.338700,0.000990,497.5,64000,0.9857
510,2.510707,2.417352,0.323120,0.327518,0.000990,513.2,65280,0.9866
520,2.513695,2.386099,0.327271,0.332919,0.000989,522.1,66560,0.9830
530,2.498845,2.380963,0.330811,0.336145,0.000989,531.1,67840,0.9841
540,2.484266,2.397924,0.334961,0.338849,0.000988,540.0,69120,0.9885
550,2.428469,2.335715,0.341797,0.346149,0.000988,549.0,70400,0.9874
560,2.486082,2.403048,0.341064,0.344853,0.000987,558.0,71680,0.9890
570,2.440666,2.357789,0.343628,0.347660,0.000987,566.9,72960,0.9884
580,2.419409,2.338849,0.341309,0.345143,0.000986,575.9,74240,0.9889
590,2.445226,2.352381,0.337402,0.341445,0.000986,585.0,75520,0.9882
600,2.433459,2.339383,0.342041,0.346268,0.000985,593.8,76800,0.9878
610,2.487282,2.321312,0.346802,0.354239,0.000984,609.4,78080,0.9790
620,2.400300,2.317381,0.342407,0.346254,0.000984,618.2,79360,0.9889
630,2.468578,2.355464,0.335083,0.340064,0.000983,627.2,80640,0.9854
640,2.428136,2.328467,0.350708,0.355305,0.000983,636.0,81920,0.9871
650,2.435555,2.340662,0.342773,0.347095,0.000982,645.3,83200,0.9875
660,2.429716,2.342465,0.338379,0.342307,0.000981,654.1,84480,0.9885
670,2.412474,2.315641,0.347534,0.351525,0.000981,663.2,85760,0.9886
680,2.423203,2.287191,0.350098,0.356362,0.000980,672.0,87040,0.9824
690,2.406383,2.300488,0.356201,0.361362,0.000979,681.0,88320,0.9857
700,2.450910,2.348278,0.345825,0.350879,0.000979,689.8,89600,0.9856
710,2.413517,2.323452,0.356934,0.361300,0.000978,705.4,90880,0.9879
720,2.386896,2.298319,0.349976,0.354169,0.000977,714.3,92160,0.9882
730,2.370473,2.251819,0.359863,0.365304,0.000976,723.2,93440,0.9851
740,2.427497,2.325193,0.348511,0.352992,0.000976,732.1,94720,0.9873
750,2.422849,2.326023,0.343262,0.347762,0.000975,741.1,96000,0.9871
760,2.396034,2.298922,0.353271,0.357593,0.000974,750.0,97280,0.9879
770,2.372853,2.281094,0.354248,0.358449,0.000973,759.0,98560,0.9883
780,2.452145,2.333429,0.347900,0.353423,0.000972,767.9,99840,0.9844
790,2.422037,2.338580,0.354980,0.358658,0.000972,777.1,101120,0.9897
800,2.457657,2.349656,0.346069,0.350910,0.000971,785.9,102400,0.9862
810,2.418357,2.328587,0.342407,0.346467,0.000970,801.6,103680,0.9883
820,2.451522,2.316666,0.340454,0.346417,0.000969,810.7,104960,0.9828
830,2.451345,2.398305,0.344360,0.346731,0.000968,819.7,106240,0.9932
840,2.491321,2.405397,0.330322,0.333992,0.000967,828.6,107520,0.9890
850,2.408718,2.329730,0.349976,0.353732,0.000967,837.4,108800,0.9894
860,2.423507,2.320159,0.349487,0.354025,0.000966,846.7,110080,0.9872
870,2.439409,2.297405,0.356812,0.363151,0.000965,857.2,111360,0.9825
880,2.411989,2.238772,0.360352,0.367988,0.000964,868.2,112640,0.9792
890,2.371299,2.278463,0.359619,0.363883,0.000963,878.3,113920,0.9883
900,2.348742,2.278714,0.359619,0.362897,0.000962,888.2,115200,0.9910
