step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac
1,5.812563,5.815629,0.000122,0.000124,0.000010,1.7,128,0.9817
10,5.287642,5.279464,0.109497,0.110905,0.000100,11.1,1280,0.9873
20,5.200274,5.187219,0.187134,0.190695,0.000200,20.3,2560,0.9813
30,5.009245,4.996320,0.184814,0.187145,0.000300,29.4,3840,0.9875
40,4.732710,4.714188,0.187866,0.190305,0.000400,39.7,5120,0.9872
50,4.461882,4.437927,0.188843,0.191437,0.000500,48.4,6400,0.9865
60,4.161508,4.124554,0.191040,0.194313,0.000600,57.6,7680,0.9832
70,3.867201,3.836315,0.183105,0.185300,0.000700,67.0,8960,0.9882
80,3.634916,3.598254,0.184570,0.186759,0.000800,76.5,10240,0.9883
90,3.492558,3.441452,0.185669,0.188382,0.000900,86.1,11520,0.9856
100,3.382444,3.322254,0.185181,0.188073,0.001000,96.6,12800,0.9846
110,3.277915,3.217389,0.184326,0.187020,0.001000,111.6,14080,0.9856
120,3.197989,3.142373,0.190308,0.192779,0.001000,122.1,15360,0.9872
130,3.204457,3.144591,0.189453,0.192103,0.001000,131.0,16640,0.9862
140,3.147004,3.094603,0.204834,0.207314,0.001000,141.0,17920,0.9880
150,3.127095,3.072305,0.202148,0.204545,0.001000,151.0,19200,0.9883
160,3.060500,3.011309,0.210083,0.212260,0.001000,160.9,20480,0.9897
170,3.022605,2.976216,0.225098,0.227290,0.001000,170.7,21760,0.9904
180,3.020877,2.956894,0.217651,0.220559,0.001000,180.9,23040,0.9868
190,2.988379,2.926990,0.229492,0.232414,0.001000,191.3,24320,0.9874
200,2.935054,2.901023,0.241211,0.242841,0.000999,200.5,25600,0.9933
210,2.929811,2.858165,0.243286,0.246903,0.000999,216.8,26880,0.9854
220,2.865536,2.812263,0.249023,0.251728,0.000999,226.6,28160,0.9893
230,2.876099,2.789504,0.259521,0.263935,0.000999,236.5,29440,0.9833
240,2.840339,2.768896,0.259644,0.263340,0.000999,246.4,30720,0.9860
250,2.842777,2.751776,0.271118,0.275901,0.000999,255.8,32000,0.9827
260,2.836204,2.778172,0.272583,0.275611,0.000998,265.9,33280,0.9890
270,2.757917,2.716101,0.277344,0.279459,0.000998,275.3,34560,0.9924
280,2.722235,2.656698,0.286987,0.290498,0.000998,284.3,35840,0.9879
290,2.713239,2.628002,0.297119,0.301873,0.000998,294.8,37120,0.9843
300,2.636888,2.583584,0.293091,0.295835,0.000998,305.8,38400,0.9907
