step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac
1,5.685074,5.686793,0.000977,0.000988,0.000010,1.4,128,0.9886
10,5.189157,5.181560,0.168579,0.172280,0.000100,10.8,1280,0.9785
20,5.081960,5.073588,0.178955,0.181301,0.000200,20.9,2560,0.9871
30,4.873888,4.859716,0.185791,0.188670,0.000300,30.4,3840,0.9847
40,4.583264,4.563803,0.185669,0.188382,0.000400,40.2,5120,0.9856
50,4.290650,4.259779,0.191040,0.194410,0.000500,49.8,6400,0.9827
60,3.964446,3.936430,0.182861,0.185098,0.000600,59.6,7680,0.9879
70,3.651191,3.638825,0.187988,0.188818,0.000700,69.2,8960,0.9956
80,3.488051,3.439476,0.189941,0.192741,0.000800,79.2,10240,0.9855
90,3.394669,3.337125,0.193115,0.196156,0.000900,88.8,11520,0.9845
100,3.231718,3.182984,0.189575,0.191918,0.001000,99.1,12800,0.9878
110,3.184649,3.125155,0.188110,0.190860,0.001000,115.3,14080,0.9856
120,3.148668,3.099281,0.187500,0.189723,0.001000,125.0,15360,0.9883
130,3.132299,3.059257,0.191772,0.195010,0.001000,135.7,16640,0.9834
140,3.018649,2.984704,0.215820,0.217493,0.001000,145.6,17920,0.9923
150,3.016306,2.968622,0.216675,0.219109,0.001000,155.4,19200,0.9889
160,2.965050,2.913241,0.233765,0.236420,0.001000,165.1,20480,0.9888
170,2.977372,2.902692,0.243896,0.247922,0.001000,174.9,21760,0.9838
180,2.910026,2.859316,0.253296,0.256046,0.001000,184.5,23040,0.9893
190,2.854141,2.820687,0.265137,0.267060,0.001000,194.2,24320,0.9928
200,2.881235,2.799338,0.270264,0.274860,0.000999,204.6,25600,0.9833
210,2.863893,2.777213,0.265137,0.270015,0.000999,221.1,26880,0.9819
220,2.783284,2.744003,0.272095,0.274305,0.000999,231.2,28160,0.9919
230,2.775548,2.716981,0.275879,0.279185,0.000999,241.7,29440,0.9882
240,2.741746,2.701748,0.282593,0.284748,0.000999,252.0,30720,0.9924
250,2.767068,2.685470,0.286987,0.291868,0.000999,261.8,32000,0.9833
260,2.666118,2.615198,0.301025,0.303919,0.000998,271.4,33280,0.9905
270,2.684254,2.628925,0.289185,0.292253,0.000998,281.1,34560,0.9895
280,2.629592,2.581258,0.303101,0.306052,0.000998,290.8,35840,0.9904
290,2.638180,2.559639,0.313843,0.318390,0.000998,300.6,37120,0.9857
300,2.657121,2.605281,0.306519,0.309618,0.000998,310.5,38400,0.9900
310,2.632676,2.568437,0.304565,0.308405,0.000997,326.6,39680,0.9875
320,2.575239,2.548349,0.314331,0.315835,0.000997,336.4,40960,0.9952
330,2.557446,2.496576,0.321777,0.325593,0.000997,346.0,42240,0.9883
340,2.615756,2.530378,0.307861,0.312787,0.000997,355.5,43520,0.9843
350,2.517520,2.463942,0.324097,0.327212,0.000996,365.2,44800,0.9905
360,2.578266,2.522061,0.313721,0.317127,0.000996,374.7,46080,0.9893
370,2.547987,2.484619,0.318237,0.321812,0.000996,384.6,47360,0.9889
380,2.547861,2.455344,0.322144,0.327379,0.000995,394.2,48640,0.9840
390,2.536365,2.456947,0.316284,0.320986,0.000995,403.8,49920,0.9854
400,2.506727,2.441064,0.331787,0.335638,0.000995,413.7,51200,0.9885
410,2.476470,2.411294,0.335449,0.339343,0.000994,429.4,52480,0.9885
420,2.493667,2.405083,0.333130,0.338334,0.000994,438.5,53760,0.9846
430,2.517306,2.400918,0.330933,0.337609,0.000993,447.8,55040,0.9802
440,2.430599,2.372303,0.351318,0.354958,0.000993,457.2,56320,0.9897
450,2.415444,2.368166,0.344238,0.347162,0.000993,466.4,57600,0.9916
460,2.434032,2.382638,0.337280,0.340271,0.000992,475.5,58880,0.9912
470,2.503260,2.392473,0.332153,0.338265,0.000992,485.2,60160,0.9819
480,2.457343,2.345045,0.350464,0.357090,0.000991,495.2,61440,0.9814
490,2.394482,2.325325,0.351562,0.355775,0.000991,505.0,62720,0.9882
500,2.402867,2.328166,0.349365,0.353726,0.000990,515.4,64000,0.9877
510,2.412732,2.342646,0.348389,0.352563,0.000990,531.4,65280,0.9882
520,2.413061,2.323932,0.356689,0.362082,0.000989,541.4,66560,0.9851
530,2.411048,2.330165,0.354858,0.359733,0.000989,551.3,67840,0.9865
540,2.405344,2.304979,0.356812,0.362520,0.000988,561.2,69120,0.9843
550,2.443945,2.279649,0.353882,0.363511,0.000988,571.1,70400,0.9735
560,2.388927,2.328363,0.345581,0.349075,0.000987,580.7,71680,0.9900
570,2.380285,2.311165,0.349609,0.353580,0.000987,590.6,72960,0.9888
580,2.361300,2.292043,0.363403,0.367576,0.000986,600.1,74240,0.9886
590,2.335091,2.283024,0.359497,0.362372,0.000986,609.4,75520,0.9921
600,2.407584,2.327618,0.340332,0.344623,0.000985,618.2,76800,0.9875
610,2.369642,2.259260,0.358154,0.364336,0.000984,634.0,78080,0.9830
620,2.367131,2.283925,0.359253,0.363827,0.000984,643.8,79360,0.9874
630,2.342354,2.255751,0.363159,0.367693,0.000983,653.6,80640,0.9877
640,2.365277,2.276488,0.359131,0.364154,0.000983,663.3,81920,0.9862
650,2.291979,2.234304,0.366577,0.369828,0.000982,674.4,83200,0.9912
660,2.342696,2.252921,0.364624,0.369404,0.000981,684.8,84480,0.9871
670,2.320765,2.252403,0.372559,0.376558,0.000981,694.7,85760,0.9894
680,2.290216,2.226975,0.370361,0.373922,0.000980,704.5,87040,0.9905
690,2.253532,2.191105,0.375854,0.379234,0.000979,714.1,88320,0.9911
700,2.336632,2.263814,0.370361,0.374429,0.000979,723.6,89600,0.9891
710,2.340032,2.250732,0.358521,0.363041,0.000978,739.1,90880,0.9875
720,2.284350,2.216168,0.368896,0.372489,0.000977,748.9,92160,0.9904
730,2.322006,2.190101,0.377441,0.385056,0.000976,758.5,93440,0.9802
740,2.267684,2.201386,0.378052,0.381874,0.000976,768.2,94720,0.9900
750,2.260536,2.200712,0.375854,0.379140,0.000975,777.8,96000,0.9913
760,2.287476,2.227300,0.368774,0.371953,0.000974,787.4,97280,0.9915
770,2.238190,2.182870,0.385132,0.388260,0.000973,796.9,98560,0.9919
780,2.254112,2.196385,0.377441,0.380507,0.000972,806.7,99840,0.9919
790,2.288072,2.198366,0.371460,0.376423,0.000972,816.3,101120,0.9868
800,2.271944,2.169617,0.380127,0.385969,0.000971,825.9,102400,0.9849
810,2.251076,2.191790,0.375366,0.378508,0.000970,842.0,103680,0.9917
820,2.263459,2.182217,0.382080,0.386420,0.000969,851.5,104960,0.9888
830,2.297794,2.195974,0.381592,0.387601,0.000968,861.2,106240,0.9845
840,2.221572,2.157438,0.388550,0.392140,0.000967,870.8,107520,0.9908
850,2.275319,2.178754,0.380371,0.385644,0.000967,880.8,108800,0.9863
860,2.266697,2.182282,0.384399,0.388909,0.000966,890.4,110080,0.9884
870,2.220421,2.143493,0.384888,0.388875,0.000965,899.9,111360,0.9897
880,2.223300,2.155189,0.389893,0.393592,0.000964,909.6,112640,0.9906
890,2.198191,2.122679,0.395386,0.399482,0.000963,919.4,113920,0.9897
900,2.273398,2.165795,0.385986,0.391919,0.000962,929.5,115200,0.9849
910,2.245804,2.135477,0.387451,0.393552,0.000961,945.3,116480,0.9845
920,2.319176,2.173431,0.382446,0.390113,0.000960,955.7,117760,0.9803
930,2.230209,2.150651,0.392334,0.396496,0.000959,965.7,119040,0.9895
940,2.213240,2.122391,0.394287,0.399160,0.000958,975.4,120320,0.9878
950,2.245865,2.156199,0.387329,0.391825,0.000957,985.2,121600,0.9885
960,2.186885,2.119645,0.398193,0.401774,0.000956,994.9,122880,0.9911
