step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac
1,5.553142,5.558300,0.000732,0.000747,0.000010,1.8,128,0.9800
10,5.065815,5.065187,0.179688,0.180791,0.000100,11.8,1280,0.9939
20,4.937749,4.937893,0.183594,0.186070,0.000200,20.1,2560,0.9867
30,4.719244,4.716219,0.183960,0.185866,0.000300,31.3,3840,0.9897
40,4.431091,4.423084,0.188721,0.191006,0.000400,41.4,5120,0.9880
50,4.137292,4.125841,0.185181,0.187192,0.000500,50.1,6400,0.9893
60,3.840892,3.832991,0.185669,0.186603,0.000600,59.1,7680,0.9950
70,3.639034,3.610924,0.181763,0.184282,0.000700,68.6,8960,0.9863
80,3.435299,3.394628,0.188599,0.191616,0.000800,78.2,10240,0.9843
90,3.308354,3.271932,0.189331,0.191647,0.000900,88.1,11520,0.9879
100,3.262200,3.227016,0.190308,0.192374,0.001000,98.6,12800,0.9893
110,3.219208,3.187537,0.191528,0.193274,0.001000,110.4,14080,0.9910
120,3.180375,3.121260,0.196045,0.199132,0.001000,118.8,15360,0.9845
130,3.094451,3.055210,0.207153,0.209248,0.001000,128.1,16640,0.9900
140,3.049074,3.005461,0.205078,0.207254,0.001000,137.2,17920,0.9895
150,2.997431,2.960748,0.218384,0.220266,0.000999,146.2,19200,0.9915
160,3.017882,2.959347,0.229370,0.232550,0.000999,155.6,20480,0.9863
170,2.964510,2.916950,0.248901,0.251542,0.000999,165.6,21760,0.9895
180,2.890270,2.845453,0.253784,0.256224,0.000998,175.5,23040,0.9905
190,2.877416,2.826041,0.271484,0.274466,0.000998,184.1,24320,0.9891
200,2.863311,2.803673,0.262817,0.266131,0.000997,193.9,25600,0.9875
210,2.822902,2.786005,0.263672,0.265715,0.000997,206.7,26880,0.9923
220,2.754212,2.703020,0.286499,0.289539,0.000996,215.4,28160,0.9895
230,2.752868,2.697520,0.276245,0.279383,0.000995,225.2,29440,0.9888
240,2.709398,2.649108,0.284058,0.287497,0.000994,234.3,30720,0.9880
250,2.700423,2.646503,0.283203,0.286349,0.000994,244.9,32000,0.9890
260,2.697185,2.637365,0.293091,0.296493,0.000993,254.2,33280,0.9885
270,2.653768,2.611675,0.293823,0.296210,0.000992,263.0,34560,0.9919
280,2.632010,2.569164,0.302002,0.305659,0.000991,271.9,35840,0.9880
290,2.611394,2.570592,0.295776,0.298032,0.000990,281.8,37120,0.9924
300,2.598969,2.533914,0.309204,0.312987,0.000988,289.8,38400,0.9879
310,2.615740,2.545386,0.309814,0.314031,0.000987,302.3,39680,0.9866
320,2.605456,2.514378,0.304932,0.310079,0.000986,312.8,40960,0.9834
330,2.575232,2.490757,0.314697,0.319494,0.000985,321.4,42240,0.9850
340,2.537049,2.483713,0.322021,0.325197,0.000983,331.2,43520,0.9902
350,2.542705,2.458131,0.324097,0.329119,0.000982,339.7,44800,0.9847
360,2.621904,2.520815,0.306763,0.312096,0.000980,349.7,46080,0.9829
370,2.514471,2.437143,0.331787,0.336469,0.000979,359.0,47360,0.9861
380,2.516935,2.446984,0.325073,0.329090,0.000977,368.1,48640,0.9878
390,2.466600,2.400023,0.330811,0.334775,0.000976,377.2,49920,0.9882
400,2.503007,2.417955,0.333130,0.338208,0.000974,385.7,51200,0.9850
410,2.514796,2.421901,0.329590,0.334904,0.000972,397.2,52480,0.9841
420,2.460688,2.372444,0.340820,0.345973,0.000970,406.0,53760,0.9851
430,2.461191,2.379356,0.348267,0.353138,0.000969,414.7,55040,0.9862
440,2.458794,2.388032,0.338623,0.342596,0.000967,423.4,56320,0.9884
450,2.443956,2.380995,0.342041,0.345798,0.000965,432.4,57600,0.9891
460,2.396779,2.350458,0.344360,0.346986,0.000963,441.7,58880,0.9924
470,2.422938,2.354875,0.343140,0.346994,0.000961,450.9,60160,0.9889
480,2.434336,2.334331,0.348999,0.354715,0.000958,460.1,61440,0.9839
490,2.423284,2.350280,0.350220,0.354285,0.000956,470.1,62720,0.9885
500,2.431950,2.350227,0.341797,0.346406,0.000954,479.4,64000,0.9867
510,2.376614,2.342968,0.350342,0.352190,0.000952,491.2,65280,0.9948
520,2.397475,2.302310,0.348511,0.353779,0.000949,499.7,66560,0.9851
530,2.377369,2.301720,0.353271,0.357460,0.000947,509.3,67840,0.9883
540,2.339470,2.256374,0.369995,0.374706,0.000945,519.0,69120,0.9874
550,2.340876,2.259222,0.363770,0.368447,0.000942,528.3,70400,0.9873
560,2.393679,2.314613,0.351318,0.355572,0.000939,537.7,71680,0.9880
570,2.372720,2.290722,0.354492,0.359095,0.000937,547.0,72960,0.9872
580,2.363487,2.315054,0.362427,0.365191,0.000934,556.2,74240,0.9924
590,2.303133,2.244060,0.359863,0.363144,0.000931,565.4,75520,0.9910
600,2.340662,2.292584,0.348633,0.351248,0.000929,574.0,76800,0.9926
610,2.367780,2.286750,0.355957,0.360623,0.000926,586.2,78080,0.9871
620,2.333831,2.245664,0.361084,0.365953,0.000923,596.0,79360,0.9867
630,2.295931,2.231887,0.373169,0.376803,0.000920,605.2,80640,0.9904
640,2.324026,2.245059,0.366211,0.370645,0.000917,615.6,81920,0.9880
650,2.322969,2.261756,0.357544,0.360892,0.000914,623.7,83200,0.9907
660,2.270802,2.192991,0.374878,0.379136,0.000911,632.6,84480,0.9888
670,2.309222,2.217943,0.371338,0.376625,0.000908,640.9,85760,0.9860
680,2.251750,2.206870,0.376465,0.378963,0.000905,650.2,87040,0.9934
690,2.283164,2.220069,0.377197,0.380729,0.000902,659.7,88320,0.9907
700,2.260267,2.190166,0.386230,0.390232,0.000898,668.4,89600,0.9897
710,2.341571,2.223979,0.377808,0.384615,0.000895,680.0,90880,0.9823
720,2.325165,2.205105,0.378052,0.384960,0.000892,688.7,92160,0.9821
730,2.297871,2.225978,0.368652,0.372793,0.000888,697.2,93440,0.9889
740,2.318201,2.215693,0.371460,0.377076,0.000885,705.6,94720,0.9851
750,2.345271,2.211493,0.372314,0.380015,0.000881,715.0,96000,0.9797
760,2.294450,2.188869,0.377563,0.383414,0.000878,724.9,97280,0.9847
770,2.273533,2.200735,0.385254,0.389485,0.000874,734.7,98560,0.9891
780,2.241009,2.169838,0.392578,0.396547,0.000871,744.1,99840,0.9900
790,2.261809,2.182486,0.386597,0.391326,0.000867,753.4,101120,0.9879
800,2.244634,2.164350,0.384521,0.388937,0.000863,762.4,102400,0.9886
810,2.302619,2.182006,0.385986,0.392649,0.000860,774.3,103680,0.9830
820,2.241930,2.149942,0.390015,0.395470,0.000856,783.0,104960,0.9862
830,2.218759,2.140191,0.393066,0.397531,0.000852,792.3,106240,0.9888
840,2.203125,2.129512,0.386841,0.390945,0.000848,801.1,107520,0.9895
850,2.268960,2.206213,0.381836,0.385317,0.000844,810.3,108800,0.9910
860,2.242457,2.167156,0.378052,0.381921,0.000840,820.7,110080,0.9899
870,2.254946,2.141334,0.386230,0.392458,0.000836,830.1,111360,0.9841
880,2.257296,2.184464,0.373413,0.377142,0.000832,838.9,112640,0.9901
890,2.269538,2.182271,0.381470,0.386136,0.000828,847.7,113920,0.9879
900,2.234913,2.160449,0.388916,0.392994,0.000824,857.0,115200,0.9896
910,2.231937,2.141987,0.386475,0.391202,0.000820,867.9,116480,0.9879
920,2.251519,2.159693,0.386841,0.392106,0.000816,878.8,117760,0.9866
930,2.184168,2.110523,0.395874,0.399778,0.000812,888.0,119040,0.9902
940,2.175801,2.104117,0.403687,0.407818,0.000807,898.6,120320,0.9899
950,2.173132,2.097096,0.401855,0.406119,0.000803,909.4,121600,0.9895
960,2.196048,2.113620,0.402466,0.407138,0.000799,918.2,122880,0.9885
970,2.138765,2.065510,0.409302,0.413542,0.000794,927.7,124160,0.9897
980,2.172333,2.114468,0.399170,0.402511,0.000790,937.7,125440,0.9917
990,2.211964,2.080960,0.406616,0.414200,0.000786,946.9,126720,0.9817
1000,2.173498,2.093205,0.409180,0.413572,0.000781,955.3,128000,0.9894
1010,2.269072,2.139208,0.386719,0.393540,0.000777,967.0,129280,0.9827
1020,2.181598,2.043924,0.414062,0.421891,0.000772,975.6,130560,0.9814
1030,2.177823,2.085505,0.409790,0.415162,0.000767,985.1,131840,0.9871
1040,2.208062,2.084864,0.403442,0.410355,0.000763,993.5,133120,0.9832
1050,2.173235,2.086583,0.414307,0.419375,0.000758,1003.1,134400,0.9879
1060,2.182969,2.083338,0.403198,0.408787,0.000754,1012.4,135680,0.9863
1070,2.129249,2.076668,0.404175,0.407007,0.000749,1020.8,136960,0.9930
1080,2.137992,2.065741,0.414917,0.419009,0.000744,1030.2,138240,0.9902
1001,2.181653,2.082767,0.416138,0.421749,0.000078,1.5,128128,0.9867
1010,2.232311,2.087981,0.397339,0.405204,0.000078,9.6,129280,0.9806
1020,2.178982,2.078417,0.404907,0.410520,0.000077,18.4,130560,0.9863
1030,2.190936,2.093627,0.411377,0.416873,0.000077,28.0,131840,0.9868
1040,2.188328,2.060868,0.399536,0.406634,0.000076,37.2,133120,0.9825
1050,2.163174,2.080078,0.404053,0.408642,0.000076,46.6,134400,0.9888
1060,2.195042,2.086952,0.397095,0.402998,0.000075,55.0,135680,0.9854
1070,2.184230,2.065618,0.417480,0.424423,0.000075,67.2,136960,0.9836
1080,2.176853,2.099700,0.402588,0.406859,0.000074,75.9,138240,0.9895
1090,2.181320,2.083562,0.407104,0.412594,0.000074,83.9,139520,0.9867
1100,2.137904,2.033499,0.416138,0.422115,0.000073,93.4,140800,0.9858
1110,2.103390,2.024350,0.426392,0.430915,0.000073,105.4,142080,0.9895
1120,2.127241,2.057925,0.421875,0.425931,0.000073,114.2,143360,0.9905
