step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac
1,5.585263,5.586920,0.003784,0.000992,0.000010,1.4,128,0.9845
10,5.114905,5.106236,0.057129,0.058014,0.000100,8.7,1280,0.9847
20,5.049724,5.040833,0.063843,0.064704,0.000200,16.8,2560,0.9867
30,4.832465,4.820612,0.059692,0.060482,0.000300,26.8,3840,0.9869
40,4.553004,4.533069,0.062866,0.063817,0.000400,37.4,5120,0.9851
50,4.271850,4.252597,0.064575,0.065301,0.000500,46.6,6400,0.9889
60,3.986232,3.958838,0.057983,0.058693,0.000600,56.7,7680,0.9879
70,3.743799,3.710383,0.070801,0.071685,0.000700,66.3,8960,0.9877
80,3.529111,3.495871,0.142212,0.143721,0.000800,76.3,10240,0.9895
90,3.390682,3.360244,0.185425,0.187069,0.000900,85.4,11520,0.9912
100,3.292082,3.252883,0.188354,0.190329,0.001000,94.9,12800,0.9896
110,3.286717,3.241305,0.196777,0.199037,0.001000,107.0,14080,0.9886
120,3.168770,3.130695,0.194702,0.196525,0.000999,116.1,15360,0.9907
130,3.129153,3.091091,0.201050,0.202907,0.000997,124.1,16640,0.9908
140,3.085823,3.039630,0.204224,0.206390,0.000995,134.4,17920,0.9895
150,3.065603,3.011561,0.233154,0.236065,0.000993,144.3,19200,0.9877
160,3.010761,2.977657,0.232178,0.233891,0.000989,152.8,20480,0.9927
170,2.958431,2.901704,0.245239,0.248209,0.000986,162.2,21760,0.9880
180,2.954855,2.884701,0.263062,0.267038,0.000981,171.6,23040,0.9851
190,2.918789,2.839417,0.261963,0.266385,0.000976,181.6,24320,0.9834
200,2.891015,2.820111,0.269653,0.273628,0.000970,190.0,25600,0.9855
210,2.835293,2.770000,0.268799,0.272356,0.000964,202.1,26880,0.9869
220,2.819347,2.769191,0.267822,0.270497,0.000957,214.2,28160,0.9901
230,2.786131,2.693689,0.279541,0.284543,0.000950,222.4,29440,0.9824
240,2.781585,2.707010,0.278687,0.282724,0.000942,231.9,30720,0.9857
250,2.732407,2.669069,0.285645,0.289174,0.000934,242.5,32000,0.9878
260,2.685312,2.620994,0.301392,0.305116,0.000925,252.0,33280,0.9878
270,2.673906,2.624762,0.291138,0.293755,0.000915,262.3,34560,0.9911
280,2.736295,2.611198,0.289307,0.296065,0.000906,272.0,35840,0.9772
290,2.613240,2.546697,0.304321,0.308006,0.000895,280.6,37120,0.9880
300,2.618296,2.543627,0.309326,0.313497,0.000884,290.4,38400,0.9867
310,2.609467,2.550179,0.298950,0.302085,0.000873,300.3,39680,0.9896
320,2.603958,2.532018,0.313232,0.317182,0.000861,309.1,40960,0.9875
330,2.584469,2.518220,0.315308,0.319046,0.000849,317.3,42240,0.9883
340,2.584287,2.525686,0.311157,0.314303,0.000836,326.9,43520,0.9900
350,2.618496,2.519528,0.315063,0.320581,0.000823,335.3,44800,0.9828
360,2.574128,2.467749,0.327393,0.333333,0.000809,343.5,46080,0.9822
370,2.539202,2.485549,0.318726,0.321710,0.000795,352.4,47360,0.9907
380,2.548408,2.441250,0.327759,0.333789,0.000781,361.2,48640,0.9819
390,2.487320,2.434161,0.326416,0.329310,0.000766,371.0,49920,0.9912
400,2.494817,2.429550,0.332642,0.336212,0.000752,380.8,51200,0.9894
410,2.469035,2.406936,0.331543,0.334936,0.000736,391.4,52480,0.9899
420,2.551833,2.456740,0.325806,0.331224,0.000721,400.8,53760,0.9836
430,2.473618,2.403821,0.338379,0.342349,0.000705,409.5,55040,0.9884
440,2.489875,2.411595,0.329834,0.334158,0.000689,418.7,56320,0.9871
450,2.479608,2.400040,0.333862,0.338323,0.000673,428.6,57600,0.9868
460,2.454707,2.362853,0.343018,0.348160,0.000656,436.6,58880,0.9852
470,2.511456,2.408025,0.330200,0.335733,0.000639,446.1,60160,0.9835
480,2.462070,2.387212,0.342773,0.346924,0.000623,454.9,61440,0.9880
490,2.439950,2.362725,0.341797,0.345978,0.000606,464.6,62720,0.9879
500,2.465595,2.380502,0.339600,0.344264,0.000589,473.3,64000,0.9865
510,2.393568,2.303726,0.358643,0.363884,0.000571,484.0,65280,0.9856
520,2.414499,2.338341,0.343140,0.347251,0.000554,493.4,66560,0.9882
530,2.412024,2.347366,0.343018,0.346400,0.000537,505.3,67840,0.9902
540,2.499918,2.381933,0.339111,0.345436,0.000519,514.4,69120,0.9817
550,2.416498,2.336133,0.353882,0.358255,0.000502,523.1,70400,0.9878
560,2.396034,2.315807,0.358887,0.363457,0.000484,532.3,71680,0.9874
570,2.376894,2.307548,0.354980,0.358658,0.000467,540.9,72960,0.9897
580,2.415559,2.327668,0.357544,0.362500,0.000449,550.9,74240,0.9863
590,2.401865,2.300222,0.349731,0.355503,0.000432,559.0,75520,0.9838
600,2.386548,2.317871,0.350220,0.353848,0.000415,567.0,76800,0.9897
610,2.445030,2.342334,0.352661,0.358348,0.000398,576.3,78080,0.9841
620,2.440365,2.339586,0.356323,0.362024,0.000381,587.6,79360,0.9843
630,2.383898,2.310477,0.354248,0.358272,0.000364,596.7,80640,0.9888
640,2.332209,2.304391,0.357422,0.358911,0.000347,605.3,81920,0.9958
650,2.418247,2.312792,0.356934,0.362689,0.000331,613.8,83200,0.9841
660,2.333069,2.279374,0.360962,0.363849,0.000314,621.9,84480,0.9921
670,2.392076,2.277077,0.370483,0.377159,0.000298,630.5,85760,0.9823
680,2.334587,2.270498,0.362915,0.366404,0.000282,638.5,87040,0.9905
690,2.361956,2.314606,0.355347,0.357924,0.000267,646.7,88320,0.9928
700,2.399655,2.314209,0.348511,0.353079,0.000252,654.8,89600,0.9871
710,2.345037,2.279948,0.354004,0.357407,0.000237,663.8,90880,0.9905
720,2.351636,2.282907,0.367065,0.370914,0.000222,672.4,92160,0.9896
730,2.369568,2.262961,0.366577,0.372350,0.000208,681.3,93440,0.9845
740,2.342482,2.284282,0.371460,0.374754,0.000194,690.2,94720,0.9912
750,2.343681,2.289451,0.356812,0.359665,0.000180,698.3,96000,0.9921
760,2.359430,2.272319,0.369873,0.374722,0.000167,706.5,97280,0.9871
770,2.361350,2.257796,0.366821,0.372413,0.000154,714.6,98560,0.9850
780,2.317381,2.239511,0.376587,0.380958,0.000142,722.6,99840,0.9885
790,2.373379,2.305738,0.356812,0.360330,0.000130,731.0,101120,0.9902
800,2.304236,2.230049,0.367798,0.371792,0.000118,739.3,102400,0.9893
810,2.328116,2.259563,0.361816,0.365430,0.000107,749.0,103680,0.9901
820,2.358554,2.251757,0.372437,0.378395,0.000097,757.5,104960,0.9843
830,2.342058,2.268995,0.369507,0.373473,0.000086,765.7,106240,0.9894
840,2.320675,2.229378,0.368896,0.373779,0.000077,773.8,107520,0.9869
850,2.344514,2.264230,0.373413,0.377888,0.000068,782.0,108800,0.9882
860,2.296309,2.238467,0.376343,0.379493,0.000059,790.4,110080,0.9917
870,2.352233,2.252317,0.371338,0.376718,0.000051,798.6,111360,0.9857
