step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac
1,5.735381,5.738632,0.000610,0.000617,0.000010,1.7,128,0.9894
10,5.204801,5.199141,0.182129,0.184175,0.000100,11.4,1280,0.9889
20,5.092666,5.087417,0.189697,0.191026,0.000200,21.2,2560,0.9930
30,4.898143,4.884123,0.189209,0.191713,0.000300,33.1,3840,0.9869
40,4.688912,4.667525,0.185669,0.188616,0.000400,42.8,5120,0.9844
50,4.455399,4.432920,0.188965,0.191489,0.000500,54.3,6400,0.9868
60,4.217219,4.184244,0.189209,0.192260,0.000600,65.1,7680,0.9841
70,3.967118,3.938321,0.189941,0.192194,0.000700,76.1,8960,0.9883
80,3.753615,3.714147,0.183594,0.186139,0.000800,86.1,10240,0.9863
90,3.593354,3.530893,0.184814,0.188355,0.000900,95.7,11520,0.9812
100,3.453065,3.405627,0.189331,0.191813,0.001000,105.2,12800,0.9871
110,3.358639,3.319535,0.182495,0.184318,0.001000,118.5,14080,0.9901
120,3.297687,3.241986,0.191772,0.194359,0.000999,128.0,15360,0.9867
130,3.266254,3.212669,0.193115,0.195574,0.000997,138.3,16640,0.9874
140,3.193593,3.135454,0.191406,0.193915,0.000995,149.0,17920,0.9871
150,3.153213,3.106251,0.205688,0.207819,0.000993,158.2,19200,0.9897
160,3.144813,3.078172,0.206787,0.209679,0.000989,169.3,20480,0.9862
170,3.064157,3.024726,0.215820,0.217520,0.000986,178.3,21760,0.9922
180,3.011225,2.972092,0.230835,0.232653,0.000981,189.0,23040,0.9922
190,3.031322,2.974208,0.222534,0.225117,0.000976,198.7,24320,0.9885
200,2.986618,2.933388,0.243408,0.245930,0.000970,209.9,25600,0.9897
210,2.987778,2.919848,0.237793,0.240851,0.000964,223.1,26880,0.9873
220,2.888996,2.830557,0.252930,0.255739,0.000957,233.8,28160,0.9890
230,2.870439,2.818546,0.251221,0.253698,0.000950,245.4,29440,0.9902
240,2.907784,2.823151,0.259644,0.263569,0.000942,255.3,30720,0.9851
250,2.855254,2.756214,0.275391,0.280492,0.000934,266.5,32000,0.9818
260,2.823526,2.754002,0.278320,0.281795,0.000925,276.1,33280,0.9877
270,2.823568,2.721827,0.286011,0.291164,0.000915,286.2,34560,0.9823
280,2.767882,2.681360,0.287842,0.292266,0.000906,296.3,35840,0.9849
