step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac,S
1,5.562530,5.562526,0.001831,0.001853,0.000010,1.9,128,0.9883,29.999990
10,5.549677,5.548526,0.002441,0.002486,0.000100,12.6,1280,0.9821,30.000090
20,5.548022,5.547403,0.002563,0.002600,0.000200,21.7,2560,0.9861,30.000195
30,5.546771,5.545830,0.002686,0.002733,0.000300,33.1,3840,0.9827,30.000261
40,5.547559,5.546551,0.003296,0.003358,0.000400,41.5,5120,0.9816,30.000299
50,5.553501,5.552790,0.003174,0.003220,0.000500,52.1,6400,0.9856,30.000319
60,5.549897,5.549143,0.002563,0.002602,0.000600,60.9,7680,0.9854,30.000326
70,5.552245,5.551796,0.002808,0.002854,0.000700,71.7,8960,0.9839,30.000326
80,5.547507,5.547184,0.002808,0.002829,0.000800,82.0,10240,0.9923,30.000326
90,5.551319,5.550932,0.002197,0.002227,0.000900,92.0,11520,0.9868,30.000326
100,5.551939,5.551229,0.002319,0.002359,0.001000,101.2,12800,0.9832,30.000326
110,5.550538,5.550011,0.002319,0.002340,0.001000,114.1,14080,0.9912,30.000326
120,5.550737,5.550053,0.002441,0.002473,0.000999,123.5,15360,0.9873,30.000326
130,5.556583,5.555962,0.003052,0.003089,0.000997,132.1,16640,0.9880,30.000326
140,5.552862,5.552490,0.002686,0.002712,0.000995,140.5,17920,0.9901,30.000326
150,5.553241,5.552773,0.002441,0.002475,0.000993,151.6,19200,0.9866,30.000326
160,5.552773,5.552463,0.001099,0.001110,0.000989,160.0,20480,0.9897,30.000326
170,5.555099,5.554565,0.001831,0.001732,0.000986,169.4,21760,0.9868,30.000326
180,5.551661,5.551288,0.001953,0.001985,0.000981,178.7,23040,0.9839,30.000326
190,5.554794,5.554264,0.001587,0.001607,0.000976,188.2,24320,0.9873,30.000326
200,5.555006,5.554110,0.003052,0.003110,0.000970,197.3,25600,0.9813,30.000326
210,5.554115,5.553825,0.002197,0.002218,0.000964,210.2,26880,0.9905,30.000326
220,5.554947,5.554873,0.001831,0.001855,0.000957,218.9,28160,0.9869,30.000826
230,1111285329735039531876352.000000,1103095407711876718526464.000000,0.001709,0.001736,0.000950,227.8,29440,0.9843,30.003778
240,1395061731459703572390739968.000000,1407831453151240862077812736.000000,0.000000,0.000000,0.000942,236.5,30720,0.9805,30.004827
250,5740833949567848368582950912.000000,5831188758372024366573551616.000000,0.000122,0.000124,0.000934,245.8,32000,0.9836,30.005201
260,11859376937535059570292948992.000000,11817803584203116648654176256.000000,0.000000,0.000000,0.000925,254.8,33280,0.9847,30.005333
270,22722776088450772312323522560.000000,22860227648484417640735965184.000000,0.000000,0.000000,0.000915,263.5,34560,0.9912,30.005379
280,27893224315047503812121067520.000000,28147186100946509027245817856.000000,0.000000,0.000000,0.000906,272.6,35840,0.9910,30.005398
290,29100808982580998007586553856.000000,29454138804012546297297895424.000000,0.000000,0.000000,0.000895,283.1,37120,0.9825,30.005398
300,29394771573773150552493916160.000000,29533375391228616074338500608.000000,0.000000,0.000000,0.000884,292.6,38400,0.9917,30.005398
310,28587742753683142533699338240.000000,28740664786314668819831848960.000000,0.000000,0.000000,0.000873,305.9,39680,0.9890,30.005398
320,28739526695992297235335348224.000000,29032025353574760190226464768.000000,0.000122,0.000124,0.000861,315.4,40960,0.9840,30.005398
330,30343509167281110884861083648.000000,30407445287092683011409313792.000000,0.000000,0.000000,0.000849,325.8,42240,0.9893,30.005398
340,28714110919581492804795236352.000000,28645875085087267866279936000.000000,0.000122,0.000123,0.000836,335.3,43520,0.9886,30.005398
350,29580743088235040050654478336.000000,29902425970681637412966236160.000000,0.000000,0.000000,0.000823,344.6,44800,0.9891,30.005398
360,30026853243955528259879305216.000000,30337412592151726172890202112.000000,0.000000,0.000000,0.000809,352.3,46080,0.9891,30.005398
370,30262005844153263678117904384.000000,30051001064965682190679539712.000000,0.000000,0.000000,0.000795,361.4,47360,0.9836,30.005398
380,28809261881844833286205997056.000000,28927002284178980715496472576.000000,0.000000,0.000000,0.000781,370.4,48640,0.9900,30.005398
390,30502553748057677666013151232.000000,30681385044397468260610605056.000000,0.000000,0.000000,0.000766,381.5,49920,0.9854,30.005398
400,29283713320012263671180820480.000000,29698219038046146779812986880.000000,0.000000,0.000000,0.000752,391.4,51200,0.9803,30.005398
410,29943045405984040666271842304.000000,29817402123340810885716246528.000000,0.000000,0.000000,0.000736,403.8,52480,0.9921,30.005398
420,29267206287971392826336346112.000000,29353441422315075417583648768.000000,0.000000,0.000000,0.000721,413.6,53760,0.9856,30.005398
430,29598669191404013223885668352.000000,29979461935116689935337259008.000000,0.000000,0.000000,0.000705,423.0,55040,0.9872,30.005398
