step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac,S
1,5.486285,5.484826,0.004395,0.004448,0.000010,1.6,128,0.9879,0.854355
10,5.130487,5.123907,0.185303,0.187038,0.000100,11.6,1280,0.9907,0.854355
20,5.030836,5.018008,0.189941,0.192670,0.000200,22.7,2560,0.9858,0.854355
30,4.842345,4.824687,0.184570,0.187500,0.000300,32.6,3840,0.9844,0.854355
40,4.596215,4.584538,0.188843,0.190353,0.000400,43.8,5120,0.9921,0.854355
50,4.317620,4.297892,0.188599,0.190600,0.000500,55.9,6400,0.9895,0.854355
60,4.043589,4.021421,0.187988,0.189819,0.000600,67.2,7680,0.9904,0.854355
70,3.794111,3.761850,0.190552,0.192764,0.000700,77.7,8960,0.9885,0.854355
80,3.616727,3.564198,0.190186,0.193252,0.000800,89.6,10240,0.9841,0.854355
90,3.457294,3.403213,0.188477,0.191207,0.000900,100.3,11520,0.9857,0.854355
100,3.375285,3.297865,0.187012,0.190547,0.001000,110.5,12800,0.9814,0.854355
110,3.286356,3.243502,0.189819,0.191691,0.001000,123.3,14080,0.9902,0.854355
120,3.235487,3.189333,0.191162,0.193071,0.000999,134.0,15360,0.9901,0.854355
130,3.202229,3.136050,0.205078,0.207947,0.000997,145.1,16640,0.9862,0.854355
140,3.176335,3.092807,0.209229,0.212734,0.000995,155.5,17920,0.9835,0.854355
150,3.103514,3.043588,0.214233,0.216800,0.000993,166.6,19200,0.9882,0.854355
160,3.095968,3.005388,0.244751,0.249161,0.000989,178.7,20480,0.9823,0.854355
170,3.030808,2.971500,0.244019,0.246729,0.000986,190.2,21760,0.9890,0.854355
180,2.995174,2.927194,0.243530,0.246601,0.000981,201.3,23040,0.9875,0.854355
190,2.918541,2.884715,0.271362,0.272995,0.000976,213.8,24320,0.9940,0.854355
200,2.925935,2.870183,0.268677,0.271393,0.000970,224.8,25600,0.9900,0.854355
210,2.880542,2.812316,0.275146,0.278512,0.000964,238.2,26880,0.9879,0.854355
220,2.885761,2.808901,0.267944,0.271591,0.000957,248.2,28160,0.9866,0.854355
230,2.806504,2.732939,0.279053,0.282606,0.000950,257.8,29440,0.9874,0.854355
