step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac,ring_norm,ring_slot_mean,alpha_0_mean,alpha_0_min,alpha_0_max,alpha_1_mean,alpha_1_min,alpha_1_max,input_norm_0,input_norm_1,ring_signal_norm_0,ring_signal_norm_1,blended_norm_0,blended_norm_1,hidden_norm_0,hidden_norm_1,hidden_final_norm_0,hidden_final_norm_1,ptr_pos_0,ptr_pos_1
1,5.663613,5.664983,0.003662,0.003700,0.000010,2.4,128,0.9897,628.7929,0.6112,0.4973,0.4674,0.5227,0.4780,0.4614,0.4976,18.0075,18.0075,6.1730,5.4789,22.4997,21.6246,52.6152,53.1074,52.4923,52.9946,63.00,575.00
10,5.257293,5.252544,0.052368,0.053055,0.000100,15.9,1280,0.9871,652.7711,0.6381,0.5011,0.4693,0.5248,0.4757,0.4473,0.4959,17.6500,17.6500,5.9330,5.8881,22.6720,21.5206,52.0897,53.3559,51.9452,53.2523,63.00,575.00
20,5.062301,5.056845,0.187256,0.189429,0.000200,29.6,2560,0.9885,928.9440,0.9008,0.4965,0.4722,0.5177,0.4762,0.4463,0.4918,17.9528,17.9528,6.7234,8.1975,22.4632,21.5487,51.6615,53.0297,51.5989,52.9691,63.00,575.00
30,4.885611,4.876303,0.187500,0.189817,0.000300,40.6,3840,0.9878,1380.1989,1.3270,0.5007,0.4784,0.5194,0.4754,0.4441,0.5012,18.0311,18.0311,8.9426,12.0855,22.6604,21.5140,51.3113,52.7741,51.1809,52.6573,63.00,575.00
40,4.652464,4.631727,0.190063,0.193633,0.000400,54.5,5120,0.9816,1813.5242,1.7456,0.5052,0.4763,0.5288,0.4656,0.4266,0.4896,18.0256,18.0256,11.5642,15.7406,22.8666,21.0742,51.1401,53.0175,51.0306,52.9464,63.00,575.00
50,4.350713,4.332149,0.186401,0.188682,0.000500,68.1,6400,0.9879,2229.1982,2.1536,0.5023,0.4794,0.5287,0.4730,0.4525,0.4952,18.1320,18.1320,14.3725,18.9844,22.7351,21.4119,51.2377,52.6651,51.4616,52.8620,63.00,575.00
60,4.044042,4.018597,0.184204,0.186527,0.000600,81.4,7680,0.9875,2616.2239,2.5168,0.5018,0.4734,0.5282,0.4752,0.4559,0.4931,18.3237,18.3237,16.2650,22.6923,22.7185,21.5119,51.1995,52.6430,51.2833,52.7097,63.00,575.00
70,3.816003,3.765488,0.191162,0.195043,0.000700,94.7,8960,0.9801,2925.6890,2.8035,0.5113,0.4783,0.5356,0.4741,0.4472,0.4904,17.8829,17.8829,17.7054,25.7940,23.1499,21.4682,51.2453,52.7736,51.2385,52.7515,63.00,575.00
80,3.585841,3.550597,0.187988,0.190194,0.000800,107.6,10240,0.9884,3188.4053,3.0639,0.5157,0.4859,0.5402,0.4573,0.4338,0.4735,17.8119,17.8119,19.5977,28.1039,23.3497,20.7034,51.0224,53.0504,51.1597,53.1148,63.00,575.00
90,3.434597,3.389778,0.188599,0.191047,0.000900,118.8,11520,0.9872,3347.4001,3.2188,0.5207,0.4989,0.5457,0.4425,0.4262,0.4600,18.2348,18.2348,20.6938,29.7209,23.5766,20.0346,50.9304,53.2927,50.7655,53.1515,63.00,575.00
100,3.343410,3.280113,0.185791,0.188857,0.001000,132.9,12800,0.9838,3565.4609,3.3861,0.5201,0.4997,0.5404,0.4432,0.4240,0.4589,18.0243,18.0243,20.0676,33.0750,23.5549,20.0715,50.8612,53.2599,50.7805,53.1330,63.00,575.00
110,3.261519,3.224537,0.185791,0.187462,0.001000,148.9,14080,0.9911,3807.4651,3.6443,0.5636,0.5393,0.5778,0.4455,0.4159,0.4668,17.6124,17.6124,22.2723,34.8690,25.5260,20.1781,50.4565,53.3299,50.4553,53.2689,63.00,575.00
120,3.227273,3.163177,0.184814,0.187562,0.000999,162.0,15360,0.9854,3959.9985,3.8252,0.5650,0.5108,0.5825,0.4461,0.4088,0.4818,17.9603,17.9603,24.9712,35.0160,25.5949,20.2058,50.1684,53.0212,50.2124,53.0219,63.00,575.00
130,3.232685,3.162614,0.198364,0.201563,0.000997,174.0,16640,0.9841,4053.9746,3.9179,0.5615,0.5021,0.5872,0.4604,0.4148,0.5016,17.0827,17.0827,25.9402,35.6989,25.4379,20.8612,50.0741,52.6545,50.3632,52.7617,63.00,575.00
