step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac,ring_norm,ring_slot_mean,alpha_0_mean,alpha_0_min,alpha_0_max,alpha_1_mean,alpha_1_min,alpha_1_max,input_norm_0,input_norm_1,ring_signal_norm_0,ring_signal_norm_1,blended_norm_0,blended_norm_1,hidden_norm_0,hidden_norm_1,hidden_final_norm_0,hidden_final_norm_1,ptr_pos_0,ptr_pos_1
1,5.518186,5.514802,0.000000,0.000000,0.000010,2.6,128,0.9835,664.3698,0.6462,0.5154,0.4896,0.5456,0.5030,0.4867,0.5226,17.3978,17.3978,6.1531,5.9032,3.1710,2.9692,54.3378,54.5659,54.0959,54.3243,63.00,575.00
10,4.953220,4.941142,0.183838,0.186432,0.000100,15.0,1280,0.9861,812.9160,0.7496,0.5343,0.5148,0.5553,0.5127,0.4920,0.5354,18.1639,18.1639,5.0887,8.5934,2.7191,4.4064,53.9246,54.9778,53.7855,54.8386,63.00,575.00
20,4.846905,4.831392,0.182861,0.185626,0.000200,27.6,2560,0.9851,1301.6814,1.1850,0.5323,0.5104,0.5520,0.5343,0.4927,0.5558,17.6805,17.6805,6.7003,13.2789,3.5669,7.0950,54.0353,55.5758,54.0624,55.6037,63.00,575.00
30,4.601131,4.590127,0.190918,0.192540,0.000300,41.4,3840,0.9916,1941.3230,1.7617,0.5042,0.4756,0.5471,0.5703,0.5124,0.5969,17.6055,17.6055,8.9937,19.6507,4.5353,11.2076,53.9597,54.4309,53.9352,54.3746,63.00,575.00
40,4.365225,4.342965,0.185425,0.187902,0.000400,54.4,5120,0.9868,2404.5449,2.1995,0.5089,0.4827,0.5390,0.5813,0.5237,0.6055,17.8486,17.8486,11.3404,24.0413,5.7709,13.9761,54.0416,53.5690,54.2437,53.8244,63.00,575.00
50,4.094501,4.067406,0.187256,0.189687,0.000500,67.4,6400,0.9872,2810.6086,2.5783,0.4871,0.4695,0.5195,0.5903,0.5404,0.6130,17.6344,17.6344,13.4033,28.1011,6.5287,16.5864,53.8729,53.2139,53.9444,53.2975,63.00,575.00
60,3.840876,3.801018,0.188721,0.191693,0.000600,80.4,7680,0.9845,3257.6824,2.9622,0.4755,0.4562,0.5047,0.5958,0.5721,0.6192,17.5010,17.5010,14.8337,33.0415,7.0536,19.6859,53.8557,52.3310,53.9099,52.3053,63.00,575.00
70,3.625432,3.582912,0.186035,0.188661,0.000700,91.0,8960,0.9861,3558.2332,3.3320,0.4920,0.4727,0.5234,0.5734,0.5328,0.5956,17.8504,17.8504,19.3142,34.6244,9.5039,19.8532,53.6279,52.3190,53.4727,52.1866,63.00,575.00
80,3.435961,3.408198,0.184570,0.186047,0.000800,104.1,10240,0.9921,3852.2114,3.6220,0.4929,0.4736,0.5317,0.5265,0.4970,0.5511,17.7123,17.7123,21.3448,37.0610,10.5223,19.5133,53.1747,52.3749,53.1894,52.4030,63.00,575.00
90,3.324079,3.286417,0.186279,0.188070,0.000900,119.4,11520,0.9905,4151.9824,3.9226,0.5264,0.5054,0.5644,0.4994,0.4767,0.5274,17.6897,17.6897,24.3586,39.5584,12.8235,19.7569,52.6580,52.4956,52.7295,52.5981,63.00,575.00
100,3.355543,3.274618,0.186401,0.190067,0.001000,131.3,12800,0.9807,4255.4019,4.0641,0.5209,0.4685,0.5877,0.4810,0.4394,0.5266,17.7530,17.7530,27.4859,39.2709,14.3209,18.8893,52.3174,52.7319,52.2017,52.7019,63.00,575.00
110,3.261789,3.192421,0.187622,0.190624,0.001000,147.7,14080,0.9843,4716.6299,4.5120,0.4434,0.3873,0.5264,0.4834,0.4212,0.5451,18.1705,18.1705,29.7151,43.1215,13.1799,20.8515,52.9705,51.7769,53.1107,51.9666,63.00,575.00
120,3.186872,3.133745,0.186401,0.188588,0.000999,160.5,15360,0.9884,5529.4326,5.3891,0.4372,0.3633,0.5239,0.5299,0.4600,0.5749,18.5221,18.5221,44.0506,42.9659,19.2615,22.7660,51.2829,51.4549,51.1405,51.2616,63.00,575.00
130,3.162158,3.109812,0.183472,0.185510,0.000997,175.6,16640,0.9890,6624.9995,6.4314,0.4192,0.3447,0.4985,0.5701,0.4966,0.6218,18.7189,18.7189,57.1150,47.3600,23.9615,26.9969,50.2661,50.3925,49.7734,50.2999,63.00,575.00
140,3.138535,3.102400,0.193359,0.194786,0.000995,189.0,17920,0.9927,7753.5273,7.4089,0.4798,0.4184,0.5423,0.5488,0.4971,0.5988,18.4373,18.4373,49.1533,72.6414,23.5976,39.8643,50.0479,48.2899,50.0241,47.1728,63.00,575.00
150,3.130848,3.072046,0.212646,0.215168,0.000993,200.4,19200,0.9883,9029.8271,8.6289,0.5332,0.5050,0.5631,0.4886,0.4441,0.5344,18.6754,18.6754,57.2688,83.2182,30.5407,40.6595,48.3627,48.3896,48.0471,47.5907,63.00,575.00
160,3.074815,3.014968,0.213013,0.215485,0.000989,213.2,20480,0.9885,9585.6230,9.2206,0.5164,0.4821,0.5470,0.4624,0.4023,0.5430,18.4899,18.4899,66.1615,85.9910,34.1606,39.7760,47.8280,48.1809,47.0173,48.7564,63.00,575.00
170,3.048942,2.965659,0.221313,0.224854,0.000986,224.7,21760,0.9843,9420.4893,9.1600,0.5252,0.4943,0.5571,0.5403,0.4749,0.5987,18.8638,18.8638,90.0451,69.2616,47.2896,37.4268,47.1909,48.0716,43.6602,47.9258,63.00,575.00
180,2.996358,2.932644,0.223145,0.225818,0.000981,236.9,23040,0.9882,9954.1562,9.6739,0.4554,0.4271,0.5032,0.5851,0.5098,0.6345,18.8029,18.8029,94.8173,72.5275,43.1975,42.3956,48.5778,46.5046,45.5411,47.2670,63.00,575.00
190,3.000258,2.923260,0.226440,0.229522,0.000976,249.1,24320,0.9866,10022.4434,9.7585,0.4732,0.3423,0.6299,0.5373,0.4710,0.5898,18.9809,18.9809,85.2377,87.0420,40.4303,46.7362,46.3358,46.6744,46.7193,46.4440,63.00,575.00
200,2.932817,2.860368,0.245239,0.248423,0.000970,261.8,25600,0.9872,9949.2432,9.5269,0.5037,0.3230,0.7023,0.5137,0.4351,0.5728,18.9962,18.9962,78.8867,94.6725,39.9484,48.6304,45.2981,46.5908,44.9867,45.9266,63.00,575.00
210,2.897044,2.836970,0.255615,0.258359,0.000964,276.2,26880,0.9894,10140.5449,9.6180,0.5165,0.3713,0.7024,0.4858,0.4067,0.5438,18.9727,18.9727,78.1396,99.6533,40.4088,48.4027,45.6160,46.7419,44.9562,46.7479,63.00,575.00
220,2.876907,2.813295,0.264160,0.267128,0.000957,287.1,28160,0.9889,10090.9951,9.5977,0.5082,0.3588,0.6928,0.4753,0.3892,0.5776,18.9446,18.9446,78.3932,101.2711,39.9034,48.1132,44.6981,47.3482,45.7191,46.3333,63.00,575.00
230,2.854282,2.766860,0.268188,0.272378,0.000950,297.9,29440,0.9846,9675.9141,9.3981,0.5059,0.2954,0.6769,0.5032,0.4172,0.5774,18.7239,18.7239,91.1670,87.4186,46.2507,43.9631,44.9818,46.8013,44.1549,47.6237,63.00,575.00
240,2.829565,2.755152,0.273438,0.276919,0.000942,309.6,30720,0.9874,9788.7852,9.5091,0.4743,0.3237,0.6663,0.5072,0.4146,0.5918,19.2318,19.2318,91.2313,89.8194,43.3798,45.5035,44.5808,47.3840,45.1367,47.2376,63.00,575.00
250,2.793487,2.699606,0.275879,0.280397,0.000934,322.7,32000,0.9839,9785.6328,9.5196,0.4723,0.3431,0.6617,0.5045,0.4063,0.6140,19.3820,19.3820,93.0069,90.4594,43.9844,45.6128,44.9609,46.9107,44.7134,47.3463,63.00,575.00
260,2.678299,2.638855,0.285400,0.287294,0.000925,333.9,33280,0.9934,10050.1602,9.6829,0.4575,0.3323,0.6535,0.4888,0.3839,0.5693,19.6156,19.6156,85.7420,97.8346,39.2852,47.8459,45.6218,46.2592,45.4770,47.0198,63.00,575.00
