step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac,ring_norm,ring_slot_mean,alpha_0_mean,alpha_0_min,alpha_0_max,alpha_1_mean,alpha_1_min,alpha_1_max,input_norm_0,input_norm_1,ring_signal_norm_0,ring_signal_norm_1,blended_norm_0,blended_norm_1,hidden_norm_0,hidden_norm_1,hidden_final_norm_0,hidden_final_norm_1,ptr_pos_0,ptr_pos_1
1,5.602142,5.603192,0.002808,0.002835,0.000010,2.3,128,0.9904,638.5558,0.6217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.6793,52.2862,0.00,0.00
10,5.040984,5.030415,0.179932,0.182493,0.000100,14.2,1280,0.9860,752.5792,0.7153,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.9225,52.7231,0.00,0.00
20,4.951055,4.941227,0.186523,0.188526,0.000200,27.3,2560,0.9894,1061.9830,1.0133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.8411,51.8620,0.00,0.00
30,4.681190,4.661971,0.187988,0.190925,0.000300,40.1,3840,0.9846,1422.1117,1.3572,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.5384,49.7935,0.00,0.00
40,4.360441,4.347779,0.186523,0.187923,0.000400,52.8,5120,0.9926,1858.6893,1.7787,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.8600,49.5225,0.00,0.00
50,4.088145,4.051311,0.192993,0.196324,0.000500,68.1,6400,0.9830,2285.6865,2.2152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.5036,49.5442,0.00,0.00
60,3.806137,3.773385,0.186646,0.188952,0.000600,83.1,7680,0.9878,2738.6213,2.6432,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.1452,49.6121,0.00,0.00
70,3.586935,3.545902,0.188599,0.191095,0.000700,94.8,8960,0.9869,3246.8831,3.1212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.4259,49.2841,0.00,0.00
80,3.412052,3.364321,0.191650,0.194187,0.000800,107.7,10240,0.9869,3600.4661,3.4467,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.0573,48.9682,0.00,0.00
90,3.312082,3.278008,0.185791,0.187392,0.000900,120.8,11520,0.9915,3691.7483,3.5521,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.2227,48.5857,0.00,0.00
