--- OVERNIGHT START 2026-03-22 03:43:36 ---
[  100] eval=14.8% edges=59 q=0.250%/e A=59|F=8|M=10 mag=[25,255] 37s (2.70 step/s)
[  200] eval=16.4% edges=101 q=0.163%/e A=101|F=13|M=14 mag=[21,255] 66s (3.05 step/s)
[  300] eval=17.9% edges=132 q=0.136%/e A=132|F=16|M=21 mag=[21,255] 95s (3.16 step/s)
[  400] eval=17.3% edges=160 q=0.108%/e A=160|F=20|M=22 mag=[21,255] 123s (3.25 step/s)
[  500] eval=17.2% edges=178 q=0.097%/e A=178|F=20|M=26 mag=[16,255] 150s (3.33 step/s)
[  600] eval=19.2% edges=192 q=0.100%/e A=192|F=21|M=29 mag=[7,255] 176s (3.42 step/s)
[  700] eval=18.5% edges=202 q=0.092%/e A=202|F=22|M=29 mag=[7,255] 201s (3.48 step/s)
[  800] eval=18.1% edges=213 q=0.085%/e A=213|F=23|M=29 mag=[7,255] 237s (3.37 step/s)
[  900] eval=19.6% edges=222 q=0.088%/e A=222|F=23|M=29 mag=[6,255] 270s (3.34 step/s)
[ 1000] eval=17.9% edges=227 q=0.079%/e A=227|F=24|M=31 mag=[6,255] 300s (3.33 step/s)
[ 1100] eval=18.4% edges=237 q=0.078%/e A=237|F=25|M=33 mag=[6,255] 329s (3.34 step/s)
[ 1200] eval=18.4% edges=242 q=0.076%/e A=242|F=25|M=33 mag=[6,255] 356s (3.37 step/s)
[ 1300] eval=18.2% edges=248 q=0.073%/e A=248|F=25|M=33 mag=[6,255] 380s (3.42 step/s)
[ 1400] eval=18.0% edges=255 q=0.071%/e A=255|F=25|M=33 mag=[6,255] 405s (3.46 step/s)
[ 1500] eval=17.7% edges=261 q=0.068%/e A=261|F=25|M=34 mag=[6,255] 429s (3.50 step/s)
[ 1600] eval=17.8% edges=262 q=0.068%/e A=262|F=25|M=36 mag=[6,255] 453s (3.53 step/s)
[ 1700] eval=18.1% edges=268 q=0.068%/e A=268|F=25|M=36 mag=[5,255] 478s (3.56 step/s)
[ 1800] eval=18.0% edges=271 q=0.067%/e A=271|F=25|M=36 mag=[5,255] 514s (3.50 step/s)
[ 1900] eval=18.1% edges=274 q=0.066%/e A=274|F=25|M=36 mag=[5,255] 549s (3.46 step/s)
[ 2000] eval=18.0% edges=277 q=0.065%/e A=277|F=25|M=36 mag=[5,255] 581s (3.44 step/s)
[ 2100] eval=18.9% edges=281 q=0.067%/e A=281|F=25|M=36 mag=[5,255] 609s (3.45 step/s)
[ 2200] eval=18.5% edges=287 q=0.064%/e A=287|F=25|M=36 mag=[5,255] 638s (3.45 step/s)
[ 2300] eval=18.4% edges=288 q=0.064%/e A=288|F=25|M=36 mag=[4,255] 666s (3.45 step/s)
[ 2400] eval=18.4% edges=293 q=0.063%/e A=293|F=25|M=36 mag=[4,255] 694s (3.46 step/s)
[ 2500] eval=18.3% edges=295 q=0.062%/e A=295|F=25|M=36 mag=[4,255] 722s (3.46 step/s)
[ 2600] eval=18.2% edges=296 q=0.061%/e A=296|F=25|M=36 mag=[4,255] 750s (3.47 step/s)
[ 2700] eval=18.8% edges=299 q=0.063%/e A=299|F=25|M=36 mag=[4,255] 777s (3.48 step/s)
[ 2800] eval=19.1% edges=303 q=0.063%/e A=303|F=25|M=37 mag=[4,255] 804s (3.48 step/s)
[ 2900] eval=18.7% edges=306 q=0.061%/e A=306|F=25|M=37 mag=[4,255] 831s (3.49 step/s)
[ 3000] eval=18.6% edges=307 q=0.061%/e A=307|F=25|M=37 mag=[4,255] 862s (3.48 step/s)
[ 3100] eval=18.9% edges=311 q=0.061%/e A=311|F=25|M=37 mag=[4,255] 894s (3.47 step/s)
[ 3200] eval=19.0% edges=313 q=0.061%/e A=313|F=25|M=37 mag=[4,255] 927s (3.45 step/s)
[ 3300] eval=18.9% edges=314 q=0.060%/e A=314|F=25|M=37 mag=[4,255] 956s (3.45 step/s)
[ 3400] eval=19.5% edges=315 q=0.062%/e A=315|F=25|M=37 mag=[4,255] 986s (3.45 step/s)
[ 3500] eval=19.4% edges=317 q=0.061%/e A=317|F=25|M=37 mag=[4,255] 1015s (3.45 step/s)
[ 3600] eval=19.4% edges=321 q=0.061%/e A=321|F=25|M=37 mag=[2,255] 1042s (3.45 step/s)
[ 3700] eval=19.1% edges=324 q=0.059%/e A=324|F=25|M=37 mag=[2,255] 1069s (3.46 step/s)
[ 3800] eval=19.3% edges=325 q=0.059%/e A=325|F=25|M=37 mag=[2,255] 1095s (3.47 step/s)
[ 3900] eval=19.5% edges=327 q=0.060%/e A=327|F=25|M=37 mag=[2,255] 1122s (3.48 step/s)
[ 4000] eval=19.8% edges=330 q=0.060%/e A=330|F=25|M=37 mag=[2,255] 1148s (3.48 step/s)
[ 4100] eval=19.9% edges=331 q=0.060%/e A=331|F=25|M=38 mag=[2,255] 1175s (3.49 step/s)
[ 4200] eval=19.8% edges=332 q=0.060%/e A=332|F=25|M=38 mag=[2,255] 1201s (3.50 step/s)
[ 4300] eval=19.8% edges=333 q=0.060%/e A=333|F=25|M=38 mag=[2,255] 1228s (3.50 step/s)
[ 4400] eval=19.8% edges=334 q=0.059%/e A=334|F=25|M=38 mag=[2,255] 1254s (3.51 step/s)
[ 4500] eval=19.8% edges=336 q=0.059%/e A=336|F=25|M=39 mag=[2,255] 1281s (3.51 step/s)
[ 4600] eval=19.8% edges=338 q=0.059%/e A=338|F=25|M=39 mag=[2,255] 1308s (3.52 step/s)
[ 4700] eval=20.4% edges=341 q=0.060%/e A=341|F=25|M=39 mag=[2,255] 1335s (3.52 step/s)
[ 4800] eval=20.5% edges=341 q=0.060%/e A=341|F=25|M=40 mag=[2,255] 1361s (3.53 step/s)
[ 4900] eval=20.7% edges=342 q=0.060%/e A=342|F=25|M=40 mag=[2,255] 1388s (3.53 step/s)
[ 5000] eval=20.6% edges=345 q=0.060%/e A=345|F=25|M=40 mag=[2,255] 1414s (3.54 step/s)
[ 5100] eval=20.6% edges=345 q=0.060%/e A=345|F=25|M=40 mag=[2,255] 1441s (3.54 step/s)
[ 5200] eval=20.6% edges=345 q=0.060%/e A=345|F=25|M=40 mag=[2,255] 1468s (3.54 step/s)
[ 5300] eval=20.5% edges=346 q=0.059%/e A=346|F=25|M=40 mag=[2,255] 1494s (3.55 step/s)
[ 5400] eval=20.7% edges=348 q=0.059%/e A=348|F=25|M=40 mag=[2,255] 1521s (3.55 step/s)
[ 5500] eval=20.7% edges=348 q=0.059%/e A=348|F=25|M=40 mag=[2,255] 1547s (3.55 step/s)
[ 5600] eval=20.5% edges=349 q=0.059%/e A=349|F=25|M=40 mag=[2,255] 1574s (3.56 step/s)
[ 5700] eval=20.5% edges=350 q=0.059%/e A=350|F=25|M=40 mag=[2,255] 1601s (3.56 step/s)
[ 5800] eval=20.5% edges=352 q=0.058%/e A=352|F=25|M=40 mag=[2,255] 1628s (3.56 step/s)
[ 5900] eval=20.4% edges=352 q=0.058%/e A=352|F=26|M=40 mag=[2,255] 1654s (3.57 step/s)
[ 6000] eval=20.3% edges=353 q=0.057%/e A=353|F=26|M=40 mag=[2,255] 1681s (3.57 step/s)
[ 6100] eval=21.3% edges=353 q=0.060%/e A=353|F=26|M=41 mag=[2,255] 1707s (3.57 step/s)
[ 6200] eval=21.2% edges=355 q=0.060%/e A=355|F=26|M=41 mag=[2,255] 1734s (3.58 step/s)
[ 6300] eval=21.2% edges=355 q=0.060%/e A=355|F=26|M=41 mag=[2,255] 1761s (3.58 step/s)
[ 6400] eval=21.1% edges=357 q=0.059%/e A=357|F=26|M=41 mag=[2,255] 1787s (3.58 step/s)
[ 6500] eval=21.2% edges=358 q=0.059%/e A=358|F=26|M=41 mag=[2,255] 1814s (3.58 step/s)
[ 6600] eval=21.3% edges=359 q=0.059%/e A=359|F=26|M=41 mag=[2,255] 1840s (3.59 step/s)
[ 6700] eval=21.2% edges=360 q=0.059%/e A=360|F=26|M=41 mag=[2,255] 1867s (3.59 step/s)
[ 6800] eval=21.5% edges=362 q=0.059%/e A=362|F=26|M=41 mag=[2,255] 1893s (3.59 step/s)
[ 6900] eval=21.5% edges=362 q=0.059%/e A=362|F=26|M=41 mag=[2,255] 1921s (3.59 step/s)
[ 7000] eval=21.4% edges=363 q=0.059%/e A=363|F=26|M=41 mag=[2,255] 1947s (3.59 step/s)
[ 7100] eval=21.4% edges=363 q=0.059%/e A=363|F=26|M=41 mag=[2,255] 1974s (3.60 step/s)
[ 7200] eval=21.3% edges=364 q=0.058%/e A=364|F=26|M=41 mag=[2,255] 2000s (3.60 step/s)
[ 7300] eval=21.3% edges=366 q=0.058%/e A=366|F=26|M=41 mag=[2,255] 2027s (3.60 step/s)
[ 7400] eval=21.3% edges=366 q=0.058%/e A=366|F=26|M=41 mag=[2,255] 2054s (3.60 step/s)
[ 7500] eval=21.5% edges=368 q=0.058%/e A=368|F=26|M=41 mag=[2,255] 2080s (3.61 step/s)
[ 7600] eval=21.5% edges=368 q=0.058%/e A=368|F=26|M=41 mag=[2,255] 2107s (3.61 step/s)
[ 7700] eval=22.1% edges=370 q=0.060%/e A=370|F=26|M=41 mag=[2,255] 2133s (3.61 step/s)
[ 7800] eval=22.0% edges=372 q=0.059%/e A=372|F=26|M=41 mag=[2,255] 2160s (3.61 step/s)
[ 7900] eval=22.1% edges=373 q=0.059%/e A=373|F=26|M=41 mag=[2,255] 2186s (3.61 step/s)
[ 8000] eval=22.1% edges=373 q=0.059%/e A=373|F=26|M=41 mag=[2,255] 2214s (3.61 step/s)
[ 8100] eval=22.1% edges=373 q=0.059%/e A=373|F=26|M=41 mag=[2,255] 2240s (3.62 step/s)
[ 8200] eval=22.1% edges=373 q=0.059%/e A=373|F=26|M=41 mag=[2,255] 2267s (3.62 step/s)
[ 8300] eval=22.3% edges=374 q=0.060%/e A=374|F=26|M=41 mag=[2,255] 2293s (3.62 step/s)
[ 8400] eval=22.4% edges=375 q=0.060%/e A=375|F=26|M=41 mag=[2,255] 2320s (3.62 step/s)
[ 8500] eval=22.4% edges=375 q=0.060%/e A=375|F=26|M=41 mag=[2,255] 2347s (3.62 step/s)
[ 8600] eval=22.5% edges=376 q=0.060%/e A=376|F=26|M=41 mag=[2,255] 2374s (3.62 step/s)
[ 8700] eval=22.5% edges=377 q=0.060%/e A=377|F=26|M=41 mag=[2,255] 2401s (3.62 step/s)
[ 8800] eval=22.4% edges=379 q=0.059%/e A=379|F=26|M=41 mag=[2,255] 2427s (3.63 step/s)
[ 8900] eval=22.4% edges=379 q=0.059%/e A=379|F=26|M=41 mag=[2,255] 2454s (3.63 step/s)
[ 9000] eval=22.4% edges=379 q=0.059%/e A=379|F=26|M=41 mag=[2,255] 2480s (3.63 step/s)
[ 9100] eval=22.4% edges=379 q=0.059%/e A=379|F=26|M=41 mag=[2,255] 2508s (3.63 step/s)
[ 9200] eval=22.4% edges=380 q=0.059%/e A=380|F=26|M=41 mag=[2,255] 2535s (3.63 step/s)
[ 9300] eval=22.4% edges=382 q=0.059%/e A=382|F=26|M=41 mag=[2,255] 2561s (3.63 step/s)
[ 9400] eval=22.4% edges=382 q=0.059%/e A=382|F=26|M=41 mag=[2,255] 2588s (3.63 step/s)
[ 9500] eval=22.3% edges=384 q=0.058%/e A=384|F=26|M=41 mag=[2,255] 2614s (3.63 step/s)
[ 9600] eval=22.4% edges=384 q=0.058%/e A=384|F=26|M=42 mag=[2,255] 2641s (3.63 step/s)
[ 9700] eval=22.4% edges=385 q=0.058%/e A=385|F=26|M=42 mag=[2,255] 2668s (3.64 step/s)
[ 9800] eval=22.5% edges=386 q=0.058%/e A=386|F=26|M=42 mag=[2,255] 2694s (3.64 step/s)
[ 9900] eval=22.5% edges=386 q=0.058%/e A=386|F=26|M=42 mag=[2,255] 2721s (3.64 step/s)
[10000] eval=22.5% edges=387 q=0.058%/e A=387|F=26|M=42 mag=[2,255] 2747s (3.64 step/s)
