run_root,family,comparison_group,golden_status,repo_head,train_log_path,ckpt_path,final_step,elapsed_s,sec_per_step,samples_seen,final_mask_frac,best_raw_loss,best_masked_loss,final_raw_loss,final_masked_loss,best_accuracy,best_masked_acc,final_accuracy,final_masked_acc,final_alpha_0_mean,final_ring_norm,final_ring_slot_mean,final_ptr_pos_0,params_total,checkpoint_best_loss,checkpoint_step,checkpoint_timestamp_utc,hidden_dim,slot_dim,M,N,R,embed_encoding,output_encoding,pointer_mode,write_mode,replace_impl,min_write_strength,mtaps_enabled,mtaps_mixer_mode,bb_enabled,notes
ab_cpu_bitlift,cpu_ab,cpu_embed_ab,golden,57981cbb4096db772edd9d78c235d7e050668661,training_output/ab_cpu_bitlift/train_log.csv,training_output/ab_cpu_bitlift/ckpt_latest.pt,120,74.5000,0.6208,240,1.000000,2.948056,2.948056,2.948056,2.948056,0.218750,0.224138,0.195312,0.195312,0.758800,268.641200,16.790000,127.00,3672902,2.723226,120,2026-03-09T03:32:25.996146+00:00,6144,256,128,1,1,bitlift,lowrank_c19,sequential,replace,dense,0.002,False,current,False,
ab_cpu_learned,cpu_ab,cpu_embed_ab,golden,57981cbb4096db772edd9d78c235d7e050668661,training_output/ab_cpu_learned/train_log.csv,training_output/ab_cpu_learned/ckpt_latest.pt,120,72.9000,0.6075,240,1.000000,2.748368,2.748368,2.748368,2.748368,0.320312,0.353448,0.289062,0.289062,0.485500,1115.845300,69.666000,127.00,5190470,2.578349,120,2026-03-09T03:33:39.038583+00:00,6144,256,128,1,1,learned,lowrank_c19,sequential,replace,dense,0.002,False,current,False,
ab_cpu_current_pilot,cpu_ab,cpu_pointer_ab,golden,57981cbb4096db772edd9d78c235d7e050668661,training_output/ab_cpu_current_pilot/train_log.csv,training_output/ab_cpu_current_pilot/ckpt_latest.pt,120,104.5000,0.8708,240,1.000000,3.059728,3.059728,3.059728,3.059728,0.242188,0.242188,0.226562,0.226562,0.584600,296.243900,18.437400,118.49,3873639,2.844055,120,2026-03-09T03:26:08.405412+00:00,6144,256,128,1,1,bitlift,lowrank_c19,pilot,replace,dense,0.002,False,current,False,
ab_cpu_current_seq,cpu_ab,cpu_pointer_ab,golden,57981cbb4096db772edd9d78c235d7e050668661,training_output/ab_cpu_current_seq/train_log.csv,training_output/ab_cpu_current_seq/ckpt_latest.pt,120,100.3000,0.8358,240,1.000000,2.948056,2.948056,2.948056,2.948056,0.218750,0.224138,0.195312,0.195312,0.758800,268.641200,16.790000,127.00,3672902,2.723226,120,2026-03-09T03:24:23.701057+00:00,6144,256,128,1,1,bitlift,lowrank_c19,sequential,replace,dense,0.002,False,current,False,
long_run_configC,long_run,long_run_configC,golden,57981cbb4096db772edd9d78c235d7e050668661,training_output/long_run_configC/train_log.csv,training_output/long_run_configC/ckpt_latest.pt,15400,772.4000,0.0502,985600,0.980800,1.585842,1.442695,1.845355,1.510803,0.578552,0.584690,0.554871,0.565748,0.192800,2706.024700,29.897200,127.00,3672902,1.421865,15000,2026-03-08T17:54:12.795888+00:00,6144,256,128,1,1,bitlift,lowrank_c19,sequential,replace,dense,,False,current,False,
needle_N1,needle,needle_expert_count,golden,57981cbb4096db772edd9d78c235d7e050668661,training_output/needle_N1/train_log.csv,training_output/needle_N1/ckpt_latest.pt,1000,267.6000,0.2676,512000,0.990800,2.157038,2.081196,2.157038,2.081196,0.410767,0.414562,0.410767,0.414562,0.214500,10500.822300,28.851700,127.00,1405766,2.046575,1000,2026-03-07T18:25:32.781905+00:00,4096,128,256,1,1,bitlift,lowrank_c19,sequential,replace,dense,,False,,False,
needle_N2,needle,needle_expert_count,golden,57981cbb4096db772edd9d78c235d7e050668661,training_output/needle_N2/train_log.csv,training_output/needle_N2/ckpt_latest.pt,400,201.5000,0.5038,102400,0.987200,2.744627,2.607425,2.752976,2.651884,0.297974,0.304972,0.292603,0.296402,0.473900,2367.194100,9.221500,255.00,1405766,2.534649,400,2026-03-07T18:29:09.894742+00:00,4096,128,256,1,1,bitlift,lowrank_c19,sequential,replace,dense,,False,,False,
needle_maxjump64,needle,needle_pointer_memory,golden,57981cbb4096db772edd9d78c235d7e050668661,training_output/needle_maxjump64/train_log.csv,training_output/needle_maxjump64/ckpt_latest.pt,1000,341.2000,0.3412,512000,0.990800,2.075917,1.962204,2.075917,1.973997,0.437500,0.444831,0.433105,0.437107,0.205200,7592.233400,28.872900,54.50,1540839,1.933659,1000,2026-03-07T20:44:39.118740+00:00,4096,128,128,1,1,bitlift,lowrank_c19,pilot,replace,dense,,False,current,False,
needle_pilot_m1024,needle,needle_pointer_memory,golden,57981cbb4096db772edd9d78c235d7e050668661,training_output/needle_pilot_m1024/train_log.csv,training_output/needle_pilot_m1024/ckpt_latest.pt,1000,263.3000,0.2633,512000,0.990800,2.192629,2.089193,2.192629,2.090148,0.402466,0.408449,0.400391,0.404090,0.715700,1708.360700,1.522200,359.84,1570407,2.037564,1000,2026-03-07T19:56:18.522230+00:00,4096,128,1024,1,1,bitlift,lowrank_c19,pilot,replace,dense,,False,,False,
needle_pilot_m128,needle,needle_pointer_memory,golden,57981cbb4096db772edd9d78c235d7e050668661,training_output/needle_pilot_m128/train_log.csv,training_output/needle_pilot_m128/ckpt_latest.pt,1000,292.4000,0.2924,512000,0.990800,2.075934,1.966965,2.075934,1.966965,0.438599,0.443602,0.438599,0.442651,0.207500,6622.323200,25.253700,49.35,1540839,1.940959,1000,2026-03-07T19:46:34.396218+00:00,4096,128,128,1,1,bitlift,lowrank_c19,pilot,replace,dense,,False,,False,
