step,loss,acc,lr,elapsed_s
1,5.601042,0.0000,0.000010,0.5
10,5.542272,0.0027,0.000100,5.3
20,5.533813,0.0077,0.000200,10.5
30,5.551465,0.0108,0.000300,15.9
40,5.598281,0.0060,0.000400,21.0
50,5.443763,0.0263,0.000500,26.2
60,5.588406,0.0040,0.000600,31.3
70,5.409451,0.0246,0.000700,36.7
80,5.542779,0.0050,0.000800,41.8
90,5.109597,0.0302,0.000900,47.2
100,5.605459,0.0032,0.001000,52.5
110,5.149511,0.0242,0.001000,57.9
120,5.318599,0.0194,0.001000,63.2
130,4.968904,0.0307,0.001000,68.6
140,5.570404,0.0063,0.001000,73.8
150,5.557287,0.0085,0.001000,78.9
160,5.554790,0.0034,0.001000,84.2
170,5.540973,0.0082,0.001000,89.5
180,5.546154,0.0063,0.001000,94.7
190,5.207790,0.0453,0.001000,99.9
200,4.617783,0.1551,0.001000,105.1
210,4.870050,0.1562,0.001000,110.2
220,4.644608,0.2120,0.001000,115.1
230,5.073094,0.0476,0.001000,120.4
240,4.331796,0.2908,0.001000,125.5
250,5.550677,0.0032,0.001000,130.5
260,4.739870,0.2202,0.001000,135.6
270,5.551419,0.0031,0.001000,140.6
280,5.564996,0.0031,0.001000,145.7
290,5.550000,0.0146,0.001000,150.8
300,5.566670,0.0032,0.001000,155.8
310,4.182985,0.3290,0.001000,160.7
320,5.574467,0.0074,0.001000,165.8
330,5.570995,0.0026,0.001000,170.9
340,5.557043,0.0028,0.001000,176.1
350,4.939991,0.1380,0.001000,181.3
360,4.847143,0.1579,0.001000,186.6
370,5.041306,0.1094,0.001000,191.7
380,4.962491,0.1304,0.001000,196.9
390,5.119340,0.1034,0.001000,202.0
400,4.503858,0.2500,0.001000,207.2
410,4.893378,0.1369,0.001000,212.3
420,4.973023,0.1200,0.001000,217.6
430,4.842253,0.1398,0.001000,222.8
440,4.249409,0.2656,0.001000,227.8
450,5.552938,0.0027,0.001000,232.9
460,5.560007,0.0057,0.001000,238.0
470,5.541989,0.0000,0.001000,243.0
480,4.054831,0.3006,0.001000,248.1
490,4.336695,0.2284,0.001000,253.3
500,5.563882,0.0000,0.001000,258.6
510,5.541793,0.0060,0.001000,263.8
520,4.790398,0.1506,0.001000,268.7
530,4.356791,0.2384,0.001000,273.8
540,4.330385,0.2452,0.001000,279.0
550,4.745254,0.1569,0.001000,284.0
560,5.552713,0.0060,0.001000,289.1
570,4.592922,0.1838,0.001000,294.2
580,5.572255,0.0033,0.001000,299.7
590,4.201280,0.2649,0.001000,304.7
600,4.896083,0.1226,0.001000,309.7
610,5.563398,0.0000,0.001000,314.8
620,5.546055,0.0101,0.001000,319.8
630,4.801277,0.1440,0.001000,324.9
640,3.428228,0.3802,0.001000,330.0
650,5.547078,0.0074,0.001000,335.1
660,5.555417,0.0088,0.001000,340.1
670,4.812893,0.1398,0.001000,345.2
680,5.554158,0.0060,0.001000,350.3
690,5.548864,0.0030,0.001000,355.4
700,4.271008,0.2415,0.001000,360.8
710,5.550623,0.0000,0.001000,366.5
720,4.818606,0.1365,0.001000,371.7
730,3.642354,0.3424,0.001000,377.1
740,4.827574,0.1354,0.001000,382.1
750,4.529356,0.1875,0.001000,387.1
760,5.575021,0.0029,0.001000,392.1
770,5.567375,0.0155,0.001000,397.2
780,3.890856,0.3065,0.001000,402.3
790,4.734933,0.1466,0.001000,407.2
800,3.155107,0.4460,0.001000,412.2
810,4.910914,0.1156,0.001000,417.3
820,5.554200,0.0099,0.001000,422.3
830,4.468125,0.1969,0.001000,427.4
840,5.558229,0.0025,0.001000,432.3
850,4.755537,0.1552,0.001000,437.4
860,5.557930,0.0063,0.001000,442.5
870,4.875545,0.1189,0.001000,447.5
880,5.555310,0.0027,0.001000,452.7
890,5.574819,0.0053,0.001000,457.7
900,4.746034,0.1485,0.001000,462.7
910,5.576168,0.0000,0.001000,467.8
920,4.869544,0.1320,0.001000,473.0
930,3.745001,0.3312,0.001000,478.0
940,4.620478,0.1645,0.001000,482.9
950,5.556765,0.0000,0.001000,488.4
960,5.549151,0.0028,0.001000,493.5
970,4.036161,0.2737,0.001000,498.7
980,4.071015,0.2630,0.001000,503.9
990,5.579456,0.0000,0.001000,509.0
1000,4.904257,0.1227,0.001000,514.1
