step,loss,acc,lr,elapsed_s
1,5.602017,0.0000,0.000010,0.5
10,5.567640,0.0054,0.000100,5.0
20,5.531226,0.0026,0.000200,10.1
30,5.565287,0.0054,0.000300,15.2
40,5.593144,0.0060,0.000400,20.2
50,5.461537,0.0164,0.000500,25.3
60,5.582992,0.0000,0.000600,30.4
70,5.408834,0.0211,0.000700,35.3
80,5.554066,0.0025,0.000800,40.4
90,5.154624,0.0302,0.000900,45.6
100,5.575455,0.0063,0.001000,50.6
110,5.159115,0.0314,0.001000,55.8
120,5.308820,0.0242,0.001000,61.1
130,4.985973,0.0460,0.001000,66.2
140,5.561110,0.0000,0.001000,71.4
150,5.568096,0.0028,0.001000,76.3
160,5.570566,0.0000,0.001000,81.3
170,5.545525,0.0027,0.001000,86.3
180,5.542676,0.0032,0.001000,91.3
190,5.231761,0.0427,0.001000,96.4
200,4.651810,0.1181,0.001000,101.9
210,4.906285,0.1250,0.001000,107.3
220,4.678737,0.1266,0.001000,112.3
230,5.087358,0.0476,0.001000,117.4
240,4.409602,0.2283,0.001000,122.5
250,5.546898,0.0064,0.001000,127.6
260,4.785090,0.1762,0.001000,132.6
270,5.563179,0.0000,0.001000,137.9
280,5.562674,0.0031,0.001000,143.1
290,5.557581,0.0073,0.001000,148.3
300,5.556903,0.0096,0.001000,153.3
310,4.175283,0.3523,0.001000,158.5
320,5.561723,0.0000,0.001000,163.7
330,5.561734,0.0000,0.001000,169.2
340,5.555460,0.0028,0.001000,174.4
350,4.949083,0.1380,0.001000,179.5
360,4.855061,0.1579,0.001000,184.7
370,5.103520,0.1368,0.001000,189.9
380,4.972020,0.1304,0.001000,195.0
390,5.109307,0.1013,0.001000,200.1
400,4.515303,0.2284,0.001000,205.4
410,4.893354,0.1399,0.001000,210.6
420,4.998329,0.1200,0.001000,215.6
430,4.817562,0.1429,0.001000,220.9
440,4.261251,0.2656,0.001000,226.1
450,5.564336,0.0027,0.001000,231.6
460,5.565134,0.0029,0.001000,237.1
470,5.534913,0.0093,0.001000,242.1
480,4.089227,0.2887,0.001000,247.0
490,4.359020,0.2212,0.001000,252.1
500,5.577322,0.0110,0.001000,257.0
510,5.550329,0.0000,0.001000,262.1
520,4.826793,0.1392,0.001000,267.0
530,4.372726,0.2407,0.001000,272.0
540,4.289855,0.2380,0.001000,276.9
550,4.753672,0.1538,0.001000,282.0
560,5.550386,0.0000,0.001000,287.0
570,4.579582,0.1838,0.001000,292.0
580,5.549633,0.0033,0.001000,297.1
590,4.187700,0.2519,0.001000,302.3
600,4.887604,0.1226,0.001000,307.3
610,5.558162,0.0023,0.001000,312.3
620,5.540494,0.0050,0.001000,317.4
630,4.792497,0.1440,0.001000,322.4
640,3.415638,0.3750,0.001000,327.5
650,5.557583,0.0000,0.001000,332.5
660,5.576637,0.0000,0.001000,337.5
670,4.799650,0.1317,0.001000,342.5
680,5.551328,0.0000,0.001000,347.5
690,5.551210,0.0060,0.001000,352.6
700,4.235789,0.2536,0.001000,357.7
710,5.564705,0.0066,0.001000,363.2
720,4.817312,0.1312,0.001000,368.6
730,3.628396,0.3560,0.001000,373.5
740,4.808630,0.1354,0.001000,378.6
750,4.501035,0.2096,0.001000,383.9
760,5.538321,0.0000,0.001000,389.0
770,5.565999,0.0000,0.001000,394.1
780,3.879857,0.3125,0.001000,399.2
790,4.731416,0.1349,0.001000,404.2
800,3.144592,0.4375,0.001000,409.2
810,4.911388,0.1179,0.001000,414.2
820,5.545801,0.0066,0.001000,419.3
830,4.463656,0.1969,0.001000,424.4
840,5.551583,0.0050,0.001000,429.5
850,4.768106,0.1466,0.001000,434.5
860,5.547993,0.0063,0.001000,439.5
870,4.891829,0.1212,0.001000,444.5
880,5.547298,0.0027,0.001000,449.7
890,5.559008,0.0027,0.001000,454.7
900,4.749094,0.1429,0.001000,459.9
910,5.566906,0.0041,0.001000,465.1
920,4.874004,0.1222,0.001000,470.4
930,3.729025,0.3312,0.001000,475.7
940,4.625482,0.1711,0.001000,480.9
950,5.548463,0.0000,0.001000,486.2
960,5.572135,0.0028,0.001000,491.9
970,4.046267,0.2737,0.001000,497.2
980,4.093398,0.2604,0.001000,502.8
990,5.567253,0.0000,0.001000,507.9
1000,4.899822,0.1181,0.001000,512.9
