step,loss,acc,bpc,lr,gnorm,elapsed_s
1,5.549722,0.0017,8.0066,0.000020,1.7376,4.6
10,5.377125,0.0093,7.7576,0.000200,1.5778,29.5
20,4.949124,0.1719,7.1401,0.000400,1.6586,57.3
30,4.575139,0.1556,6.6005,0.000600,1.8200,85.0
40,4.017725,0.1494,5.7964,0.000800,1.5736,112.3
50,3.579903,0.2223,5.1647,0.001000,1.2285,139.9
60,3.261473,0.2173,4.7053,0.001000,0.8220,169.1
70,3.033805,0.2375,4.3769,0.001000,0.5351,198.6
80,2.941896,0.2635,4.2443,0.001000,0.4030,227.9
90,2.825240,0.2770,4.0760,0.001000,0.3564,256.6
100,2.819611,0.2850,4.0678,0.001000,0.3042,285.7
110,2.684911,0.3077,3.8735,0.001000,0.3079,314.8
120,2.623344,0.3140,3.7847,0.001000,0.2815,344.6
130,2.575408,0.3162,3.7155,0.001000,0.2615,374.0
140,2.505171,0.3368,3.6142,0.001000,0.3160,403.8
150,2.504247,0.3225,3.6129,0.001000,0.2445,433.7
160,2.448050,0.3387,3.5318,0.001000,0.2590,462.7
170,2.396068,0.3471,3.4568,0.001000,0.2262,491.9
180,2.372729,0.3498,3.4231,0.001000,0.2603,521.5
190,2.354071,0.3572,3.3962,0.001000,0.2504,550.2
200,2.336192,0.3579,3.3704,0.001000,0.2929,579.6
210,2.323697,0.3638,3.3524,0.001000,0.2531,608.3
220,2.354707,0.3638,3.3971,0.001000,0.2094,637.4
230,2.287719,0.3717,3.3005,0.001000,0.2160,667.5
240,2.238492,0.3880,3.2295,0.001000,0.2585,698.4
250,2.236919,0.3849,3.2272,0.001000,0.2616,728.7
260,2.214726,0.3830,3.1952,0.001000,0.2716,758.5
270,2.190800,0.3909,3.1607,0.001000,0.2512,788.5
280,2.249991,0.3885,3.2461,0.001000,0.2274,817.9
290,2.214074,0.3866,3.1942,0.001000,0.3139,848.1
300,2.179851,0.3988,3.1449,0.001000,0.2515,877.6
310,2.179809,0.4030,3.1448,0.001000,0.2014,908.2
320,2.136292,0.4010,3.0820,0.001000,0.2774,937.6
330,2.206637,0.4005,3.1835,0.001000,0.2630,968.0
340,2.205328,0.4038,3.1816,0.001000,0.3005,997.1
350,2.153857,0.4018,3.1074,0.001000,0.2498,1025.8
360,2.133354,0.4086,3.0778,0.001000,0.2980,1054.7
370,2.117063,0.4054,3.0543,0.001000,0.2782,1082.8
380,2.115893,0.4085,3.0526,0.001000,0.2823,1111.3
390,2.166099,0.4057,3.1250,0.001000,0.3122,1140.1
400,2.073244,0.4237,2.9911,0.001000,0.2847,1168.1
410,2.083356,0.4208,3.0056,0.001000,0.3377,1196.7
420,2.102444,0.4096,3.0332,0.001000,0.2900,1226.7
430,2.060853,0.4242,2.9732,0.001000,0.2927,1256.8
440,2.039582,0.4261,2.9425,0.001000,0.2602,1287.6
450,2.010031,0.4372,2.8999,0.001000,0.3345,1316.2
460,2.018574,0.4275,2.9122,0.001000,0.2776,1345.6
470,2.031947,0.4261,2.9315,0.001000,0.3000,1375.5
480,2.021698,0.4319,2.9167,0.001000,0.2921,1404.2
490,2.083671,0.4191,3.0061,0.001000,0.3297,1432.5
500,2.033660,0.4313,2.9340,0.001000,0.2783,1460.7
510,2.016518,0.4270,2.9092,0.001000,0.2929,1488.8
520,2.002202,0.4324,2.8886,0.001000,0.2927,1517.1
530,2.006392,0.4394,2.8946,0.001000,0.3314,1545.5
540,2.019387,0.4338,2.9134,0.001000,0.4057,1575.5
550,1.965109,0.4475,2.8351,0.001000,0.3297,1605.9
560,2.006930,0.4273,2.8954,0.001000,0.3143,1635.6
570,1.969791,0.4410,2.8418,0.001000,0.3295,1667.5
580,2.007645,0.4228,2.8964,0.001000,0.3630,1700.8
590,1.985999,0.4482,2.8652,0.001000,0.3117,1732.1
600,1.967808,0.4430,2.8389,0.001000,0.3178,1762.1
610,1.924082,0.4556,2.7759,0.001000,0.2846,1791.6
620,1.977575,0.4538,2.8530,0.001000,0.3252,1821.2
630,1.964820,0.4558,2.8346,0.001000,0.2845,1851.6
640,1.982154,0.4461,2.8596,0.001000,0.3507,1880.8
650,1.944006,0.4512,2.8046,0.001000,0.2975,1910.9
660,1.949061,0.4563,2.8119,0.001000,0.3969,1941.4
670,1.919899,0.4700,2.7698,0.001000,0.3101,1971.6
680,1.961126,0.4483,2.8293,0.001000,0.3647,2000.5
690,1.961995,0.4507,2.8306,0.001000,0.3550,2028.7
700,1.940088,0.4633,2.7990,0.001000,0.2777,2057.5
710,1.926925,0.4571,2.7800,0.001000,0.2936,2086.4
720,1.966783,0.4435,2.8375,0.001000,0.3767,2115.5
730,1.905412,0.4590,2.7489,0.001000,0.2895,2144.6
740,1.917284,0.4611,2.7661,0.001000,0.3523,2173.5
750,1.908182,0.4634,2.7529,0.001000,0.2997,2202.8
760,1.898878,0.4666,2.7395,0.001000,0.3906,2231.1
770,1.937037,0.4638,2.7946,0.001000,0.3004,2261.4
780,1.899686,0.4647,2.7407,0.001000,0.3250,2291.2
790,1.927701,0.4566,2.7811,0.001000,0.3668,2321.2
800,1.916790,0.4535,2.7653,0.001000,0.3159,2350.9
810,1.895901,0.4574,2.7352,0.001000,0.3217,2380.3
820,1.850236,0.4803,2.6693,0.001000,0.3179,2409.5
830,1.902091,0.4624,2.7441,0.001000,0.4633,2439.8
840,1.901383,0.4561,2.7431,0.001000,0.3568,2470.0
