step,loss,acc,bpc,lr,gnorm,elapsed_s
1,5.639796,0.0019,8.1365,0.000020,1.7951,3.4
10,5.484532,0.0104,7.9125,0.000200,1.6730,29.3
20,5.068000,0.1785,7.3116,0.000400,1.6355,56.2
30,4.511653,0.1893,6.5089,0.000600,1.5791,82.7
40,4.006559,0.1898,5.7802,0.000800,1.5542,109.4
50,3.539770,0.1906,5.1068,0.001000,1.0087,136.0
60,3.246682,0.1887,4.6840,0.001000,0.5842,163.1
70,3.059533,0.2049,4.4140,0.001000,0.4278,189.9
80,3.001457,0.2421,4.3302,0.001000,0.3625,217.4
90,2.903476,0.2627,4.1888,0.001000,0.3805,244.2
100,2.906415,0.2606,4.1931,0.001000,0.3361,271.2
110,2.773321,0.2871,4.0011,0.001000,0.2988,297.9
120,2.707986,0.2844,3.9068,0.001000,0.2780,324.7
130,2.668329,0.2838,3.8496,0.001000,0.2657,352.0
140,2.603055,0.3151,3.7554,0.001000,0.2893,379.6
150,2.592064,0.3022,3.7396,0.001000,0.2827,407.7
160,2.531202,0.3205,3.6518,0.001000,0.2411,434.7
170,2.481108,0.3263,3.5795,0.001000,0.2488,461.4
180,2.452830,0.3301,3.5387,0.001000,0.2460,488.4
190,2.442949,0.3384,3.5244,0.001000,0.2150,515.2
200,2.430783,0.3387,3.5069,0.001000,0.2348,543.6
210,2.403383,0.3442,3.4673,0.001000,0.2159,571.6
220,2.426481,0.3426,3.5007,0.001000,0.2011,599.5
230,2.371215,0.3542,3.4209,0.001000,0.2091,626.2
240,2.309361,0.3718,3.3317,0.001000,0.2135,652.7
250,2.309348,0.3646,3.3317,0.001000,0.2112,679.5
260,2.283348,0.3593,3.2942,0.001000,0.2323,706.1
270,2.270011,0.3700,3.2749,0.001000,0.1915,732.7
280,2.323159,0.3627,3.3516,0.001000,0.2064,759.4
290,2.289337,0.3698,3.3028,0.001000,0.2159,786.2
300,2.249515,0.3765,3.2454,0.001000,0.2721,813.1
310,2.246211,0.3820,3.2406,0.001000,0.2197,840.0
320,2.197868,0.3831,3.1709,0.001000,0.2125,867.0
330,2.272955,0.3821,3.2792,0.001000,0.2268,893.6
340,2.265340,0.3845,3.2682,0.001000,0.2026,920.3
350,2.222108,0.3840,3.2058,0.001000,0.2536,947.4
360,2.198624,0.3934,3.1719,0.001000,0.2070,974.1
370,2.177468,0.3953,3.1414,0.001000,0.2018,1000.4
380,2.180992,0.3927,3.1465,0.001000,0.2519,1026.6
390,2.222219,0.3884,3.2060,0.001000,0.2566,1053.3
400,2.131137,0.4030,3.0746,0.001000,0.2275,1079.8
410,2.144360,0.4074,3.0937,0.001000,0.2260,1106.3
420,2.155258,0.3935,3.1094,0.001000,0.2713,1133.0
430,2.118894,0.4115,3.0569,0.001000,0.2215,1159.9
440,2.107331,0.4132,3.0402,0.001000,0.2282,1186.5
450,2.074660,0.4153,2.9931,0.001000,0.2291,1213.1
460,2.080232,0.4111,3.0011,0.001000,0.2355,1239.4
470,2.085117,0.4164,3.0082,0.001000,0.2138,1265.8
480,2.077608,0.4121,2.9974,0.001000,0.2298,1292.3
490,2.141991,0.4065,3.0902,0.001000,0.2499,1319.2
500,2.090140,0.4160,3.0154,0.001000,0.2659,1345.6
