step,loss,acc,bpc,lr,gnorm,elapsed_s
1,5.639799,0.0019,8.1365,0.000020,1.7952,2.5
10,5.484661,0.0108,7.9127,0.000200,1.6749,27.3
20,5.067388,0.1792,7.3107,0.000400,1.6470,55.3
30,4.511609,0.1894,6.5089,0.000600,1.5777,82.9
40,4.006504,0.1898,5.7802,0.000800,1.5543,110.3
50,3.538962,0.1906,5.1056,0.001000,1.0070,138.0
60,3.246501,0.1888,4.6837,0.001000,0.5839,165.4
70,3.058682,0.2039,4.4127,0.001000,0.4307,192.5
80,3.000710,0.2420,4.3291,0.001000,0.3636,220.4
90,2.906467,0.2615,4.1931,0.001000,0.3843,247.6
100,2.908848,0.2615,4.1966,0.001000,0.3296,274.7
110,2.774121,0.2859,4.0022,0.001000,0.3132,302.0
120,2.708303,0.2821,3.9073,0.001000,0.2838,329.1
130,2.667265,0.2867,3.8480,0.001000,0.2583,356.7
140,2.603544,0.3115,3.7561,0.001000,0.3004,383.9
150,2.591165,0.3024,3.7383,0.001000,0.2377,411.6
160,2.531859,0.3212,3.6527,0.001000,0.2345,439.6
170,2.481823,0.3282,3.5805,0.001000,0.2118,466.9
180,2.452083,0.3325,3.5376,0.001000,0.2403,494.7
190,2.443146,0.3413,3.5247,0.001000,0.2091,522.3
200,2.430110,0.3388,3.5059,0.001000,0.2137,549.9
210,2.402330,0.3482,3.4658,0.001000,0.2040,577.7
220,2.427066,0.3419,3.5015,0.001000,0.1798,605.7
230,2.371138,0.3519,3.4208,0.001000,0.2071,633.4
240,2.309680,0.3704,3.3322,0.001000,0.2017,660.9
250,2.308708,0.3634,3.3308,0.001000,0.2032,688.2
260,2.284199,0.3605,3.2954,0.001000,0.2254,716.1
270,2.269640,0.3692,3.2744,0.001000,0.1893,744.1
280,2.322018,0.3641,3.3500,0.001000,0.2004,771.2
290,2.286274,0.3688,3.2984,0.001000,0.2437,798.4
300,2.249018,0.3787,3.2446,0.001000,0.2343,825.8
310,2.245515,0.3805,3.2396,0.001000,0.2068,853.3
320,2.198206,0.3826,3.1713,0.001000,0.2041,880.8
330,2.276221,0.3805,3.2839,0.001000,0.2003,908.3
340,2.268377,0.3851,3.2726,0.001000,0.2050,935.8
350,2.223390,0.3816,3.2077,0.001000,0.2628,963.3
360,2.200051,0.3924,3.1740,0.001000,0.2052,991.1
370,2.181041,0.3932,3.1466,0.001000,0.2153,1018.5
380,2.183093,0.3918,3.1495,0.001000,0.2234,1045.9
390,2.223186,0.3871,3.2074,0.001000,0.2327,1073.4
400,2.131800,0.4010,3.0755,0.001000,0.2132,1100.6
410,2.148396,0.4061,3.0995,0.001000,0.2268,1128.7
420,2.156569,0.3939,3.1113,0.001000,0.2579,1156.2
430,2.120349,0.4105,3.0590,0.001000,0.2134,1184.8
440,2.110230,0.4103,3.0444,0.001000,0.2370,1215.6
450,2.075110,0.4143,2.9938,0.001000,0.2080,1244.7
460,2.083817,0.4078,3.0063,0.001000,0.2330,1272.5
470,2.087034,0.4156,3.0110,0.001000,0.2119,1301.1
480,2.077767,0.4143,2.9976,0.001000,0.2285,1329.3
490,2.145478,0.4088,3.0953,0.001000,0.2331,1357.2
500,2.090924,0.4160,3.0166,0.001000,0.2760,1385.9
