step,loss,acc,bpc,lr,gnorm,elapsed_s
1,5.508946,0.0083,7.9477,0.000020,1.8077,1.6
10,5.296274,0.0552,7.6409,0.000200,1.8070,18.1
20,4.801620,0.1898,6.9273,0.000400,1.7694,36.6
30,4.484699,0.1920,6.4701,0.000600,1.9060,54.6
40,3.965586,0.1986,5.7211,0.000800,1.5153,72.8
50,3.541909,0.2100,5.1099,0.001000,1.0236,90.8
60,3.245492,0.2074,4.6823,0.001000,0.6545,110.0
70,3.028529,0.2339,4.3692,0.001000,0.5160,130.0
80,2.928256,0.2538,4.2246,0.001000,0.3980,147.9
90,2.815402,0.2778,4.0618,0.001000,0.3997,166.2
100,2.805346,0.2883,4.0473,0.001000,0.3172,184.3
110,2.668300,0.3100,3.8495,0.001000,0.3128,202.4
120,2.608446,0.3119,3.7632,0.001000,0.3260,220.8
130,2.558295,0.3185,3.6908,0.001000,0.2596,239.0
140,2.492003,0.3471,3.5952,0.001000,0.2972,257.5
150,2.480765,0.3341,3.5790,0.001000,0.2807,275.7
160,2.417023,0.3531,3.4870,0.001000,0.2771,294.3
170,2.363228,0.3566,3.4094,0.001000,0.2833,312.5
180,2.341518,0.3616,3.3781,0.001000,0.2943,330.9
190,2.331858,0.3662,3.3642,0.001000,0.3179,349.1
200,2.306300,0.3713,3.3273,0.001000,0.2885,367.2
210,2.291011,0.3768,3.3052,0.001000,0.2586,385.4
220,2.325076,0.3707,3.3544,0.001000,0.2542,404.2
230,2.259638,0.3822,3.2600,0.001000,0.2875,422.4
240,2.200541,0.3977,3.1747,0.001000,0.2641,440.7
250,2.204054,0.3964,3.1798,0.001000,0.2607,458.8
260,2.175834,0.3918,3.1391,0.001000,0.3649,476.8
270,2.166063,0.3975,3.1250,0.001000,0.2908,494.8
280,2.225463,0.3963,3.2107,0.001000,0.2930,512.8
290,2.178657,0.3969,3.1431,0.001000,0.3442,531.0
300,2.152112,0.4043,3.1048,0.001000,0.4281,549.1
310,2.144842,0.4126,3.0944,0.001000,0.2635,566.9
320,2.109773,0.4061,3.0438,0.001000,0.2907,585.1
330,2.165463,0.4083,3.1241,0.001000,0.2975,603.3
340,2.164880,0.4138,3.1233,0.001000,0.3532,622.0
350,2.113374,0.4104,3.0490,0.001000,0.3351,640.1
360,2.094116,0.4215,3.0212,0.001000,0.3047,658.2
370,2.081023,0.4187,3.0023,0.001000,0.4523,676.3
380,2.079005,0.4211,2.9994,0.001000,0.2908,694.3
390,2.132826,0.4122,3.0770,0.001000,0.3375,712.5
400,2.030198,0.4317,2.9290,0.001000,0.3590,731.1
410,2.039730,0.4275,2.9427,0.001000,0.3752,750.0
420,2.065504,0.4190,2.9799,0.001000,0.3752,768.6
430,2.011054,0.4364,2.9013,0.001000,0.3182,787.2
440,2.001176,0.4355,2.8871,0.001000,0.3113,805.5
450,1.980136,0.4440,2.8567,0.001000,0.3452,824.0
460,1.979177,0.4419,2.8553,0.001000,0.3503,842.7
470,1.997224,0.4373,2.8814,0.001000,0.3528,861.2
480,1.977504,0.4482,2.8529,0.001000,0.4144,879.5
490,2.033977,0.4355,2.9344,0.001000,0.3869,897.9
500,2.000675,0.4403,2.8864,0.001000,0.3498,916.7
