step,loss,acc,bpc,lr,gnorm,elapsed_s
1,5.508530,0.0084,7.9471,0.000020,1.8055,1.5
10,5.296296,0.0560,7.6409,0.000200,1.8215,18.0
20,4.801576,0.1899,6.9272,0.000400,1.7697,37.1
30,4.483309,0.1922,6.4680,0.000600,1.9021,55.5
40,3.964681,0.1993,5.7198,0.000800,1.5138,73.8
50,3.541583,0.2106,5.1094,0.001000,1.0252,92.3
60,3.244820,0.2079,4.6813,0.001000,0.6531,110.6
70,3.026593,0.2338,4.3665,0.001000,0.5175,129.1
80,2.926383,0.2550,4.2219,0.001000,0.4001,147.7
90,2.813248,0.2817,4.0587,0.001000,0.4024,166.2
100,2.803514,0.2892,4.0446,0.001000,0.3130,184.8
110,2.666273,0.3097,3.8466,0.001000,0.3062,203.3
120,2.605466,0.3129,3.7589,0.001000,0.3203,221.8
130,2.555519,0.3206,3.6868,0.001000,0.2736,240.2
140,2.488147,0.3481,3.5896,0.001000,0.2839,258.7
150,2.478147,0.3319,3.5752,0.001000,0.3055,277.3
160,2.414743,0.3551,3.4837,0.001000,0.2963,295.8
170,2.362554,0.3556,3.4084,0.001000,0.2973,314.3
180,2.339649,0.3621,3.3754,0.001000,0.2995,333.0
190,2.331402,0.3659,3.3635,0.001000,0.3478,351.6
200,2.305877,0.3724,3.3267,0.001000,0.3048,370.1
210,2.288781,0.3773,3.3020,0.001000,0.2636,388.7
220,2.326435,0.3685,3.3563,0.001000,0.2809,407.2
230,2.260757,0.3822,3.2616,0.001000,0.2890,425.6
240,2.199409,0.3974,3.1731,0.001000,0.2622,444.0
250,2.203809,0.3950,3.1794,0.001000,0.2678,462.5
260,2.177854,0.3893,3.1420,0.001000,0.3760,481.2
270,2.167789,0.3962,3.1275,0.001000,0.3008,499.7
280,2.225294,0.3962,3.2104,0.001000,0.2870,518.3
290,2.178163,0.3960,3.1424,0.001000,0.3562,537.1
300,2.151244,0.4053,3.1036,0.001000,0.4378,555.6
310,2.145237,0.4133,3.0949,0.001000,0.2736,574.5
320,2.107872,0.4073,3.0410,0.001000,0.2895,593.3
330,2.166357,0.4091,3.1254,0.001000,0.2892,612.1
340,2.166319,0.4149,3.1253,0.001000,0.3514,630.6
350,2.112890,0.4121,3.0483,0.001000,0.3570,649.4
360,2.093914,0.4220,3.0209,0.001000,0.3072,667.7
370,2.079715,0.4223,3.0004,0.001000,0.3301,686.1
380,2.076568,0.4207,2.9959,0.001000,0.3042,704.6
390,2.132783,0.4119,3.0770,0.001000,0.3399,723.5
400,2.027630,0.4337,2.9253,0.001000,0.3614,742.0
410,2.039677,0.4259,2.9426,0.001000,0.3739,760.9
420,2.064479,0.4197,2.9784,0.001000,0.3869,779.7
430,2.010122,0.4374,2.9000,0.001000,0.3215,798.4
440,2.001254,0.4380,2.8872,0.001000,0.3374,817.1
450,1.980886,0.4456,2.8578,0.001000,0.3403,836.0
460,1.979642,0.4435,2.8560,0.001000,0.3662,854.7
470,1.995794,0.4361,2.8793,0.001000,0.3605,873.6
480,1.977160,0.4478,2.8524,0.001000,0.3957,892.3
490,2.034294,0.4356,2.9349,0.001000,0.3852,910.7
500,2.000264,0.4403,2.8858,0.001000,0.3471,929.3
