step,loss,acc,bpc,lr,gnorm,elapsed_s
1,5.508530,0.0084,7.9471,0.000010,1.8055,1.6
10,5.399701,0.0210,7.7901,0.000100,1.8005,18.4
20,5.088942,0.1428,7.3418,0.000200,1.8709,36.7
30,4.723769,0.1901,6.8150,0.000300,1.7126,55.2
40,4.464154,0.1919,6.4404,0.000400,1.8038,73.8
50,4.108037,0.2006,5.9266,0.000500,1.4868,92.0
60,3.797310,0.1965,5.4784,0.000500,1.2283,110.5
70,3.537198,0.2040,5.1031,0.000500,1.0347,129.0
80,3.376042,0.2093,4.8706,0.000500,0.8290,147.2
90,3.225382,0.2189,4.6532,0.000500,0.7217,165.6
100,3.190435,0.2283,4.6028,0.000500,0.5738,184.1
110,3.040426,0.2554,4.3864,0.000500,0.5196,202.6
120,2.968301,0.2573,4.2824,0.000500,0.5003,221.3
130,2.906040,0.2705,4.1925,0.000500,0.4200,239.8
140,2.836373,0.2964,4.0920,0.000500,0.4285,258.4
150,2.809471,0.2859,4.0532,0.000500,0.3707,276.7
160,2.755016,0.2993,3.9746,0.000500,0.3428,295.0
170,2.695314,0.3027,3.8885,0.000500,0.3498,313.8
180,2.647216,0.3063,3.8191,0.000500,0.3464,332.4
190,2.631869,0.3128,3.7970,0.000500,0.3027,350.9
200,2.601037,0.3199,3.7525,0.000500,0.3171,369.4
210,2.585035,0.3235,3.7294,0.000500,0.2830,387.9
220,2.579678,0.3256,3.7217,0.000500,0.2712,406.3
230,2.533030,0.3307,3.6544,0.000500,0.2526,424.8
240,2.464718,0.3548,3.5558,0.000500,0.2808,443.6
250,2.459840,0.3438,3.5488,0.000500,0.2841,462.5
260,2.426457,0.3505,3.5006,0.000500,0.2723,481.2
270,2.405531,0.3515,3.4704,0.000500,0.2637,499.8
280,2.451999,0.3448,3.5375,0.000500,0.2267,518.2
290,2.428259,0.3515,3.5032,0.000500,0.3058,536.8
300,2.387959,0.3596,3.4451,0.000500,0.2553,555.2
310,2.372812,0.3672,3.4232,0.000500,0.2594,574.0
320,2.321360,0.3661,3.3490,0.000500,0.2584,592.4
330,2.385342,0.3670,3.4413,0.000500,0.2631,611.1
340,2.382351,0.3671,3.4370,0.000500,0.2920,629.7
350,2.331920,0.3710,3.3642,0.000500,0.3423,648.3
360,2.308594,0.3755,3.3306,0.000500,0.2884,666.7
370,2.280365,0.3731,3.2899,0.000500,0.2480,685.3
380,2.287403,0.3743,3.3000,0.000500,0.2517,703.8
390,2.328863,0.3714,3.3598,0.000500,0.2689,722.2
400,2.220396,0.3941,3.2034,0.000500,0.2692,740.8
410,2.239489,0.3917,3.2309,0.000500,0.2665,759.7
420,2.247540,0.3823,3.2425,0.000500,0.2668,778.4
430,2.210700,0.3929,3.1894,0.000500,0.2658,797.3
440,2.191282,0.3949,3.1614,0.000500,0.2769,816.1
450,2.170308,0.4008,3.1311,0.000500,0.2523,834.7
460,2.172680,0.3931,3.1345,0.000500,0.3118,853.3
470,2.176668,0.4007,3.1403,0.000500,0.3126,871.8
480,2.158578,0.4007,3.1142,0.000500,0.2673,890.2
490,2.208549,0.3866,3.1863,0.000500,0.2808,908.7
500,2.168050,0.3990,3.1278,0.000500,0.2659,927.2
