step,loss,acc,bpc,lr,gnorm,elapsed_s
1,5.508612,0.0080,7.9472,0.000020,1.8121,1.6
10,5.296462,0.0564,7.6412,0.000200,1.8040,18.2
20,4.801655,0.1897,6.9273,0.000400,1.7701,36.9
30,4.483007,0.1919,6.4676,0.000600,1.9036,55.3
40,3.964704,0.1989,5.7199,0.000800,1.5173,74.0
50,3.541722,0.2099,5.1096,0.001000,1.0260,92.6
60,3.244576,0.2073,4.6809,0.001000,0.6545,111.8
70,3.026647,0.2345,4.3665,0.001000,0.5188,130.4
80,2.926456,0.2554,4.2220,0.001000,0.3960,149.1
90,2.814115,0.2832,4.0599,0.001000,0.4001,167.8
100,2.802238,0.2881,4.0428,0.001000,0.3125,186.3
110,2.665114,0.3131,3.8449,0.001000,0.3121,204.9
120,2.605359,0.3143,3.7587,0.001000,0.3234,223.8
130,2.554987,0.3199,3.6861,0.001000,0.2666,242.2
140,2.488650,0.3487,3.5904,0.001000,0.2947,260.9
150,2.478503,0.3323,3.5757,0.001000,0.2931,279.7
160,2.414967,0.3521,3.4841,0.001000,0.2957,298.2
170,2.362725,0.3579,3.4087,0.001000,0.2695,316.9
180,2.341721,0.3591,3.3784,0.001000,0.3123,335.7
190,2.332666,0.3652,3.3653,0.001000,0.3243,354.5
200,2.307459,0.3692,3.3290,0.001000,0.2994,373.3
210,2.292328,0.3771,3.3071,0.001000,0.2703,392.2
220,2.326693,0.3686,3.3567,0.001000,0.2916,411.1
230,2.262815,0.3812,3.2646,0.001000,0.2973,429.7
240,2.202050,0.3969,3.1769,0.001000,0.2810,448.9
250,2.204349,0.3951,3.1802,0.001000,0.2637,467.9
260,2.178788,0.3915,3.1433,0.001000,0.3492,487.0
270,2.169135,0.3967,3.1294,0.001000,0.2809,506.0
280,2.226926,0.3957,3.2128,0.001000,0.3162,525.0
290,2.180689,0.3977,3.1461,0.001000,0.3546,544.2
300,2.155084,0.4050,3.1091,0.001000,0.4502,562.9
310,2.146597,0.4129,3.0969,0.001000,0.3294,581.9
320,2.111398,0.4094,3.0461,0.001000,0.3005,600.7
330,2.167395,0.4082,3.1269,0.001000,0.3075,619.8
340,2.167246,0.4107,3.1267,0.001000,0.3325,638.4
350,2.115328,0.4135,3.0518,0.001000,0.3139,657.3
360,2.095702,0.4183,3.0235,0.001000,0.3010,676.2
370,2.080504,0.4195,3.0015,0.001000,0.3250,695.0
380,2.079620,0.4231,3.0003,0.001000,0.2881,714.0
390,2.134620,0.4133,3.0796,0.001000,0.3494,733.1
400,2.028232,0.4319,2.9261,0.001000,0.3466,752.1
410,2.039347,0.4254,2.9422,0.001000,0.3495,771.2
420,2.066354,0.4194,2.9811,0.001000,0.3810,790.2
430,2.012293,0.4397,2.9031,0.001000,0.3262,809.2
440,2.001228,0.4370,2.8872,0.001000,0.3244,828.3
450,1.981727,0.4486,2.8590,0.001000,0.3508,847.5
460,1.980843,0.4432,2.8578,0.001000,0.3709,866.3
470,1.997131,0.4358,2.8813,0.001000,0.3695,885.4
480,1.979378,0.4477,2.8556,0.001000,0.4128,904.3
490,2.037216,0.4360,2.9391,0.001000,0.4040,922.9
500,1.999859,0.4385,2.8852,0.001000,0.3515,941.7
