step,loss,acc,bpc,lr,gnorm,elapsed_s
1,5.639799,0.0019,8.1365,0.000010,1.7952,2.5
10,5.557806,0.0045,8.0182,0.000100,1.7241,26.5
20,5.330099,0.0573,7.6897,0.000200,1.6282,54.0
30,4.975326,0.1816,7.1779,0.000300,1.6563,81.4
40,4.529813,0.1895,6.5351,0.000400,1.6026,108.5
50,4.165562,0.1906,6.0096,0.000500,1.5964,136.1
60,3.780745,0.1883,5.4545,0.000500,1.2384,163.7
70,3.493362,0.1869,5.0399,0.000500,1.0123,191.0
80,3.361814,0.1889,4.8501,0.000500,0.7852,218.1
90,3.236892,0.1951,4.6698,0.000500,0.6461,245.1
100,3.233114,0.1996,4.6644,0.000500,0.4953,272.3
110,3.099869,0.2242,4.4722,0.000500,0.4713,299.3
120,3.036963,0.2333,4.3814,0.000500,0.4189,326.0
130,2.994126,0.2386,4.3196,0.000500,0.3742,353.3
140,2.930607,0.2654,4.2280,0.000500,0.3913,380.5
150,2.906497,0.2575,4.1932,0.000500,0.3578,407.8
160,2.860549,0.2720,4.1269,0.000500,0.3446,435.0
170,2.805092,0.2784,4.0469,0.000500,0.3290,462.4
180,2.761069,0.2843,3.9834,0.000500,0.3368,489.5
190,2.746021,0.2877,3.9617,0.000500,0.3155,516.6
200,2.719414,0.2909,3.9233,0.000500,0.3032,543.7
210,2.701590,0.2954,3.8976,0.000500,0.3030,570.5
220,2.688829,0.2992,3.8792,0.000500,0.2650,597.7
230,2.650721,0.2983,3.8242,0.000500,0.2590,624.6
240,2.580304,0.3201,3.7226,0.000500,0.2655,652.3
250,2.578054,0.3137,3.7193,0.000500,0.2466,679.4
260,2.535780,0.3119,3.6584,0.000500,0.2439,706.5
270,2.518243,0.3209,3.6331,0.000500,0.2549,733.5
280,2.553774,0.3166,3.6843,0.000500,0.2306,760.6
290,2.545201,0.3199,3.6719,0.000500,0.2399,787.9
300,2.499758,0.3238,3.6064,0.000500,0.2375,814.8
310,2.486079,0.3346,3.5867,0.000500,0.2315,841.8
320,2.423212,0.3414,3.4960,0.000500,0.2739,868.9
330,2.502529,0.3346,3.6104,0.000500,0.6596,895.8
340,2.497258,0.3391,3.6028,0.000500,0.2050,922.9
350,2.449321,0.3424,3.5336,0.000500,0.2364,950.0
360,2.423328,0.3400,3.4961,0.000500,0.2238,977.6
370,2.389949,0.3398,3.4480,0.000500,0.2011,1005.0
380,2.398695,0.3469,3.4606,0.000500,0.2208,1031.9
390,2.439500,0.3422,3.5195,0.000500,0.2338,1059.0
400,2.328860,0.3608,3.3598,0.000500,0.2405,1086.3
410,2.359749,0.3647,3.4044,0.000500,0.2217,1113.7
420,2.353164,0.3515,3.3949,0.000500,0.2495,1140.6
430,2.330579,0.3559,3.3623,0.000500,0.2167,1167.6
440,2.311247,0.3587,3.3344,0.000500,0.2332,1194.5
450,2.284326,0.3667,3.2956,0.000500,0.2374,1221.5
460,2.284348,0.3582,3.2956,0.000500,0.2305,1248.7
470,2.278886,0.3765,3.2877,0.000500,0.2753,1276.0
480,2.262908,0.3698,3.2647,0.000500,0.2361,1303.3
490,2.319105,0.3644,3.3458,0.000500,0.2248,1330.9
500,2.270940,0.3701,3.2763,0.000500,0.2266,1358.0
