step,loss,acc,lr,elapsed_s,ring_norm,ring_signal_norm_0,hidden_norm_0,alpha_0_mean,ptr_pos_0,mp_gate_0_head0,mp_gate_0_head1,mp_gate_0_head2,mp_gate_0_head3,mp_gate_entropy_0
1,5.629742,0.0042,0.000010,1.4,80.26,1.87,20.51,0.4690,147.89,0.7112,0.0963,0.0963,0.0963,0.9183
10,5.599731,0.0014,0.000100,16.1,269.99,7.30,20.91,0.4300,136.92,0.7164,0.0939,0.0941,0.0956,0.9079
20,5.566891,0.0096,0.000200,32.5,282.61,7.80,20.76,0.4541,131.34,0.7333,0.0900,0.0838,0.0929,0.8726
30,5.534089,0.0104,0.000300,48.4,288.31,8.22,20.65,0.4576,112.88,0.7275,0.0886,0.0875,0.0963,0.8848
40,5.509547,0.0034,0.000400,64.6,307.38,8.92,20.33,0.5004,156.55,0.7203,0.0731,0.0894,0.1172,0.8947
50,5.581335,0.0013,0.000500,80.8,333.30,9.69,19.95,0.5014,98.33,0.7532,0.0523,0.0844,0.1100,0.8194
60,5.410933,0.0451,0.000600,97.4,357.97,10.69,19.70,0.5377,151.73,0.8609,0.0244,0.0433,0.0714,0.5438
70,5.321690,0.0403,0.000700,113.7,386.39,11.64,19.37,0.5523,141.56,0.9513,0.0081,0.0145,0.0261,0.2432
80,5.312107,0.0598,0.000800,130.3,436.13,13.62,18.72,0.5927,66.20,0.9801,0.0038,0.0057,0.0104,0.1179
90,5.619518,0.0021,0.000900,146.7,461.63,14.93,18.44,0.6173,139.98,0.9852,0.0028,0.0045,0.0075,0.0920
100,5.290473,0.0645,0.001000,162.8,484.86,16.55,18.04,0.6077,105.19,0.9852,0.0027,0.0054,0.0067,0.0925
110,5.682887,0.0006,0.001000,179.2,513.78,18.03,17.27,0.6265,83.10,0.9835,0.0031,0.0063,0.0070,0.1013
120,5.371916,0.0686,0.001000,195.3,516.05,18.90,16.90,0.6305,203.90,0.9806,0.0040,0.0077,0.0077,0.1161
130,5.704007,0.0049,0.001000,211.6,513.71,19.59,16.87,0.6841,125.26,0.9785,0.0045,0.0085,0.0086,0.1265
140,5.492169,0.0360,0.001000,228.0,532.10,21.48,16.11,0.7116,109.16,0.9613,0.0083,0.0148,0.0156,0.2042
150,5.348490,0.0716,0.001000,244.8,545.18,22.93,14.99,0.7478,119.80,0.9569,0.0089,0.0226,0.0116,0.2210
160,5.461062,0.0312,0.001000,261.6,577.89,24.66,14.42,0.7570,130.33,0.9562,0.0107,0.0213,0.0118,0.2248
