step,loss,acc,lr,elapsed_s,ring_norm,ring_signal_norm_0,hidden_norm_0,alpha_0_mean,ptr_pos_0,mp_gate_0_head0,mp_gate_0_head1,mp_gate_0_head2,mp_gate_0_head3,mp_gate_entropy_0
1,5.627029,0.0049,0.000010,1.3,81.36,3.54,20.60,0.4694,104.69,0.7311,0.2689,0.2689,0.2689,1.2683
10,5.597528,0.0022,0.000100,15.6,254.84,10.82,20.08,0.4309,175.05,0.7384,0.2765,0.2766,0.2765,1.2727
20,5.560857,0.0096,0.000200,31.8,266.03,12.26,19.66,0.4543,113.69,0.7603,0.3016,0.3018,0.3011,1.2863
30,5.534992,0.0135,0.000300,47.5,266.44,12.85,19.58,0.4563,113.53,0.7723,0.3162,0.3164,0.3154,1.2933
40,5.506704,0.0034,0.000400,63.8,280.08,12.65,19.62,0.4476,96.17,0.7521,0.2878,0.2949,0.2915,1.2808
50,5.587270,0.0013,0.000500,79.7,293.48,12.51,19.56,0.4509,103.25,0.7303,0.2632,0.2731,0.2682,1.2677
60,5.396463,0.0824,0.000600,96.3,316.54,11.90,20.29,0.3680,142.23,0.6687,0.2132,0.2256,0.2204,1.2384
70,5.329929,0.0494,0.000700,112.8,330.34,11.09,20.60,0.3681,95.64,0.6129,0.1799,0.1918,0.1861,1.2153
80,5.310209,0.0598,0.000800,128.7,340.25,11.52,20.32,0.3926,115.75,0.6112,0.1753,0.1873,0.1814,1.2086
90,5.620579,0.0021,0.000900,144.6,352.06,14.57,19.56,0.3930,146.15,0.6971,0.2154,0.2301,0.2211,1.2297
100,5.300786,0.0645,0.001000,160.8,455.37,15.33,19.09,0.4442,85.66,0.5862,0.1547,0.1610,0.1562,1.1772
110,5.686179,0.0006,0.001000,176.6,579.59,12.14,19.67,0.4185,147.63,0.3677,0.0900,0.0913,0.0929,1.1518
120,5.394501,0.0043,0.001000,192.7,676.98,5.74,21.57,0.3275,146.59,0.1408,0.0348,0.0347,0.0359,1.1530
130,5.716450,0.0049,0.001000,209.1,718.69,2.91,22.29,0.2832,126.34,0.0617,0.0174,0.0173,0.0180,1.1959
140,5.521597,0.0353,0.001000,225.7,724.22,2.43,22.40,0.2665,92.42,0.0498,0.0144,0.0143,0.0149,1.2042
150,5.392825,0.0272,0.001000,242.2,726.33,2.28,22.32,0.2535,124.72,0.0457,0.0135,0.0134,0.0139,1.2108
160,5.464164,0.0306,0.001000,258.1,727.79,2.19,22.38,0.2868,43.01,0.0436,0.0130,0.0129,0.0134,1.2132
170,5.457685,0.0356,0.001000,274.1,726.68,2.12,22.52,0.2893,146.30,0.0420,0.0126,0.0125,0.0130,1.2149
180,5.294857,0.0326,0.001000,290.1,724.43,2.16,22.64,0.2863,115.11,0.0431,0.0128,0.0127,0.0132,1.2116
190,5.706899,0.0016,0.001000,305.9,724.61,2.27,22.57,0.2808,144.87,0.0456,0.0133,0.0132,0.0137,1.2062
200,5.493517,0.0060,0.001000,321.9,725.79,2.52,22.47,0.3185,152.76,0.0507,0.0142,0.0141,0.0147,1.1947
210,5.460722,0.0448,0.001000,338.0,725.41,2.55,22.45,0.3181,148.53,0.0512,0.0144,0.0143,0.0149,1.1961
220,5.274481,0.0419,0.001000,354.2,712.88,1.06,22.73,0.2989,153.08,0.0183,0.0073,0.0073,0.0074,1.2891
230,5.263072,0.0013,0.001000,371.6,704.60,0.87,22.49,0.2690,168.13,0.0143,0.0063,0.0063,0.0064,1.3106
240,5.707229,0.0049,0.001000,388.0,699.90,0.89,22.34,0.2695,150.66,0.0145,0.0065,0.0066,0.0066,1.3152
250,5.326487,0.0481,0.001000,405.3,695.82,0.91,22.44,0.2872,84.95,0.0145,0.0067,0.0067,0.0068,1.3192
260,5.751664,0.0078,0.001000,422.3,693.01,1.03,22.21,0.3443,178.36,0.0167,0.0075,0.0076,0.0077,1.3158
270,5.120756,0.0731,0.001000,439.4,692.12,0.99,22.51,0.2969,72.36,0.0158,0.0073,0.0074,0.0074,1.3209
280,5.380926,0.0527,0.001000,456.0,688.60,1.03,22.50,0.3594,113.94,0.0163,0.0076,0.0077,0.0077,1.3216
290,5.452270,0.0136,0.001000,472.8,687.43,1.26,22.14,0.3279,127.85,0.0203,0.0091,0.0092,0.0093,1.3151
300,5.430131,0.0463,0.001000,489.3,687.28,1.24,22.36,0.3272,120.29,0.0196,0.0090,0.0091,0.0092,1.3202
310,5.367056,0.0293,0.001000,506.7,686.62,1.38,22.25,0.3459,140.25,0.0218,0.0100,0.0101,0.0101,1.3187
320,5.459408,0.0319,0.001000,523.5,687.54,1.50,22.20,0.3522,126.15,0.0237,0.0108,0.0109,0.0110,1.3176
330,4.913215,0.1275,0.001000,540.1,686.91,1.41,22.26,0.4060,170.26,0.0221,0.0102,0.0103,0.0103,1.3193
340,5.608991,0.0080,0.001000,556.4,687.28,1.62,21.97,0.3773,127.91,0.0256,0.0115,0.0115,0.0117,1.3147
350,5.035568,0.1389,0.001000,573.0,685.73,1.59,22.09,0.3691,102.24,0.0248,0.0112,0.0113,0.0114,1.3168
360,4.865165,0.2500,0.001000,589.4,682.96,1.73,22.20,0.4284,159.57,0.0266,0.0123,0.0123,0.0124,1.3194
370,5.431578,0.0306,0.001000,606.1,687.13,2.86,21.72,0.4184,107.17,0.0442,0.0194,0.0194,0.0196,1.3096
380,5.379508,0.0836,0.001000,622.6,681.54,2.35,22.02,0.4001,132.15,0.0356,0.0159,0.0160,0.0161,1.3137
390,5.607505,0.0039,0.001000,640.0,673.90,2.04,22.00,0.4098,74.17,0.0308,0.0137,0.0138,0.0140,1.3137
400,4.670780,0.2221,0.001000,656.7,669.14,2.39,21.56,0.4599,94.48,0.0361,0.0156,0.0157,0.0159,1.3072
410,5.175446,0.0685,0.001000,673.4,668.33,1.65,21.77,0.4839,81.46,0.0242,0.0106,0.0107,0.0108,1.3111
420,5.403480,0.0367,0.001000,690.1,676.05,2.35,21.27,0.5252,101.65,0.0344,0.0142,0.0143,0.0144,1.2979
430,4.989567,0.1324,0.001000,706.8,675.23,5.21,20.57,0.5468,97.77,0.0750,0.0304,0.0306,0.0311,1.2943
440,5.359059,0.0387,0.001000,723.8,662.31,1.36,21.25,0.5081,110.24,0.0187,0.0084,0.0086,0.0090,1.3205
450,5.310295,0.0968,0.001000,740.5,635.47,0.55,21.43,0.4628,165.70,0.0075,0.0035,0.0037,0.0039,1.3324
460,5.660612,0.0007,0.001000,757.5,629.43,0.38,21.78,0.4242,127.45,0.0049,0.0025,0.0027,0.0028,1.3439
470,4.767848,0.1870,0.001000,775.0,628.78,0.50,21.25,0.4340,180.88,0.0064,0.0032,0.0034,0.0037,1.3422
480,5.002378,0.1285,0.001000,791.7,632.96,0.58,21.26,0.4813,138.65,0.0071,0.0036,0.0039,0.0043,1.3473
490,5.085814,0.1345,0.001000,808.4,638.15,0.61,21.84,0.4690,143.43,0.0067,0.0038,0.0042,0.0048,1.3613
500,5.425601,0.0295,0.001000,825.7,645.93,0.63,21.52,0.4719,112.66,0.0073,0.0038,0.0041,0.0045,1.3510
