step,loss,bpc,acc,gnorm,lr,elapsed_s
1,5.549569,8.0064,0.003021,0.2628,0.000020,6.2
2,5.551659,8.0094,0.003435,0.2634,0.000040,9.4
3,5.552616,8.0108,0.001705,0.2755,0.000060,12.0
4,5.547060,8.0027,0.002050,0.2671,0.000080,14.4
5,5.541666,7.9950,0.004447,0.2713,0.000100,16.9
6,5.543252,7.9972,0.002734,0.2620,0.000120,19.3
7,5.544169,7.9986,0.004442,0.2722,0.000140,22.0
8,5.535768,7.9865,0.003424,0.2630,0.000160,24.9
9,5.533642,7.9834,0.004267,0.2570,0.000180,27.4
10,5.524519,7.9702,0.003588,0.2633,0.000200,29.6
11,5.525276,7.9713,0.004789,0.2599,0.000220,32.0
12,5.515166,7.9567,0.006328,0.2531,0.000240,34.4
13,5.515563,7.9573,0.006492,0.2557,0.000260,36.8
14,5.507475,7.9456,0.005986,0.2560,0.000280,39.2
15,5.495334,7.9281,0.015735,0.2548,0.000300,41.9
16,5.489947,7.9203,0.033350,0.2575,0.000320,44.2
17,5.480999,7.9074,0.046520,0.2600,0.000340,46.6
18,5.472881,7.8957,0.050743,0.2620,0.000360,49.0
19,5.463407,7.8821,0.069295,0.2643,0.000380,51.4
20,5.463147,7.8817,0.075236,0.2597,0.000400,53.9
21,5.453170,7.8673,0.078000,0.2642,0.000420,56.6
22,5.438087,7.8455,0.079870,0.2734,0.000440,59.1
23,5.425566,7.8275,0.082693,0.2791,0.000460,61.5
24,5.408791,7.8033,0.098411,0.2823,0.000480,63.8
25,5.408704,7.8031,0.106844,0.2932,0.000500,66.3
26,5.394369,7.7825,0.114482,0.2953,0.000520,68.7
27,5.369850,7.7471,0.123059,0.3020,0.000540,71.1
28,5.357731,7.7296,0.121818,0.2989,0.000560,73.6
29,5.350667,7.7194,0.125877,0.3139,0.000580,76.1
30,5.342951,7.7083,0.131215,0.2990,0.000600,78.7
31,5.319810,7.6749,0.132958,0.3079,0.000620,81.2
32,5.306001,7.6550,0.130800,0.3206,0.000640,83.6
33,5.294606,7.6385,0.131422,0.3188,0.000660,86.3
34,5.288710,7.6300,0.131215,0.3246,0.000680,88.6
35,5.265475,7.5965,0.133505,0.3123,0.000700,91.0
36,5.232276,7.5486,0.133299,0.3096,0.000720,93.5
37,5.214878,7.5235,0.132411,0.3239,0.000740,95.8
38,5.214368,7.5228,0.131691,0.3133,0.000760,98.2
39,5.190422,7.4882,0.130398,0.3133,0.000780,100.7
40,5.183455,7.4782,0.130591,0.3097,0.000800,103.1
41,5.149291,7.4289,0.134290,0.3210,0.000820,105.6
42,5.150384,7.4305,0.136138,0.3040,0.000840,108.0
43,5.119414,7.3858,0.133470,0.3175,0.000860,110.4
44,5.103936,7.3634,0.132819,0.3080,0.000880,112.8
45,5.087353,7.3395,0.134323,0.3108,0.000900,115.4
46,5.067044,7.3102,0.137164,0.3033,0.000920,117.9
47,5.049912,7.2855,0.133607,0.3080,0.000940,120.5
48,5.040250,7.2716,0.128955,0.3004,0.000960,123.0
49,5.024407,7.2487,0.130910,0.2922,0.000980,125.4
50,4.999235,7.2124,0.131862,0.2958,0.001000,127.9
51,4.998875,7.2119,0.131862,0.2869,0.001000,130.5
52,4.967389,7.1665,0.132889,0.2893,0.001000,132.9
53,4.949970,7.1413,0.134461,0.2895,0.001000,135.4
54,4.942597,7.1307,0.132547,0.2860,0.001000,137.9
55,4.924571,7.1047,0.134974,0.2850,0.001000,140.3
56,4.901461,7.0713,0.137335,0.2805,0.001000,142.8
57,4.887460,7.0511,0.137536,0.2746,0.001000,145.3
58,4.893286,7.0595,0.137878,0.2717,0.001000,147.7
59,4.870647,7.0269,0.137677,0.2649,0.001000,150.2
60,4.846021,6.9914,0.139785,0.2609,0.001000,152.6
61,4.836556,6.9777,0.137054,0.2494,0.001000,155.1
62,4.817967,6.9509,0.137164,0.2413,0.001000,157.6
63,4.817619,6.9504,0.133811,0.2262,0.001000,160.2
64,4.799200,6.9238,0.137848,0.2193,0.001000,162.6
65,4.800097,6.9251,0.134428,0.2096,0.001000,165.0
66,4.775517,6.8896,0.138220,0.2121,0.001000,167.6
67,4.757896,6.8642,0.139785,0.2209,0.001000,170.1
68,4.755811,6.8612,0.142613,0.2136,0.001000,172.5
69,4.758575,6.8652,0.138078,0.1947,0.001000,175.0
70,4.761131,6.8689,0.133505,0.2032,0.001000,177.3
71,4.742412,6.8419,0.134820,0.2119,0.001000,180.2
72,4.742599,6.8421,0.133971,0.2059,0.001000,182.8
73,4.736489,6.8333,0.134428,0.2023,0.001000,185.3
74,4.718654,6.8076,0.134224,0.1856,0.001000,187.7
75,4.706718,6.7904,0.139301,0.1869,0.001000,190.3
76,4.710872,6.7964,0.137990,0.1716,0.001000,192.7
77,4.704240,6.7868,0.137164,0.1805,0.001000,195.2
78,4.699752,6.7803,0.138785,0.1761,0.001000,197.6
79,4.688416,6.7640,0.144858,0.1778,0.001000,200.1
80,4.684071,6.7577,0.141585,0.1676,0.001000,202.6
81,4.688240,6.7637,0.142149,0.1549,0.001000,205.2
82,4.677782,6.7486,0.138704,0.1488,0.001000,207.6
83,4.663205,6.7276,0.142979,0.1601,0.001000,210.1
84,4.661209,6.7247,0.142686,0.1590,0.001000,212.6
85,4.664708,6.7298,0.139587,0.1669,0.001000,215.1
86,4.679015,6.7504,0.140847,0.1634,0.001000,217.6
87,4.664116,6.7289,0.137937,0.1534,0.001000,220.2
88,4.665568,6.7310,0.143469,0.1503,0.001000,222.7
89,4.650885,6.7098,0.144422,0.1319,0.001000,225.2
90,4.655148,6.7160,0.147009,0.1375,0.001000,227.6
91,4.647051,6.7043,0.147124,0.1409,0.001000,230.1
92,4.649479,6.7078,0.145994,0.1370,0.001000,232.4
93,4.628799,6.6780,0.143199,0.1368,0.001000,234.9
94,4.640839,6.6953,0.145225,0.1324,0.001000,237.3
95,4.642133,6.6972,0.143516,0.1351,0.001000,239.6
96,4.635861,6.6882,0.144473,0.1287,0.001000,242.0
97,4.630050,6.6798,0.145887,0.1298,0.001000,244.4
98,4.635890,6.6882,0.148072,0.1252,0.001000,246.8
99,4.614272,6.6570,0.144587,0.1314,0.001000,249.5
100,4.613710,6.6562,0.148605,0.1355,0.001000,251.8
101,4.618876,6.6637,0.148965,0.1479,0.001000,254.2
102,4.640772,6.6952,0.147386,0.1458,0.001000,256.7
103,4.634574,6.6863,0.151717,0.1586,0.001000,259.1
104,4.619558,6.6646,0.145523,0.1423,0.001000,261.5
105,4.612530,6.6545,0.148679,0.1356,0.001000,264.0
106,4.613601,6.6560,0.150317,0.1347,0.001000,266.5
107,4.617454,6.6616,0.147044,0.1300,0.001000,268.9
108,4.598674,6.6345,0.149855,0.1308,0.001000,271.3
109,4.600235,6.6368,0.150196,0.1201,0.001000,273.7
110,4.597965,6.6335,0.155258,0.1222,0.001000,276.2
111,4.612783,6.6549,0.144223,0.1272,0.001000,278.8
112,4.601712,6.6389,0.149290,0.1233,0.001000,281.2
113,4.592330,6.6254,0.150162,0.1250,0.001000,283.7
114,4.591623,6.6243,0.151732,0.1229,0.001000,286.2
115,4.600177,6.6367,0.152230,0.1200,0.001000,288.7
116,4.607038,6.6466,0.152342,0.1274,0.001000,291.2
117,4.601064,6.6380,0.146421,0.1247,0.001000,293.8
118,4.585258,6.6152,0.155293,0.1277,0.001000,296.2
119,4.595290,6.6296,0.151842,0.1209,0.001000,298.7
120,4.574700,6.5999,0.156592,0.1228,0.001000,301.0
121,4.611460,6.6530,0.145940,0.1230,0.001000,303.4
122,4.565897,6.5872,0.152728,0.1195,0.001000,305.9
123,4.620789,6.6664,0.151888,0.1419,0.001000,308.5
124,4.588483,6.6198,0.153213,0.1270,0.001000,311.0
125,4.580631,6.6085,0.150162,0.1123,0.001000,313.3
126,4.590918,6.6233,0.153385,0.1138,0.001000,316.0
127,4.605003,6.6436,0.152014,0.1262,0.001000,318.3
128,4.567940,6.5902,0.150847,0.1144,0.001000,320.7
129,4.585241,6.6151,0.149667,0.1215,0.001000,323.2
130,4.577417,6.6038,0.154096,0.1145,0.001000,325.8
131,4.574509,6.5996,0.157136,0.1191,0.001000,328.1
132,4.586684,6.6172,0.149855,0.1094,0.001000,330.6
133,4.565289,6.5863,0.156148,0.1169,0.001000,333.1
134,4.578581,6.6055,0.149272,0.1205,0.001000,335.5
