step,loss,bpc,acc,gnorm,lr,elapsed_s
1,5.549400,8.0061,0.003188,3931411.0000,0.000020,2.5
2,5.551939,8.0098,0.003091,26159482880.0000,0.000040,5.2
3,5.553645,8.0122,0.001535,2773870592.0000,0.000060,7.9
4,5.549665,8.0065,0.001538,179728157769728.0000,0.000080,10.9
5,5.546576,8.0020,0.003934,2870016768.0000,0.000100,13.7
6,5.550414,8.0076,0.002392,128880689152.0000,0.000120,16.5
7,5.554764,8.0139,0.004271,1486395904.0000,0.000140,19.3
8,5.549846,8.0068,0.002397,29180157952.0000,0.000160,22.2
9,5.551568,8.0092,0.003755,11401953280.0000,0.000180,25.3
10,5.547804,8.0038,0.003075,9109355520.0000,0.000200,28.1
11,5.554185,8.0130,0.002052,3872840448.0000,0.000220,31.0
12,5.547998,8.0041,0.003763,657972264960.0000,0.000240,33.9
13,5.555095,8.0143,0.002563,96415592.0000,0.000260,36.5
14,5.553202,8.0116,0.002565,15021194240.0000,0.000280,39.5
15,5.547282,8.0031,0.002394,274155061248.0000,0.000300,42.3
16,5.547462,8.0033,0.002223,95355633664.0000,0.000320,45.2
17,5.546038,8.0013,0.004447,925760618496.0000,0.000340,48.0
18,5.546551,8.0020,0.005809,4685187072.0000,0.000360,50.9
19,5.549506,8.0063,0.003926,289238417408.0000,0.000380,53.9
20,5.553002,8.0113,0.002913,47355036.0000,0.000400,56.8
21,5.552526,8.0106,0.004950,588445632.0000,0.000420,59.6
22,5.547435,8.0033,0.003250,1873743744.0000,0.000440,62.4
23,5.551646,8.0094,0.001879,7283474.5000,0.000460,65.2
24,5.545985,8.0012,0.002392,22554152.0000,0.000480,68.1
25,5.553655,8.0123,0.002219,27123937280.0000,0.000500,71.2
26,5.552470,8.0105,0.003942,86493344.0000,0.000520,74.1
27,5.552014,8.0099,0.003755,186591424.0000,0.000540,76.9
28,5.541143,7.9942,0.003588,2135238912.0000,0.000560,79.8
29,5.553771,8.0124,0.002394,347468768.0000,0.000580,82.7
30,5.549970,8.0069,0.005638,6656791552.0000,0.000600,85.7
31,5.552245,8.0102,0.004096,1520168861696.0000,0.000620,88.4
32,5.543233,7.9972,0.003253,329704672.0000,0.000640,91.3
33,5.554494,8.0135,0.005120,55498149888.0000,0.000660,94.3
34,5.554641,8.0137,0.002392,1368844.5000,0.000680,97.1
35,5.550464,8.0077,0.002913,1523979.5000,0.000700,100.0
36,5.540000,7.9926,0.002902,71954.9062,0.000720,102.9
37,5.533616,7.9833,0.003417,133365.9219,0.000740,105.8
38,5.527407,7.9744,0.004789,1288988.7500,0.000760,108.8
39,5.511310,7.9512,0.006827,231180.1406,0.000780,111.8
40,5.500696,7.9359,0.010968,23987.5000,0.000800,114.6
41,5.485715,7.9142,0.032120,1138025.3750,0.000820,118.0
42,5.476544,7.9010,0.059176,28945.1582,0.000840,121.1
43,5.453090,7.8672,0.079536,419735.3750,0.000860,124.0
44,5.440707,7.8493,0.083633,3241001.2500,0.000880,126.7
45,5.427274,7.8299,0.096433,435078.9062,0.000900,129.6
46,5.405350,7.7983,0.108261,134255.1406,0.000920,132.6
47,5.391120,7.7778,0.111054,560199.3750,0.000940,135.5
48,5.383541,7.7668,0.112365,104516.2656,0.000960,138.4
49,5.363903,7.7385,0.122888,749022.3750,0.000980,141.3
50,5.353539,7.7236,0.126219,2386500.7500,0.001000,144.3
51,5.340456,7.7047,0.127587,215778.3281,0.001000,147.2
52,5.321621,7.6775,0.126390,12062136.0000,0.001000,150.3
53,5.309665,7.6603,0.130190,10600.4023,0.001000,153.3
54,5.310731,7.6618,0.126219,6204.2192,0.001000,156.2
55,5.276344,7.6122,0.131898,7574.8428,0.001000,159.1
56,5.250470,7.5749,0.132205,15870.3730,0.001000,161.9
57,5.231286,7.5472,0.132069,37891.0625,0.001000,164.9
58,5.222347,7.5343,0.129848,4518.2070,0.001000,167.9
59,5.191853,7.4903,0.132547,38459.4805,0.001000,170.8
60,5.170749,7.4598,0.131251,9371.5352,0.001000,173.8
