step,loss,bpc,acc,gnorm,lr,elapsed_s
1,5.549481,8.0062,0.003524,0.2629,0.000020,2.2
2,5.551780,8.0096,0.003606,0.2634,0.000040,4.9
3,5.552497,8.0106,0.001194,0.2755,0.000060,7.5
4,5.546955,8.0026,0.001879,0.2674,0.000080,9.8
5,5.542053,7.9955,0.004276,0.2713,0.000100,12.4
6,5.543483,7.9976,0.002734,0.2621,0.000120,14.7
7,5.544608,7.9992,0.004442,0.2725,0.000140,17.2
8,5.536294,7.9872,0.003766,0.2631,0.000160,19.6
9,5.534097,7.9840,0.003926,0.2572,0.000180,22.0
10,5.525111,7.9711,0.003930,0.2634,0.000200,24.5
11,5.525898,7.9722,0.004447,0.2599,0.000220,27.2
12,5.516023,7.9580,0.005815,0.2532,0.000240,29.8
13,5.516518,7.9587,0.005467,0.2557,0.000260,32.3
14,5.508197,7.9467,0.005986,0.2558,0.000280,34.8
15,5.496045,7.9291,0.016419,0.2546,0.000300,37.5
16,5.491148,7.9221,0.030272,0.2573,0.000320,40.0
17,5.482275,7.9093,0.045322,0.2596,0.000340,42.7
18,5.473938,7.8972,0.049547,0.2615,0.000360,45.3
19,5.464798,7.8841,0.067588,0.2639,0.000380,47.9
20,5.464315,7.8834,0.074722,0.2595,0.000400,50.5
21,5.454439,7.8691,0.078512,0.2636,0.000420,53.1
22,5.439546,7.8476,0.079357,0.2728,0.000440,55.7
23,5.427113,7.8297,0.082863,0.2785,0.000460,58.3
24,5.410511,7.8057,0.096190,0.2817,0.000480,60.8
25,5.410311,7.8055,0.103772,0.2924,0.000500,63.3
26,5.396279,7.7852,0.114996,0.2950,0.000520,65.9
27,5.371937,7.7501,0.122717,0.3014,0.000540,68.2
28,5.359384,7.7320,0.121305,0.2980,0.000560,70.7
29,5.352533,7.7221,0.125877,0.3131,0.000580,73.3
30,5.345203,7.7115,0.131044,0.2986,0.000600,75.7
31,5.322034,7.6781,0.133811,0.3077,0.000620,78.2
32,5.307921,7.6577,0.130628,0.3201,0.000640,80.7
33,5.296711,7.6416,0.130739,0.3184,0.000660,83.1
34,5.291043,7.6334,0.131386,0.3247,0.000680,86.0
35,5.267958,7.6001,0.133162,0.3125,0.000700,88.7
36,5.234771,7.5522,0.133470,0.3092,0.000720,91.2
37,5.217709,7.5276,0.132582,0.3235,0.000740,93.7
38,5.217056,7.5266,0.131349,0.3130,0.000760,96.2
39,5.193451,7.4926,0.130398,0.3126,0.000780,98.6
40,5.186472,7.4825,0.130249,0.3091,0.000800,101.1
41,5.152000,7.4328,0.133948,0.3197,0.000820,103.7
42,5.152949,7.4342,0.135967,0.3033,0.000840,106.3
43,5.122225,7.3898,0.133811,0.3158,0.000860,108.7
44,5.107756,7.3690,0.132819,0.3071,0.000880,111.2
