step,loss,bpc,acc,gnorm,lr,elapsed_s
1,5.549531,8.0063,0.002853,0.2629,0.000020,2.4
2,5.551840,8.0096,0.002919,0.2636,0.000040,5.6
3,5.552424,8.0105,0.001194,0.2758,0.000060,8.3
4,5.547258,8.0030,0.001709,0.2678,0.000080,10.7
5,5.542376,7.9960,0.004447,0.2713,0.000100,13.2
6,5.543635,7.9978,0.002392,0.2625,0.000120,15.7
7,5.544664,7.9993,0.004613,0.2729,0.000140,18.5
8,5.536951,7.9882,0.003424,0.2636,0.000160,21.1
9,5.534259,7.9843,0.003584,0.2576,0.000180,23.6
10,5.525936,7.9723,0.003759,0.2638,0.000200,26.2
11,5.526339,7.9728,0.004276,0.2602,0.000220,28.7
12,5.516615,7.9588,0.005986,0.2534,0.000240,31.2
13,5.517257,7.9597,0.005638,0.2559,0.000260,34.0
14,5.509328,7.9483,0.005815,0.2560,0.000280,36.5
15,5.496908,7.9304,0.014879,0.2546,0.000300,39.1
16,5.492257,7.9237,0.026851,0.2569,0.000320,41.7
17,5.483401,7.9109,0.046007,0.2595,0.000340,44.1
18,5.475020,7.8988,0.049035,0.2612,0.000360,46.7
19,5.466020,7.8858,0.067588,0.2639,0.000380,49.9
20,5.465453,7.8850,0.072494,0.2591,0.000400,52.6
21,5.455675,7.8709,0.077488,0.2634,0.000420,55.2
22,5.440640,7.8492,0.079357,0.2721,0.000440,57.6
23,5.428206,7.8313,0.082180,0.2781,0.000460,60.1
24,5.411815,7.8076,0.093969,0.2809,0.000480,62.7
25,5.411596,7.8073,0.103943,0.2917,0.000500,65.3
26,5.398099,7.7878,0.107455,0.2942,0.000520,67.8
27,5.373520,7.7524,0.115037,0.3011,0.000540,70.3
28,5.361164,7.7346,0.121305,0.2973,0.000560,72.8
29,5.354306,7.7247,0.125534,0.3129,0.000580,75.3
30,5.347156,7.7143,0.130190,0.2979,0.000600,77.8
31,5.323740,7.6806,0.133811,0.3077,0.000620,80.6
32,5.309987,7.6607,0.130971,0.3198,0.000640,83.2
33,5.298710,7.6444,0.130739,0.3185,0.000660,85.7
34,5.293140,7.6364,0.131215,0.3248,0.000680,88.3
35,5.269926,7.6029,0.133333,0.3133,0.000700,90.8
36,5.237195,7.5557,0.133129,0.3091,0.000720,93.5
37,5.220139,7.5311,0.132582,0.3237,0.000740,96.2
38,5.219717,7.5305,0.131349,0.3136,0.000760,98.7
39,5.196195,7.4966,0.130398,0.3139,0.000780,101.2
40,5.189156,7.4864,0.130077,0.3101,0.000800,103.8
41,5.154338,7.4362,0.134119,0.3204,0.000820,106.3
42,5.155313,7.4376,0.136138,0.3031,0.000840,108.9
43,5.124454,7.3931,0.133641,0.3157,0.000860,111.6
44,5.111563,7.3745,0.132819,0.3070,0.000880,114.1
45,5.094880,7.3504,0.130910,0.3102,0.000900,116.7
46,5.075080,7.3218,0.136480,0.3011,0.000920,119.1
47,5.058921,7.2985,0.133094,0.3069,0.000940,121.7
48,5.049817,7.2854,0.128442,0.2984,0.000960,124.3
49,5.033468,7.2618,0.130056,0.2897,0.000980,126.9
50,5.010053,7.2280,0.131520,0.2925,0.001000,129.4
51,5.010357,7.2284,0.130665,0.2839,0.001000,132.0
52,4.981837,7.1873,0.131520,0.2899,0.001000,134.6
53,4.963418,7.1607,0.133436,0.2857,0.001000,137.2
54,4.960276,7.1562,0.130836,0.2864,0.001000,139.7
55,4.940202,7.1272,0.134632,0.2832,0.001000,142.5
56,4.918616,7.0961,0.135796,0.2845,0.001000,145.1
57,4.906022,7.0779,0.137195,0.2804,0.001000,147.7
58,4.911397,7.0857,0.134119,0.2858,0.001000,150.3
59,4.886271,7.0494,0.136480,0.2798,0.001000,152.9
60,4.861383,7.0135,0.140809,0.2677,0.001000,155.5
61,4.848287,6.9946,0.138078,0.2556,0.001000,158.3
62,4.830816,6.9694,0.138191,0.2488,0.001000,160.8
63,4.833468,6.9732,0.134494,0.2416,0.001000,163.4
64,4.818184,6.9512,0.134941,0.2458,0.001000,166.0
65,4.817228,6.9498,0.133231,0.2368,0.001000,168.5
66,4.790157,6.9108,0.135828,0.2337,0.001000,171.0
67,4.770905,6.8830,0.138761,0.2307,0.001000,173.9
68,4.766649,6.8768,0.142270,0.2247,0.001000,176.5
69,4.770078,6.8818,0.141321,0.2026,0.001000,179.0
70,4.769042,6.8803,0.136590,0.2024,0.001000,181.6
71,4.755029,6.8601,0.139794,0.2122,0.001000,184.1
72,4.753682,6.8581,0.140123,0.1995,0.001000,186.6
73,4.748888,6.8512,0.142295,0.2025,0.001000,189.2
74,4.736696,6.8336,0.140045,0.2030,0.001000,191.7
75,4.723802,6.8150,0.139983,0.2041,0.001000,194.3
76,4.720396,6.8101,0.137990,0.1759,0.001000,196.9
77,4.709626,6.7946,0.136651,0.1811,0.001000,199.5
78,4.706217,6.7897,0.137419,0.1866,0.001000,202.0
79,4.701170,6.7824,0.141100,0.2198,0.001000,204.7
80,4.702747,6.7847,0.135593,0.2218,0.001000,207.2
81,4.712418,6.7986,0.138220,0.2293,0.001000,209.7
82,4.704902,6.7878,0.133915,0.2208,0.001000,212.2
