step,loss,bpc,acc,gnorm,lr,elapsed_s
1,5.549268,8.0059,0.002685,0.2622,0.000020,2.3
2,5.551811,8.0096,0.003091,0.2636,0.000040,4.7
3,5.551923,8.0098,0.001876,0.2769,0.000060,7.2
4,5.545682,8.0008,0.002734,0.2693,0.000080,9.8
5,5.541860,7.9952,0.004105,0.2727,0.000100,12.3
6,5.541787,7.9951,0.002563,0.2640,0.000120,14.7
7,5.541668,7.9950,0.004442,0.2731,0.000140,17.2
8,5.532462,7.9817,0.003253,0.2660,0.000160,19.7
9,5.529366,7.9772,0.004608,0.2568,0.000180,22.1
10,5.519097,7.9624,0.003759,0.2647,0.000200,24.7
11,5.518834,7.9620,0.007696,0.2609,0.000220,27.1
12,5.506557,7.9443,0.007696,0.2562,0.000240,29.6
13,5.505349,7.9426,0.015889,0.2582,0.000260,32.1
14,5.496183,7.9293,0.028733,0.2593,0.000280,34.6
15,5.481127,7.9076,0.038481,0.2600,0.000300,37.0
16,5.475327,7.8993,0.050111,0.2640,0.000320,39.5
17,5.464021,7.8829,0.055071,0.2671,0.000340,42.1
18,5.450831,7.8639,0.066120,0.2686,0.000360,44.6
19,5.440231,7.8486,0.072879,0.2737,0.000380,47.0
20,5.439065,7.8469,0.085861,0.2690,0.000400,49.4
21,5.425057,7.8267,0.096945,0.2761,0.000420,51.9
22,5.409029,7.8036,0.099367,0.2893,0.000440,54.4
23,5.393071,7.7806,0.103537,0.2963,0.000460,56.8
24,5.375592,7.7554,0.108321,0.2963,0.000480,59.5
25,5.374023,7.7531,0.111452,0.3078,0.000500,62.0
26,5.357335,7.7290,0.118252,0.3083,0.000520,64.4
27,5.329996,7.6896,0.122376,0.3130,0.000540,66.9
28,5.319212,7.6740,0.122501,0.3060,0.000560,69.4
29,5.307107,7.6566,0.122456,0.3220,0.000580,71.9
30,5.301222,7.6481,0.124039,0.3072,0.000600,74.6
31,5.278167,7.6148,0.128691,0.3131,0.000620,77.3
32,5.262743,7.5926,0.130800,0.3234,0.000640,79.9
33,5.252058,7.5771,0.131592,0.3265,0.000660,82.4
34,5.243304,7.5645,0.131556,0.3267,0.000680,84.9
35,5.222441,7.5344,0.134190,0.3189,0.000700,87.4
36,5.191002,7.4891,0.132787,0.3206,0.000720,89.9
37,5.168631,7.4568,0.132582,0.3328,0.000740,92.4
38,5.166418,7.4536,0.129639,0.3211,0.000760,95.1
39,5.142547,7.4192,0.130910,0.3215,0.000780,97.5
40,5.131814,7.4037,0.134362,0.3178,0.000800,100.0
41,5.094998,7.3506,0.138561,0.3260,0.000820,102.5
42,5.096502,7.3527,0.141269,0.3126,0.000840,104.9
43,5.054829,7.2926,0.139785,0.3287,0.000860,107.4
44,5.038693,7.2693,0.141388,0.3240,0.000880,109.9
45,5.028435,7.2545,0.138932,0.3336,0.000900,112.5
46,5.001344,7.2154,0.140756,0.3173,0.000920,115.0
47,4.980885,7.1859,0.137536,0.3189,0.000940,117.4
48,4.973311,7.1750,0.133573,0.3255,0.000960,119.9
49,4.951304,7.1432,0.131763,0.3025,0.000980,122.3
50,4.923392,7.1030,0.134086,0.3000,0.001000,124.8
51,4.918333,7.0957,0.136480,0.3029,0.001000,127.3
52,4.890693,7.0558,0.136651,0.3151,0.001000,129.9
53,4.881272,7.0422,0.138391,0.2745,0.001000,132.4
54,4.868771,7.0242,0.135967,0.2747,0.001000,134.9
55,4.857996,7.0086,0.134461,0.2849,0.001000,137.4
56,4.841267,6.9845,0.132889,0.2746,0.001000,139.9
57,4.827221,6.9642,0.136340,0.2492,0.001000,142.5
58,4.825483,6.9617,0.135315,0.2367,0.001000,145.0
59,4.807932,6.9364,0.135796,0.2285,0.001000,147.7
60,4.789548,6.9099,0.137737,0.2257,0.001000,150.1
61,4.781843,6.8988,0.137737,0.2252,0.001000,152.6
62,4.764927,6.8744,0.140414,0.2163,0.001000,155.1
63,4.761337,6.8692,0.137566,0.2044,0.001000,157.7
64,4.750129,6.8530,0.139388,0.2027,0.001000,160.3
65,4.749175,6.8516,0.138191,0.1951,0.001000,162.7
66,4.729989,6.8240,0.138049,0.1989,0.001000,165.3
67,4.712518,6.7988,0.143369,0.1954,0.001000,167.9
68,4.703634,6.7859,0.144667,0.1982,0.001000,170.3
69,4.714565,6.8017,0.142004,0.1841,0.001000,172.8
70,4.719414,6.8087,0.140874,0.1840,0.001000,175.2
71,4.694277,6.7724,0.142539,0.1817,0.001000,177.9
72,4.695157,6.7737,0.142345,0.1698,0.001000,181.0
73,4.692629,6.7701,0.145203,0.1752,0.001000,183.6
74,4.674006,6.7432,0.142270,0.1670,0.001000,186.0
75,4.669464,6.7366,0.143905,0.1769,0.001000,188.5
76,4.666916,6.7330,0.143469,0.1575,0.001000,191.1
77,4.663763,6.7284,0.143321,0.1635,0.001000,193.6
78,4.661019,6.7245,0.141516,0.1552,0.001000,196.2
79,4.645378,6.7019,0.147079,0.1713,0.001000,198.8
80,4.647655,6.7052,0.142955,0.1614,0.001000,201.5
81,4.655186,6.7160,0.144712,0.1573,0.001000,204.1
82,4.647039,6.7043,0.142124,0.1479,0.001000,206.6
83,4.632985,6.6840,0.147084,0.1479,0.001000,209.1
84,4.630366,6.6802,0.144735,0.1449,0.001000,211.7
85,4.632953,6.6840,0.143345,0.1460,0.001000,214.1
86,4.648234,6.7060,0.145308,0.1450,0.001000,216.6
87,4.630722,6.6807,0.142711,0.1330,0.001000,219.3
88,4.638824,6.6924,0.143469,0.1393,0.001000,222.0
89,4.628615,6.6777,0.141684,0.1291,0.001000,224.5
90,4.631399,6.6817,0.146154,0.1349,0.001000,227.2
91,4.622162,6.6684,0.147465,0.1393,0.001000,229.8
92,4.621912,6.6680,0.143764,0.1288,0.001000,232.4
93,4.602589,6.6402,0.142345,0.1327,0.001000,234.9
94,4.612734,6.6548,0.144541,0.1269,0.001000,237.6
95,4.612831,6.6549,0.143516,0.1292,0.001000,240.1
96,4.611811,6.6535,0.144302,0.1302,0.001000,242.6
97,4.608632,6.6489,0.146058,0.1272,0.001000,245.1
98,4.612730,6.6548,0.144987,0.1272,0.001000,247.6
99,4.592077,6.6250,0.145780,0.1293,0.001000,250.1
100,4.591987,6.6249,0.149290,0.1323,0.001000,252.7
101,4.596172,6.6309,0.150676,0.1344,0.001000,255.2
102,4.619689,6.6648,0.150129,0.1393,0.001000,257.8
103,4.612215,6.6540,0.154109,0.1473,0.001000,260.2
104,4.597738,6.6332,0.146037,0.1317,0.001000,262.7
105,4.594009,6.6278,0.147315,0.1225,0.001000,265.2
106,4.596437,6.6313,0.152885,0.1262,0.001000,267.7
107,4.599179,6.6352,0.151328,0.1233,0.001000,270.2
108,4.581548,6.6098,0.151391,0.1291,0.001000,272.8
109,4.582055,6.6105,0.153098,0.1167,0.001000,275.4
110,4.582376,6.6110,0.158175,0.1261,0.001000,277.8
111,4.598734,6.6346,0.146953,0.1222,0.001000,280.3
112,4.588740,6.6202,0.148605,0.1147,0.001000,282.7
113,4.577600,6.6041,0.146913,0.1169,0.001000,285.2
114,4.576941,6.6032,0.148490,0.1149,0.001000,287.7
115,4.582551,6.6112,0.150179,0.1165,0.001000,290.3
116,4.598055,6.6336,0.151656,0.1277,0.001000,292.7
117,4.592737,6.6259,0.146421,0.1193,0.001000,295.3
118,4.568769,6.5914,0.150676,0.1162,0.001000,297.8
119,4.578186,6.6049,0.149100,0.1142,0.001000,300.4
120,4.559618,6.5782,0.151810,0.1149,0.001000,302.8
121,4.593906,6.6276,0.150908,0.1223,0.001000,305.3
122,4.555816,6.5727,0.155293,0.1139,0.001000,308.0
123,4.613807,6.6563,0.147617,0.1381,0.001000,310.6
124,4.573421,6.5981,0.150643,0.1189,0.001000,313.1
125,4.566162,6.5876,0.153412,0.1144,0.001000,315.5
126,4.577306,6.6037,0.152014,0.1170,0.001000,318.0
127,4.592955,6.6263,0.153728,0.1255,0.001000,320.6
128,4.562824,6.5828,0.153241,0.1195,0.001000,323.2
129,4.577320,6.6037,0.152059,0.1234,0.001000,325.8
130,4.565439,6.5866,0.155464,0.1200,0.001000,328.3
131,4.564249,6.5848,0.155762,0.1196,0.001000,330.8
132,4.576382,6.6023,0.151562,0.1212,0.001000,333.2
133,4.552900,6.5685,0.156491,0.1148,0.001000,335.8
134,4.568933,6.5916,0.150985,0.1121,0.001000,338.2
135,4.577968,6.6046,0.152074,0.1095,0.001000,340.7
136,4.557520,6.5751,0.152200,0.1100,0.001000,343.3
137,4.557872,6.5756,0.149632,0.1155,0.001000,345.8
138,4.550341,6.5648,0.154768,0.1145,0.001000,348.3
139,4.552999,6.5686,0.152244,0.1047,0.001000,350.7
140,4.530084,6.5356,0.157155,0.1125,0.001000,353.2
141,4.573333,6.5979,0.151189,0.1187,0.001000,355.7
142,4.539568,6.5492,0.158551,0.1122,0.001000,358.4
143,4.564107,6.5846,0.146379,0.1161,0.001000,361.1
144,4.555777,6.5726,0.151686,0.1102,0.001000,363.7
145,4.539166,6.5487,0.153610,0.1161,0.001000,366.1
146,4.547999,6.5614,0.151468,0.1093,0.001000,368.5
147,4.551270,6.5661,0.156833,0.1059,0.001000,371.0
148,4.543476,6.5549,0.155305,0.1124,0.001000,373.5
149,4.543915,6.5555,0.155624,0.1108,0.001000,376.0
150,4.551280,6.5661,0.153084,0.1076,0.001000,378.6
151,4.538543,6.5478,0.154451,0.1190,0.001000,381.2
152,4.524442,6.5274,0.155087,0.1103,0.001000,383.7
153,4.547980,6.5614,0.154109,0.1217,0.001000,386.2
154,4.553664,6.5696,0.154438,0.1154,0.001000,388.7
155,4.560080,6.5788,0.152371,0.1153,0.001000,391.2
156,4.550893,6.5656,0.153426,0.1276,0.001000,393.6
157,4.553291,6.5690,0.152029,0.1170,0.001000,396.2
158,4.533772,6.5409,0.151157,0.1039,0.001000,398.8
159,4.541051,6.5514,0.153439,0.1163,0.001000,401.3
160,4.546953,6.5599,0.153741,0.1098,0.001000,403.8
161,4.542400,6.5533,0.155430,0.1155,0.001000,406.2
162,4.546423,6.5591,0.153056,0.1182,0.001000,408.7
163,4.544250,6.5560,0.153767,0.1160,0.001000,411.2
164,4.549952,6.5642,0.154375,0.1194,0.001000,413.7
165,4.545972,6.5585,0.155305,0.1177,0.001000,416.2
166,4.562807,6.5828,0.153028,0.1112,0.001000,418.6
167,4.537828,6.5467,0.151702,0.1139,0.001000,421.3
168,4.537571,6.5464,0.153570,0.1169,0.001000,423.7
169,4.535726,6.5437,0.157535,0.1162,0.001000,426.3
170,4.540748,6.5509,0.154927,0.1156,0.001000,428.8
171,4.543187,6.5545,0.152927,0.1088,0.001000,431.6
172,4.535435,6.5433,0.159897,0.1085,0.001000,434.1
173,4.544505,6.5564,0.154927,0.0998,0.001000,436.6
174,4.524256,6.5271,0.157346,0.1294,0.001000,439.0
175,4.542503,6.5535,0.151827,0.1161,0.001000,441.6
176,4.537584,6.5464,0.154584,0.1095,0.001000,444.1
177,4.536098,6.5442,0.153662,0.1060,0.001000,446.5
178,4.545810,6.5582,0.156930,0.1093,0.001000,449.1
179,4.534621,6.5421,0.157336,0.1087,0.001000,451.7
180,4.527144,6.5313,0.156511,0.1024,0.001000,454.2
181,4.537743,6.5466,0.151732,0.1009,0.001000,456.8
182,4.527773,6.5322,0.152185,0.1019,0.001000,459.5
183,4.541117,6.5515,0.152059,0.0942,0.001000,462.2
184,4.513012,6.5109,0.153583,0.1028,0.001000,464.8
185,4.532484,6.5390,0.154083,0.1004,0.001000,467.4
186,4.536624,6.5450,0.152913,0.0988,0.001000,470.0
187,4.533562,6.5406,0.153241,0.0927,0.001000,472.7
188,4.542335,6.5532,0.151484,0.1112,0.001000,475.2
189,4.523101,6.5255,0.154646,0.1071,0.001000,477.7
190,4.524312,6.5272,0.155609,0.1004,0.001000,480.3
191,4.525417,6.5288,0.152412,0.1017,0.001000,482.8
192,4.517230,6.5170,0.159405,0.0966,0.001000,485.4
193,4.525815,6.5294,0.154280,0.0989,0.001000,488.2
194,4.529628,6.5349,0.156116,0.1041,0.001000,491.0
195,4.524747,6.5279,0.152244,0.1170,0.001000,493.5
196,4.518345,6.5186,0.152215,0.0952,0.001000,495.9
197,4.522747,6.5250,0.154254,0.0975,0.001000,498.4
198,4.527105,6.5313,0.159048,0.1058,0.001000,500.9
199,4.534206,6.5415,0.155829,0.1190,0.001000,503.6
200,4.516842,6.5164,0.152155,0.1187,0.001000,506.1
201,4.516068,6.5153,0.152415,0.1231,0.001000,508.6
202,4.514044,6.5124,0.156833,0.1102,0.001000,511.2
203,4.517690,6.5177,0.158380,0.1078,0.001000,513.7
204,4.516047,6.5153,0.155134,0.1100,0.001000,516.2
205,4.510953,6.5080,0.153570,0.1383,0.001000,518.7
206,4.514258,6.5127,0.154057,0.1409,0.001000,521.5
207,4.508505,6.5044,0.157204,0.1140,0.001000,523.9
208,4.511741,6.5091,0.160212,0.1172,0.001000,526.4
209,4.527618,6.5320,0.156839,0.1156,0.001000,528.9
210,4.514352,6.5129,0.151531,0.1370,0.001000,531.5
211,4.506536,6.5016,0.155977,0.1328,0.001000,533.9
212,4.517087,6.5168,0.151531,0.1063,0.001000,536.5
213,4.518908,6.5194,0.159576,0.0931,0.001000,539.3
214,4.520039,6.5211,0.157013,0.1226,0.001000,541.9
215,4.516582,6.5161,0.156843,0.1399,0.001000,544.5
216,4.525507,6.5289,0.154070,0.1088,0.001000,547.0
217,4.539286,6.5488,0.158730,0.1069,0.001000,549.5
218,4.522028,6.5239,0.157967,0.1116,0.001000,552.1
219,4.507406,6.5028,0.158792,0.1078,0.001000,554.5
220,4.508484,6.5044,0.156843,0.1155,0.001000,557.1
221,4.512803,6.5106,0.158722,0.1089,0.001000,559.7
222,4.509653,6.5061,0.152899,0.1149,0.001000,562.3
223,4.524220,6.5271,0.152189,0.1106,0.001000,564.9
224,4.506364,6.5013,0.156175,0.1074,0.001000,567.4
225,4.530419,6.5360,0.157669,0.1129,0.001000,569.9
226,4.516514,6.5160,0.163671,0.1091,0.001000,572.4
227,4.515298,6.5142,0.154792,0.1065,0.001000,575.1
228,4.521016,6.5225,0.154634,0.1112,0.001000,577.6
229,4.506876,6.5021,0.153610,0.1161,0.001000,580.2
230,4.513521,6.5117,0.159376,0.1255,0.001000,582.8
231,4.506872,6.5021,0.156341,0.1103,0.001000,585.3
232,4.501084,6.4937,0.156159,0.1089,0.001000,587.9
233,4.520668,6.5220,0.154438,0.1211,0.001000,590.5
234,4.516322,6.5157,0.157850,0.1154,0.001000,593.1
235,4.523858,6.5266,0.149684,0.1180,0.001000,595.7
236,4.508669,6.5047,0.154083,0.1102,0.001000,598.4
237,4.493748,6.4831,0.151903,0.1170,0.001000,601.2
238,4.495671,6.4859,0.158534,0.1021,0.001000,603.7
239,4.514468,6.5130,0.158714,0.1072,0.001000,606.3
240,4.501474,6.4943,0.158218,0.1213,0.001000,608.7
241,4.499681,6.4917,0.158885,0.1225,0.001000,611.5
242,4.509391,6.5057,0.157678,0.1024,0.001000,613.9
243,4.521230,6.5228,0.156170,0.1139,0.001000,616.4
244,4.518674,6.5191,0.153596,0.1177,0.001000,618.8
245,4.503154,6.4967,0.161611,0.1234,0.001000,621.4
246,4.505836,6.5006,0.154122,0.1221,0.001000,623.9
247,4.504081,6.4980,0.156330,0.1183,0.001000,626.4
248,4.516820,6.5164,0.154768,0.1087,0.001000,629.0
249,4.521302,6.5229,0.155146,0.1156,0.001000,631.5
250,4.495833,6.4861,0.158869,0.1066,0.001000,634.0
251,4.510749,6.5077,0.158021,0.1078,0.001000,636.6
252,4.498284,6.4897,0.152415,0.1024,0.001000,639.0
253,4.497718,6.4889,0.155346,0.1080,0.001000,641.5
254,4.496354,6.4869,0.154715,0.1196,0.001000,644.0
255,4.514018,6.5124,0.155999,0.1184,0.001000,646.7
256,4.500248,6.4925,0.155464,0.1119,0.001000,649.3
257,4.511925,6.5094,0.156148,0.1075,0.001000,651.9
258,4.489450,6.4769,0.158047,0.1177,0.001000,654.3
259,4.509592,6.5060,0.157255,0.1091,0.001000,656.8
260,4.504689,6.4989,0.161871,0.1349,0.001000,659.3
261,4.495595,6.4858,0.157023,0.1069,0.001000,661.9
262,4.485744,6.4716,0.166069,0.1120,0.001000,664.7
263,4.483943,6.4690,0.165896,0.1213,0.001000,667.1
264,4.476007,6.4575,0.161120,0.1172,0.001000,669.6
265,4.478225,6.4607,0.162144,0.1150,0.001000,672.2
266,4.476094,6.4577,0.164355,0.1211,0.001000,674.6
267,4.499335,6.4912,0.166069,0.1473,0.001000,677.1
268,4.509868,6.5064,0.155476,0.1151,0.001000,679.6
269,4.476452,6.4582,0.164869,0.0994,0.001000,682.3
270,4.473909,6.4545,0.169483,0.0973,0.001000,684.7
271,4.521172,6.5227,0.153767,0.1268,0.001000,687.1
272,4.514191,6.5126,0.157822,0.1271,0.001000,689.6
273,4.511374,6.5086,0.154987,0.1226,0.001000,692.1
274,4.497805,6.4890,0.155977,0.1107,0.001000,694.7
275,4.504926,6.4993,0.156641,0.1128,0.001000,697.3
276,4.490868,6.4790,0.157517,0.1052,0.001000,700.1
277,4.493230,6.4824,0.154463,0.1037,0.001000,702.7
278,4.484660,6.4700,0.158201,0.1122,0.001000,705.2
279,4.493917,6.4834,0.159584,0.1030,0.001000,707.7
280,4.482328,6.4667,0.163836,0.1071,0.001000,710.2
281,4.486220,6.4723,0.159918,0.1127,0.001000,712.8
282,4.497816,6.4890,0.157526,0.1082,0.001000,715.3
283,4.487534,6.4742,0.158722,0.1013,0.001000,717.9
284,4.493884,6.4833,0.158192,0.1148,0.001000,720.4
285,4.507651,6.5032,0.155096,0.1450,0.001000,723.0
286,4.491453,6.4798,0.156859,0.0990,0.001000,725.6
287,4.503250,6.4968,0.161627,0.1054,0.001000,728.0
288,4.504101,6.4981,0.160266,0.1213,0.001000,730.6
289,4.485568,6.4713,0.159918,0.1291,0.001000,733.1
290,4.488010,6.4749,0.161606,0.1051,0.001000,735.9
291,4.484598,6.4699,0.165727,0.1072,0.001000,738.4
292,4.488391,6.4754,0.154792,0.1186,0.001000,740.9
293,4.495127,6.4851,0.154963,0.1074,0.001000,743.4
294,4.483508,6.4684,0.155795,0.1173,0.001000,745.9
295,4.473167,6.4534,0.160949,0.1139,0.001000,748.4
296,4.474728,6.4557,0.161279,0.1187,0.001000,750.9
297,4.493276,6.4824,0.159932,0.1208,0.001000,753.5
298,4.477931,6.4603,0.164529,0.1233,0.001000,756.0
299,4.479991,6.4633,0.165555,0.1007,0.001000,758.5
300,4.486192,6.4722,0.159405,0.1044,0.001000,761.1
301,4.462997,6.4388,0.163509,0.0989,0.001000,763.7
302,4.485439,6.4711,0.159212,0.1001,0.001000,766.2
303,4.500496,6.4929,0.160424,0.1107,0.001000,768.7
304,4.493605,6.4829,0.160240,0.1191,0.001000,771.5
305,4.490061,6.4778,0.157336,0.0994,0.001000,773.9
306,4.502285,6.4954,0.158877,0.1043,0.001000,776.4
307,4.497247,6.4882,0.160424,0.1055,0.001000,779.0
308,4.507005,6.5023,0.160075,0.1190,0.001000,781.5
309,4.498931,6.4906,0.159584,0.1177,0.001000,784.0
310,4.493142,6.4823,0.162134,0.1214,0.001000,786.6
311,4.498372,6.4898,0.159904,0.1117,0.001000,789.4
312,4.490661,6.4787,0.158192,0.1123,0.001000,792.0
313,4.495211,6.4852,0.154438,0.1089,0.001000,794.5
314,4.493977,6.4835,0.156309,0.1097,0.001000,797.4
315,4.485171,6.4708,0.160443,0.1095,0.001000,800.3
316,4.493828,6.4832,0.157841,0.1089,0.001000,802.8
317,4.474524,6.4554,0.160583,0.1099,0.001000,805.3
318,4.494009,6.4835,0.164531,0.1190,0.001000,808.0
319,4.481337,6.4652,0.161792,0.1132,0.001000,810.6
320,4.474296,6.4551,0.160424,0.1029,0.001000,813.1
321,4.506835,6.5020,0.157545,0.0977,0.001000,815.6
322,4.482840,6.4674,0.163668,0.1053,0.001000,818.0
323,4.476555,6.4583,0.163325,0.1110,0.001000,820.6
324,4.496977,6.4878,0.163335,0.1246,0.001000,823.0
325,4.494929,6.4848,0.162993,0.1201,0.001000,825.7
326,4.500779,6.4933,0.163668,0.1249,0.001000,828.2
327,4.496372,6.4869,0.165045,0.1199,0.001000,830.7
328,4.486606,6.4728,0.166581,0.1237,0.001000,833.1
329,4.506053,6.5009,0.163496,0.1265,0.001000,835.6
330,4.513367,6.5114,0.164184,0.1133,0.001000,838.1
331,4.476695,6.4585,0.170507,0.1177,0.001000,840.6
332,4.482147,6.4664,0.161274,0.1128,0.001000,843.3
333,4.494044,6.4836,0.162986,0.1145,0.001000,846.1
334,4.475652,6.4570,0.164360,0.1013,0.001000,848.7
335,4.489753,6.4774,0.167607,0.1167,0.001000,851.3
336,4.489416,6.4769,0.165213,0.1105,0.001000,853.8
337,4.495906,6.4862,0.162639,0.1159,0.001000,856.3
338,4.473191,6.4535,0.156319,0.1134,0.001000,858.8
339,4.487830,6.4746,0.158730,0.1120,0.001000,861.6
340,4.507757,6.5033,0.157859,0.1164,0.001000,864.1
