step,loss,bpc,acc,gnorm,lr,elapsed_s
1,5.549248,8.0059,0.002685,0.2619,0.000020,2.4
2,5.551602,8.0093,0.003091,0.2630,0.000040,4.9
3,5.552800,8.0110,0.001364,0.2753,0.000060,7.6
4,5.546811,8.0024,0.001879,0.2677,0.000080,10.2
5,5.542373,7.9960,0.004105,0.2709,0.000100,12.8
6,5.543052,7.9970,0.002734,0.2626,0.000120,15.5
7,5.543326,7.9974,0.005296,0.2727,0.000140,18.1
8,5.534567,7.9847,0.003424,0.2645,0.000160,20.7
9,5.532269,7.9814,0.003755,0.2564,0.000180,23.5
10,5.522292,7.9670,0.003588,0.2630,0.000200,26.1
11,5.523513,7.9688,0.005473,0.2603,0.000220,28.7
12,5.511873,7.9520,0.005644,0.2538,0.000240,31.3
13,5.512158,7.9524,0.006151,0.2568,0.000260,34.1
14,5.503270,7.9396,0.004960,0.2564,0.000280,36.7
15,5.489910,7.9203,0.017103,0.2568,0.000300,39.4
16,5.484428,7.9124,0.038310,0.2590,0.000320,42.0
17,5.474229,7.8977,0.051308,0.2619,0.000340,44.7
18,5.462001,7.8800,0.065949,0.2637,0.000360,47.4
19,5.451529,7.8649,0.069466,0.2668,0.000380,50.3
20,5.450210,7.8630,0.081748,0.2645,0.000400,53.0
21,5.435685,7.8421,0.094555,0.2695,0.000420,55.7
22,5.418535,7.8173,0.096118,0.2817,0.000440,58.4
23,5.401843,7.7932,0.109004,0.2878,0.000460,61.0
24,5.384518,7.7682,0.113788,0.2899,0.000480,63.7
25,5.384753,7.7686,0.118109,0.3042,0.000500,66.4
26,5.370313,7.7478,0.124079,0.3069,0.000520,69.3
27,5.342038,7.7070,0.127496,0.3089,0.000540,72.0
28,5.329649,7.6891,0.128481,0.3060,0.000560,74.7
29,5.317043,7.6709,0.129639,0.3181,0.000580,77.4
30,5.310698,7.6617,0.133094,0.3061,0.000600,80.4
31,5.285155,7.6249,0.133641,0.3116,0.000620,83.3
32,5.268434,7.6008,0.130800,0.3232,0.000640,86.1
33,5.257899,7.5856,0.131251,0.3232,0.000660,88.8
34,5.248775,7.5724,0.131044,0.3233,0.000680,91.4
35,5.228789,7.5436,0.134876,0.3139,0.000700,94.2
36,5.196521,7.4970,0.134153,0.3179,0.000720,96.9
37,5.176898,7.4687,0.133607,0.3322,0.000740,99.6
