step,loss,bpc,acc,gnorm,lr,elapsed_s
1,5.548843,8.0053,0.002349,0.2627,0.000020,2.4
2,5.551407,8.0090,0.003435,0.2632,0.000040,5.1
3,5.551931,8.0098,0.001705,0.2754,0.000060,7.9
4,5.547336,8.0031,0.001709,0.2681,0.000080,10.6
5,5.542228,7.9958,0.004105,0.2706,0.000100,13.3
6,5.542097,7.9956,0.002563,0.2620,0.000120,15.9
7,5.542889,7.9967,0.003930,0.2732,0.000140,18.7
8,5.534488,7.9846,0.003766,0.2641,0.000160,21.4
9,5.532933,7.9824,0.003584,0.2567,0.000180,24.0
10,5.523778,7.9692,0.003417,0.2633,0.000200,26.7
11,5.524083,7.9696,0.004789,0.2599,0.000220,29.4
12,5.513491,7.9543,0.006670,0.2536,0.000240,32.0
13,5.513012,7.9536,0.004784,0.2552,0.000260,34.8
14,5.505041,7.9421,0.004960,0.2559,0.000280,37.5
15,5.492475,7.9240,0.016932,0.2557,0.000300,40.3
16,5.488149,7.9178,0.028733,0.2582,0.000320,43.0
17,5.479388,7.9051,0.042244,0.2595,0.000340,45.7
18,5.468621,7.8896,0.064241,0.2622,0.000360,48.4
19,5.458638,7.8752,0.065370,0.2645,0.000380,51.2
20,5.458351,7.8748,0.071808,0.2607,0.000400,53.8
21,5.445071,7.8556,0.075439,0.2649,0.000420,56.5
22,5.431669,7.8363,0.076963,0.2756,0.000440,59.3
23,5.416132,7.8139,0.089356,0.2827,0.000460,62.1
24,5.397327,7.7867,0.097044,0.2841,0.000480,64.9
25,5.398900,7.7890,0.102919,0.2976,0.000500,67.8
26,5.385210,7.7692,0.109854,0.2989,0.000520,70.4
27,5.357988,7.7300,0.117426,0.3045,0.000540,73.2
28,5.344669,7.7108,0.115325,0.3012,0.000560,75.9
29,5.336544,7.6990,0.120233,0.3190,0.000580,78.6
30,5.330428,7.6902,0.124722,0.3028,0.000600,81.3
31,5.307320,7.6569,0.124765,0.3102,0.000620,84.2
32,5.292509,7.6355,0.122239,0.3215,0.000640,87.0
33,5.282967,7.6217,0.123059,0.3205,0.000660,89.7
34,5.276047,7.6118,0.123697,0.3251,0.000680,92.5
35,5.250759,7.5753,0.125278,0.3127,0.000700,95.2
36,5.221670,7.5333,0.132104,0.3111,0.000720,97.8
37,5.204897,7.5091,0.132069,0.3256,0.000740,100.7
38,5.203728,7.5074,0.129981,0.3125,0.000760,103.4
39,5.181397,7.4752,0.130056,0.3149,0.000780,106.1
40,5.172965,7.4630,0.129906,0.3082,0.000800,108.9
41,5.136315,7.4102,0.133094,0.3176,0.000820,111.5
42,5.141672,7.4179,0.134770,0.3017,0.000840,114.4
43,5.108514,7.3701,0.131763,0.3142,0.000860,117.2
44,5.096612,7.3529,0.130420,0.3072,0.000880,119.9
45,5.079979,7.3289,0.130056,0.3089,0.000900,122.6
46,5.057504,7.2965,0.133573,0.3023,0.000920,125.3
47,5.043169,7.2758,0.133778,0.3052,0.000940,128.0
48,5.035534,7.2648,0.128784,0.2998,0.000960,130.8
49,5.020760,7.2435,0.133299,0.2905,0.000980,134.2
50,4.990294,7.1995,0.133402,0.2961,0.001000,136.8
51,4.995455,7.2069,0.131862,0.2872,0.001000,139.5
52,4.965215,7.1633,0.132205,0.2896,0.001000,142.2
53,4.946908,7.1369,0.135486,0.2916,0.001000,144.9
54,4.943737,7.1323,0.132376,0.2871,0.001000,147.6
55,4.922585,7.1018,0.133948,0.2850,0.001000,150.5
56,4.902663,7.0731,0.138704,0.2857,0.001000,153.3
57,4.887535,7.0512,0.138220,0.2789,0.001000,156.1
58,4.895648,7.0630,0.132923,0.2767,0.001000,158.8
59,4.869623,7.0254,0.135454,0.2701,0.001000,161.6
60,4.846584,6.9922,0.136201,0.2580,0.001000,164.3
61,4.832978,6.9725,0.136371,0.2497,0.001000,167.2
62,4.817801,6.9506,0.136138,0.2462,0.001000,169.9
63,4.817804,6.9506,0.133470,0.2331,0.001000,172.5
64,4.799794,6.9247,0.134428,0.2236,0.001000,175.3
65,4.797826,6.9218,0.133744,0.2124,0.001000,178.0
66,4.774544,6.8882,0.139416,0.2157,0.001000,180.8
67,4.763997,6.8730,0.139102,0.2218,0.001000,183.8
68,4.756597,6.8623,0.141585,0.2169,0.001000,186.5
69,4.758773,6.8655,0.136030,0.1947,0.001000,189.3
70,4.760388,6.8678,0.133505,0.2002,0.001000,192.0
71,4.745265,6.8460,0.135334,0.2130,0.001000,194.8
72,4.744103,6.8443,0.133459,0.2110,0.001000,197.5
73,4.735403,6.8318,0.135796,0.2048,0.001000,200.4
74,4.714325,6.8014,0.135080,0.1857,0.001000,203.0
75,4.703517,6.7858,0.136743,0.1866,0.001000,205.7
76,4.706046,6.7894,0.138675,0.1698,0.001000,208.4
77,4.702835,6.7848,0.142295,0.1832,0.001000,211.0
78,4.701657,6.7831,0.143906,0.1790,0.001000,213.8
79,4.681401,6.7539,0.148958,0.1821,0.001000,216.7
80,4.682891,6.7560,0.143297,0.1682,0.001000,219.4
81,4.683095,6.7563,0.143687,0.1609,0.001000,222.1
82,4.674622,6.7441,0.139559,0.1521,0.001000,224.8
83,4.664244,6.7291,0.142979,0.1654,0.001000,227.5
84,4.659882,6.7228,0.142004,0.1635,0.001000,230.2
85,4.660518,6.7237,0.141637,0.1630,0.001000,233.0
86,4.671371,6.7394,0.144965,0.1574,0.001000,235.7
87,4.656045,6.7173,0.142881,0.1449,0.001000,238.4
