step,loss,bpc,acc,gnorm,lr,elapsed_s
1,5.548965,8.0055,0.003021,0.2616,0.000020,3.1
2,5.551653,8.0094,0.002919,0.2618,0.000040,6.9
3,5.552402,8.0105,0.001535,0.2738,0.000060,10.3
4,5.547460,8.0033,0.001879,0.2663,0.000080,13.3
5,5.542054,7.9955,0.004105,0.2696,0.000100,16.3
6,5.542015,7.9955,0.002392,0.2611,0.000120,19.4
7,5.542516,7.9962,0.005126,0.2706,0.000140,22.3
8,5.534108,7.9841,0.003938,0.2622,0.000160,25.2
9,5.530849,7.9794,0.003926,0.2551,0.000180,28.3
10,5.521635,7.9661,0.003588,0.2622,0.000200,31.2
11,5.521811,7.9663,0.003592,0.2582,0.000220,34.2
12,5.510279,7.9497,0.006157,0.2519,0.000240,37.4
13,5.510077,7.9494,0.006663,0.2552,0.000260,40.5
14,5.501183,7.9366,0.010091,0.2547,0.000280,43.6
15,5.487029,7.9161,0.034719,0.2547,0.000300,47.0
16,5.481488,7.9081,0.042415,0.2591,0.000320,50.0
17,5.471577,7.8938,0.045664,0.2612,0.000340,52.9
18,5.460402,7.8777,0.068341,0.2633,0.000360,56.0
19,5.450096,7.8629,0.072367,0.2656,0.000380,58.9
20,5.450882,7.8640,0.080034,0.2628,0.000400,62.0
21,5.436334,7.8430,0.086192,0.2682,0.000420,65.2
22,5.421201,7.8212,0.094749,0.2805,0.000440,68.3
23,5.405667,7.7988,0.098753,0.2849,0.000460,71.3
24,5.386507,7.7711,0.102682,0.2867,0.000480,74.4
25,5.388526,7.7740,0.106161,0.3007,0.000500,77.6
26,5.371508,7.7495,0.111054,0.3022,0.000520,80.6
27,5.347545,7.7149,0.123229,0.3064,0.000540,83.8
28,5.334212,7.6957,0.125235,0.3025,0.000560,86.7
29,5.324019,7.6810,0.128271,0.3182,0.000580,89.7
30,5.318667,7.6732,0.132069,0.3049,0.000600,92.8
31,5.296094,7.6407,0.133470,0.3089,0.000620,95.8
32,5.279591,7.6169,0.130457,0.3224,0.000640,98.8
33,5.268486,7.6008,0.130910,0.3229,0.000660,102.1
34,5.258442,7.5864,0.131727,0.3220,0.000680,105.2
35,5.238259,7.5572,0.133676,0.3107,0.000700,108.4
36,5.207267,7.5125,0.133641,0.3129,0.000720,111.5
37,5.190276,7.4880,0.132923,0.3266,0.000740,114.5
38,5.187081,7.4834,0.130152,0.3144,0.000760,117.5
39,5.163755,7.4497,0.129715,0.3168,0.000780,120.6
40,5.157276,7.4404,0.129392,0.3116,0.000800,123.7
41,5.119975,7.3866,0.132240,0.3188,0.000820,126.7
42,5.123135,7.3911,0.133744,0.3053,0.000840,129.7
43,5.087019,7.3390,0.132787,0.3175,0.000860,132.7
44,5.074765,7.3214,0.133847,0.3133,0.000880,135.8
45,5.057087,7.2959,0.134153,0.3141,0.000900,139.0
46,5.035955,7.2654,0.136651,0.3095,0.000920,142.0
47,5.017437,7.2387,0.134461,0.3112,0.000940,145.0
48,5.007362,7.2241,0.128955,0.3055,0.000960,148.0
49,4.988226,7.1965,0.131080,0.2958,0.000980,151.0
50,4.961058,7.1573,0.133402,0.3012,0.001000,153.9
51,4.959035,7.1544,0.135283,0.2906,0.001000,157.2
52,4.920952,7.0995,0.133402,0.2857,0.001000,160.3
53,4.909885,7.0835,0.137878,0.2846,0.001000,163.5
54,4.899005,7.0678,0.137848,0.2769,0.001000,166.6
55,4.881136,7.0420,0.136169,0.2701,0.001000,170.1
56,4.862890,7.0157,0.137506,0.2602,0.001000,173.5
57,4.850767,6.9982,0.137878,0.2609,0.001000,176.8
58,4.859822,7.0113,0.135315,0.2540,0.001000,179.9
59,4.841828,6.9853,0.135454,0.2416,0.001000,182.8
60,4.821299,6.9557,0.135689,0.2446,0.001000,185.9
61,4.815197,6.9469,0.136713,0.2435,0.001000,189.0
62,4.790423,6.9111,0.135625,0.2222,0.001000,192.2
63,4.791882,6.9132,0.132958,0.2150,0.001000,195.4
64,4.783385,6.9010,0.133573,0.2406,0.001000,198.5
65,4.783940,6.9018,0.131349,0.2424,0.001000,201.5
66,4.755917,6.8614,0.137707,0.2101,0.001000,204.5
67,4.735910,6.8325,0.137225,0.1980,0.001000,207.5
68,4.736467,6.8333,0.145523,0.2109,0.001000,210.5
69,4.748745,6.8510,0.145929,0.2210,0.001000,213.7
70,4.758823,6.8656,0.140189,0.2139,0.001000,216.6
71,4.731421,6.8260,0.143568,0.2040,0.001000,219.7
72,4.722512,6.8132,0.140977,0.1730,0.001000,222.8
73,4.714453,6.8015,0.143321,0.1769,0.001000,225.8
74,4.702602,6.7844,0.138332,0.1885,0.001000,228.8
75,4.699286,6.7797,0.138789,0.2019,0.001000,232.1
76,4.707872,6.7920,0.138332,0.2166,0.001000,235.2
77,4.695109,6.7736,0.138020,0.2040,0.001000,238.4
78,4.689738,6.7659,0.139809,0.1969,0.001000,241.6
79,4.674100,6.7433,0.142467,0.1914,0.001000,245.0
80,4.668542,6.7353,0.144838,0.1695,0.001000,248.1
81,4.673731,6.7428,0.144541,0.1628,0.001000,251.3
82,4.666881,6.7329,0.140585,0.1449,0.001000,254.5
83,4.653490,6.7136,0.144690,0.1531,0.001000,257.6
84,4.651712,6.7110,0.145076,0.1539,0.001000,260.6
85,4.653816,6.7141,0.144200,0.1478,0.001000,263.6
86,4.665651,6.7311,0.147367,0.1458,0.001000,266.6
87,4.651252,6.7104,0.142711,0.1338,0.001000,269.6
88,4.657330,6.7191,0.144153,0.1373,0.001000,272.6
89,4.647395,6.7048,0.141170,0.1312,0.001000,275.6
90,4.644462,6.7006,0.144786,0.1327,0.001000,278.7
91,4.635494,6.6876,0.144052,0.1350,0.001000,281.6
92,4.641521,6.6963,0.142735,0.1317,0.001000,284.7
93,4.616425,6.6601,0.141833,0.1363,0.001000,287.8
94,4.627290,6.6758,0.146762,0.1277,0.001000,290.8
95,4.624470,6.6717,0.146421,0.1213,0.001000,294.0
96,4.622150,6.6684,0.144644,0.1194,0.001000,297.1
97,4.621984,6.6681,0.144348,0.1216,0.001000,300.1
98,4.626123,6.6741,0.149100,0.1276,0.001000,303.2
99,4.607768,6.6476,0.146633,0.1234,0.001000,306.4
100,4.609629,6.6503,0.147920,0.1289,0.001000,309.4
101,4.605480,6.6443,0.150162,0.1276,0.001000,312.5
102,4.629018,6.6783,0.150471,0.1268,0.001000,315.5
103,4.620171,6.6655,0.152742,0.1300,0.001000,318.5
104,4.605933,6.6450,0.148262,0.1265,0.001000,321.5
105,4.603745,6.6418,0.149531,0.1252,0.001000,324.6
106,4.605734,6.6447,0.153912,0.1246,0.001000,327.6
107,4.609946,6.6508,0.148758,0.1232,0.001000,330.5
108,4.587715,6.6187,0.150026,0.1250,0.001000,333.5
109,4.588577,6.6199,0.152415,0.1145,0.001000,336.6
110,4.588288,6.6195,0.156459,0.1167,0.001000,339.6
111,4.601449,6.6385,0.145759,0.1180,0.001000,342.7
112,4.594492,6.6285,0.149290,0.1178,0.001000,345.6
113,4.586226,6.6165,0.148965,0.1213,0.001000,348.8
114,4.582484,6.6112,0.149514,0.1162,0.001000,352.0
115,4.588446,6.6198,0.155476,0.1145,0.001000,355.0
116,4.599434,6.6356,0.153028,0.1169,0.001000,358.1
117,4.593422,6.6269,0.152400,0.1216,0.001000,361.3
118,4.574965,6.6003,0.158543,0.1162,0.001000,364.2
119,4.588058,6.6192,0.149614,0.1142,0.001000,367.3
120,4.569520,6.5924,0.151127,0.1233,0.001000,370.4
121,4.602011,6.6393,0.146968,0.1212,0.001000,373.6
122,4.559673,6.5782,0.159740,0.1131,0.001000,376.6
123,4.615381,6.6586,0.149838,0.1338,0.001000,379.9
124,4.579746,6.6072,0.150985,0.1154,0.001000,382.9
125,4.577834,6.6044,0.150162,0.1127,0.001000,386.0
126,4.583257,6.6123,0.151328,0.1112,0.001000,389.0
127,4.596886,6.6319,0.153213,0.1208,0.001000,391.8
128,4.564043,6.5845,0.151702,0.1116,0.001000,394.8
129,4.579340,6.6066,0.149838,0.1193,0.001000,397.8
130,4.567389,6.5894,0.155293,0.1116,0.001000,400.9
131,4.565196,6.5862,0.158853,0.1194,0.001000,403.9
132,4.581782,6.6101,0.150538,0.1150,0.001000,407.0
133,4.557177,6.5746,0.153754,0.1124,0.001000,410.0
134,4.573332,6.5979,0.149786,0.1210,0.001000,413.0
