step,loss,bpc,acc,gnorm,lr,elapsed_s
1,5.549685,8.0065,0.003356,0.2628,0.000020,2.7
2,5.551915,8.0097,0.003606,0.2630,0.000040,5.9
3,5.552536,8.0106,0.001364,0.2753,0.000060,9.0
4,5.546850,8.0024,0.001367,0.2670,0.000080,12.3
5,5.541827,7.9952,0.004276,0.2710,0.000100,15.5
6,5.543242,7.9972,0.002221,0.2621,0.000120,18.8
7,5.543907,7.9982,0.004613,0.2720,0.000140,22.0
8,5.535408,7.9859,0.003766,0.2628,0.000160,25.3
9,5.533514,7.9832,0.004438,0.2571,0.000180,28.7
10,5.524394,7.9700,0.003930,0.2632,0.000200,32.1
11,5.525027,7.9710,0.004276,0.2602,0.000220,35.3
12,5.514758,7.9561,0.006841,0.2534,0.000240,38.6
13,5.514920,7.9564,0.005980,0.2561,0.000260,41.8
14,5.507241,7.9453,0.006157,0.2561,0.000280,45.2
15,5.494785,7.9273,0.019155,0.2553,0.000300,48.5
16,5.489235,7.9193,0.034719,0.2583,0.000320,51.9
17,5.480612,7.9069,0.047888,0.2608,0.000340,55.1
18,5.472257,7.8948,0.051597,0.2629,0.000360,58.3
19,5.462272,7.8804,0.069807,0.2651,0.000380,61.6
20,5.462252,7.8804,0.076264,0.2608,0.000400,64.8
21,5.452584,7.8664,0.078000,0.2652,0.000420,68.1
22,5.436975,7.8439,0.080554,0.2746,0.000440,71.4
23,5.424876,7.8265,0.084572,0.2799,0.000460,74.6
24,5.407355,7.8012,0.099607,0.2832,0.000480,77.9
25,5.407566,7.8015,0.106673,0.2945,0.000500,81.1
26,5.392725,7.7801,0.116881,0.2969,0.000520,84.4
27,5.368210,7.7447,0.124083,0.3031,0.000540,87.8
28,5.356143,7.7273,0.122501,0.2999,0.000560,91.2
29,5.348844,7.7168,0.126048,0.3149,0.000580,94.5
30,5.341584,7.7063,0.131215,0.2997,0.000600,97.8
31,5.317414,7.6714,0.133129,0.3087,0.000620,101.1
32,5.304244,7.6524,0.130800,0.3216,0.000640,104.5
33,5.292473,7.6355,0.131251,0.3195,0.000660,108.0
34,5.285906,7.6260,0.131556,0.3247,0.000680,111.8
35,5.263403,7.5935,0.133676,0.3127,0.000700,115.0
36,5.229907,7.5452,0.133299,0.3103,0.000720,118.4
37,5.212901,7.5207,0.132240,0.3242,0.000740,121.6
38,5.211533,7.5187,0.131691,0.3136,0.000760,124.9
39,5.187909,7.4846,0.130227,0.3138,0.000780,128.3
40,5.181547,7.4754,0.130249,0.3101,0.000800,131.8
41,5.146528,7.4249,0.134119,0.3213,0.000820,135.2
42,5.148534,7.4278,0.135796,0.3041,0.000840,138.7
43,5.116351,7.3814,0.133470,0.3178,0.000860,142.0
44,5.101175,7.3595,0.134704,0.3082,0.000880,145.3
45,5.084601,7.3356,0.133982,0.3105,0.000900,148.6
46,5.063549,7.3052,0.136480,0.3042,0.000920,152.0
47,5.047133,7.2815,0.133607,0.3082,0.000940,155.3
48,5.037087,7.2670,0.129468,0.3010,0.000960,158.6
49,5.020623,7.2433,0.130910,0.2929,0.000980,161.9
50,4.996484,7.2084,0.131520,0.2963,0.001000,165.3
51,4.996033,7.2078,0.131862,0.2873,0.001000,168.7
52,4.964322,7.1620,0.132205,0.2899,0.001000,172.0
53,4.947490,7.1377,0.134119,0.2891,0.001000,175.4
54,4.939164,7.1257,0.132718,0.2863,0.001000,178.8
55,4.922316,7.1014,0.136682,0.2859,0.001000,182.0
56,4.899302,7.0682,0.137506,0.2805,0.001000,185.3
57,4.885863,7.0488,0.137536,0.2744,0.001000,188.5
58,4.891119,7.0564,0.137024,0.2715,0.001000,191.9
59,4.868546,7.0239,0.138704,0.2646,0.001000,195.2
60,4.845009,6.9899,0.138249,0.2612,0.001000,198.5
61,4.834875,6.9753,0.137395,0.2503,0.001000,201.8
62,4.817713,6.9505,0.137335,0.2417,0.001000,205.1
63,4.815735,6.9477,0.134323,0.2258,0.001000,208.3
64,4.798594,6.9229,0.138533,0.2188,0.001000,211.7
65,4.799327,6.9240,0.135112,0.2107,0.001000,215.1
66,4.775952,6.8903,0.137707,0.2138,0.001000,218.6
67,4.757486,6.8636,0.138932,0.2208,0.001000,221.9
68,4.754138,6.8588,0.140729,0.2124,0.001000,225.4
69,4.757966,6.8643,0.137225,0.1954,0.001000,228.8
70,4.760879,6.8685,0.132819,0.2077,0.001000,232.3
71,4.744233,6.8445,0.135678,0.2182,0.001000,235.8
72,4.743491,6.8434,0.133800,0.2099,0.001000,239.0
73,4.735715,6.8322,0.135283,0.2005,0.001000,242.3
74,4.717218,6.8055,0.134566,0.1820,0.001000,245.7
75,4.707402,6.7914,0.138278,0.1851,0.001000,249.0
76,4.709623,6.7946,0.138161,0.1699,0.001000,252.4
77,4.704257,6.7868,0.137677,0.1811,0.001000,255.8
78,4.700109,6.7808,0.139809,0.1753,0.001000,259.2
79,4.688272,6.7638,0.144517,0.1779,0.001000,262.6
80,4.684711,6.7586,0.143982,0.1694,0.001000,266.0
81,4.688940,6.7647,0.142833,0.1559,0.001000,269.5
82,4.677972,6.7489,0.139046,0.1478,0.001000,272.9
83,4.663648,6.7282,0.142979,0.1601,0.001000,276.1
84,4.661358,6.7249,0.142174,0.1582,0.001000,279.6
85,4.664993,6.7302,0.139416,0.1663,0.001000,282.9
86,4.680187,6.7521,0.140847,0.1617,0.001000,286.2
87,4.664721,6.7298,0.138789,0.1560,0.001000,289.5
88,4.666902,6.7329,0.141585,0.1522,0.001000,292.9
89,4.651531,6.7108,0.140999,0.1348,0.001000,296.2
90,4.655314,6.7162,0.143248,0.1381,0.001000,299.5
91,4.646338,6.7033,0.144393,0.1404,0.001000,302.8
92,4.647691,6.7052,0.145308,0.1337,0.001000,306.1
93,4.627282,6.6758,0.145929,0.1317,0.001000,309.4
94,4.639813,6.6939,0.149154,0.1299,0.001000,313.0
