step,loss,bpc,acc,gnorm,lr,elapsed_s
1,5.549618,8.0064,0.003021,0.2628,0.000020,5.7
2,5.551716,8.0095,0.003263,0.2632,0.000040,8.5
3,5.552556,8.0107,0.001535,0.2754,0.000060,10.6
4,5.546915,8.0025,0.001709,0.2671,0.000080,12.8
5,5.541751,7.9951,0.004447,0.2712,0.000100,15.1
6,5.543180,7.9971,0.002221,0.2620,0.000120,17.2
7,5.544029,7.9984,0.004442,0.2722,0.000140,19.5
8,5.535576,7.9862,0.003766,0.2628,0.000160,21.8
9,5.533622,7.9834,0.004267,0.2571,0.000180,24.0
10,5.524435,7.9701,0.003759,0.2632,0.000200,26.3
11,5.525216,7.9712,0.004789,0.2600,0.000220,28.5
12,5.514891,7.9563,0.006328,0.2532,0.000240,30.7
13,5.515363,7.9570,0.005980,0.2558,0.000260,33.2
14,5.507340,7.9454,0.005815,0.2560,0.000280,35.3
15,5.495108,7.9278,0.018471,0.2551,0.000300,37.6
16,5.489681,7.9200,0.033521,0.2579,0.000320,39.8
17,5.480814,7.9072,0.047033,0.2604,0.000340,42.0
18,5.472689,7.8954,0.051085,0.2624,0.000360,44.2
19,5.462842,7.8812,0.070319,0.2647,0.000380,46.5
20,5.462636,7.8809,0.076093,0.2602,0.000400,48.8
21,5.452825,7.8668,0.078000,0.2647,0.000420,51.1
22,5.437386,7.8445,0.080212,0.2741,0.000440,53.4
23,5.425181,7.8269,0.084059,0.2795,0.000460,55.6
24,5.408020,7.8022,0.098582,0.2828,0.000480,57.9
25,5.408129,7.8023,0.105649,0.2939,0.000500,60.1
26,5.393622,7.7814,0.115510,0.2962,0.000520,62.3
27,5.369027,7.7459,0.123059,0.3027,0.000540,64.6
28,5.356928,7.7284,0.122330,0.2994,0.000560,66.9
29,5.349581,7.7178,0.126219,0.3144,0.000580,69.1
30,5.342080,7.7070,0.131044,0.2993,0.000600,71.3
31,5.318395,7.6728,0.132958,0.3084,0.000620,73.5
32,5.305006,7.6535,0.130800,0.3211,0.000640,75.7
33,5.293376,7.6368,0.131251,0.3192,0.000660,78.1
34,5.286980,7.6275,0.131044,0.3246,0.000680,80.3
35,5.264116,7.5945,0.133505,0.3125,0.000700,82.6
36,5.230767,7.5464,0.133470,0.3100,0.000720,84.8
37,5.213732,7.5219,0.132240,0.3243,0.000740,87.1
38,5.212471,7.5200,0.131520,0.3136,0.000760,89.4
39,5.188729,7.4858,0.130227,0.3138,0.000780,91.7
40,5.182185,7.4763,0.130249,0.3101,0.000800,94.0
41,5.147522,7.4263,0.134290,0.3213,0.000820,96.4
42,5.149222,7.4288,0.136309,0.3042,0.000840,98.7
43,5.117503,7.3830,0.133641,0.3178,0.000860,101.0
44,5.102284,7.3611,0.132991,0.3081,0.000880,103.3
45,5.085621,7.3370,0.133811,0.3104,0.000900,105.7
46,5.064561,7.3066,0.136309,0.3039,0.000920,108.1
47,5.048094,7.2829,0.133265,0.3077,0.000940,110.4
48,5.038028,7.2684,0.129468,0.3006,0.000960,112.8
49,5.021677,7.2448,0.131251,0.2929,0.000980,115.1
50,4.997288,7.2096,0.132205,0.2959,0.001000,117.5
51,4.996887,7.2090,0.131691,0.2869,0.001000,120.0
52,4.965074,7.1631,0.132718,0.2899,0.001000,122.2
53,4.948142,7.1387,0.134461,0.2892,0.001000,124.6
54,4.940392,7.1275,0.133060,0.2862,0.001000,127.0
55,4.923270,7.1028,0.136169,0.2854,0.001000,129.2
56,4.899904,7.0691,0.137164,0.2805,0.001000,131.4
57,4.886484,7.0497,0.137878,0.2743,0.001000,133.8
58,4.891610,7.0571,0.137195,0.2714,0.001000,136.1
59,4.869187,7.0248,0.138704,0.2643,0.001000,138.3
60,4.844729,6.9895,0.138249,0.2606,0.001000,140.7
61,4.834832,6.9752,0.137566,0.2496,0.001000,142.9
62,4.817632,6.9504,0.137848,0.2417,0.001000,145.2
63,4.815991,6.9480,0.133982,0.2258,0.001000,147.5
64,4.798682,6.9231,0.136993,0.2187,0.001000,149.8
65,4.799191,6.9238,0.135454,0.2099,0.001000,152.1
66,4.775944,6.8903,0.137536,0.2130,0.001000,154.3
67,4.757164,6.8632,0.138932,0.2209,0.001000,156.5
68,4.754245,6.8589,0.141757,0.2123,0.001000,159.0
69,4.757881,6.8642,0.137907,0.1949,0.001000,161.2
70,4.760501,6.8680,0.133676,0.2055,0.001000,163.5
71,4.743153,6.8429,0.135678,0.2151,0.001000,165.8
72,4.742369,6.8418,0.133800,0.2078,0.001000,168.1
73,4.735405,6.8318,0.135625,0.2005,0.001000,170.9
74,4.717022,6.8052,0.134224,0.1833,0.001000,173.2
75,4.706444,6.7900,0.138960,0.1857,0.001000,175.5
76,4.709356,6.7942,0.138846,0.1702,0.001000,177.8
77,4.703392,6.7856,0.137335,0.1795,0.001000,180.0
78,4.699449,6.7799,0.139638,0.1743,0.001000,182.3
79,4.687165,6.7622,0.144517,0.1776,0.001000,184.6
80,4.683517,6.7569,0.142613,0.1686,0.001000,186.8
81,4.688031,6.7634,0.142320,0.1555,0.001000,189.1
82,4.677265,6.7479,0.139388,0.1475,0.001000,191.3
83,4.662775,6.7270,0.144005,0.1593,0.001000,193.4
84,4.660416,6.7236,0.141833,0.1568,0.001000,195.8
85,4.663809,6.7285,0.139757,0.1653,0.001000,198.1
86,4.678960,6.7503,0.142048,0.1612,0.001000,200.4
87,4.663437,6.7279,0.138278,0.1545,0.001000,202.6
88,4.665401,6.7308,0.142441,0.1499,0.001000,204.8
89,4.651027,6.7100,0.141342,0.1335,0.001000,207.0
90,4.654877,6.7156,0.143419,0.1371,0.001000,209.4
91,4.645287,6.7018,0.146441,0.1390,0.001000,211.7
92,4.646856,6.7040,0.146166,0.1340,0.001000,213.9
93,4.627318,6.6758,0.146100,0.1322,0.001000,216.1
94,4.639777,6.6938,0.148642,0.1300,0.001000,218.4
95,4.641216,6.6959,0.144883,0.1337,0.001000,220.6
96,4.635355,6.6874,0.146872,0.1275,0.001000,222.9
97,4.631184,6.6814,0.145716,0.1298,0.001000,225.1
98,4.636089,6.6885,0.147729,0.1239,0.001000,227.4
99,4.612916,6.6551,0.145098,0.1288,0.001000,229.6
100,4.611792,6.6534,0.150146,0.1328,0.001000,231.9
101,4.617349,6.6614,0.151189,0.1451,0.001000,234.2
102,4.639990,6.6941,0.148929,0.1426,0.001000,236.4
103,4.633688,6.6850,0.151546,0.1554,0.001000,238.6
104,4.618335,6.6629,0.144838,0.1408,0.001000,240.9
105,4.611670,6.6533,0.149361,0.1335,0.001000,243.1
106,4.612328,6.6542,0.152885,0.1327,0.001000,245.3
107,4.616860,6.6607,0.146187,0.1284,0.001000,247.6
108,4.596000,6.6306,0.150367,0.1292,0.001000,249.9
109,4.599158,6.6352,0.150026,0.1200,0.001000,252.1
110,4.595960,6.6306,0.154915,0.1195,0.001000,254.4
111,4.611537,6.6531,0.145588,0.1260,0.001000,256.8
112,4.601172,6.6381,0.149632,0.1237,0.001000,259.0
113,4.591880,6.6247,0.149649,0.1237,0.001000,261.7
114,4.589904,6.6219,0.150367,0.1242,0.001000,263.9
